alt,dst,lat,lon,mdata
284.500000,0.000000,37.892803,-122.242484,E:\Dropbox\website\dev2\climbing\climbs\South-Park-Drive.tcx
284.300000,4.362956,37.892830,-122.242520,
285.400000,24.399781,37.892950,-122.242350,
290.000000,83.103800,37.892440,-122.242180,
294.900000,127.313823,37.892110,-122.241900,
306.000000,327.293241,37.890840,-122.240290,
309.000000,356.300900,37.890690,-122.240020,
313.700000,406.431559,37.890570,-122.239470,
321.000000,474.223344,37.890610,-122.238700,
324.400000,514.772628,37.890580,-122.238240,
333.100000,608.811455,37.890380,-122.237200,
333.700000,663.381623,37.890350,-122.236580,
335.700000,707.702846,37.890170,-122.236130,
340.100000,826.262546,37.889600,-122.234990,
375.800000,1143.762691,37.887400,-122.232690,
384.400000,1240.502481,37.886820,-122.231870,
391.200000,1301.731210,37.886400,-122.231420,
394.300000,1327.944522,37.886250,-122.231190,
398.800000,1368.806465,37.886050,-122.230800,
403.900000,1408.475912,37.885970,-122.230360,
414.800000,1480.065201,37.885900,-122.229550,
419.400000,1522.318444,37.885730,-122.229120,
427.100000,1572.744532,37.885470,-122.228650,
435.300000,1669.148329,37.884730,-122.228080,
440.100000,1706.051267,37.884400,-122.228040,
443.900000,1748.165881,37.884030,-122.228140,
449.100000,1775.241158,37.883790,-122.228090,
452.000000,1804.233913,37.883620,-122.227840,
457.200000,1851.533387,37.883510,-122.227320,
461.900000,1879.812181,37.883350,-122.227070,
466.500000,1924.037848,37.883050,-122.226740,
467.300000,1962.019640,37.882730,-122.226590,
469.700000,2014.489894,37.882380,-122.226190,
468.500000,2039.785920,37.882170,-122.226080,
475.000000,2117.871770,37.881480,-122.225920,
484.600000,2187.634291,37.880910,-122.225590,
487.300000,2212.884927,37.880690,-122.225520,
490.800000,2244.836944,37.880410,-122.225600,
498.200000,2298.139739,37.880050,-122.226000,
502.300000,2326.314071,37.879800,-122.226050,
