alt,dst,lat,lon,mdata
99.800000,0.000000,38.505980,-122.483710,E:\Dropbox\website\dev2\climbing\climbs\Spring-Mt-St.-Helena.tcx
100.600000,7.316000,38.505960,-122.483790,
102.100000,19.713000,38.505940,-122.483930,
104.800000,48.378000,38.505880,-122.484250,
105.500000,59.919000,38.505860,-122.484380,
106.100000,67.759000,38.505860,-122.484470,
106.700000,74.817000,38.505870,-122.484550,
107.300000,85.505000,38.505890,-122.484670,
107.600000,98.149000,38.505920,-122.484810,
107.600000,111.954000,38.505960,-122.484960,
107.700000,132.249000,38.506020,-122.485180,
107.900000,148.888000,38.506070,-122.485360,
108.200000,174.756000,38.506120,-122.485650,
108.300000,194.209000,38.506150,-122.485870,
108.200000,215.234000,38.506170,-122.486110,
108.300000,225.072000,38.506190,-122.486220,
108.400000,234.063000,38.506210,-122.486320,
108.700000,242.333000,38.506250,-122.486400,
108.900000,253.414000,38.506300,-122.486510,
109.200000,261.670000,38.506350,-122.486580,
109.500000,273.535000,38.506430,-122.486670,
109.700000,290.817000,38.506540,-122.486810,
109.900000,300.712000,38.506610,-122.486880,
109.900000,307.780000,38.506660,-122.486930,
110.100000,316.036000,38.506710,-122.487000,
110.200000,326.335000,38.506770,-122.487090,
111.100000,343.615000,38.506850,-122.487260,
111.300000,362.274000,38.506910,-122.487460,
110.400000,383.393000,38.506970,-122.487690,
110.800000,408.159000,38.507060,-122.487950,
111.500000,424.459000,38.507100,-122.488130,
111.600000,440.490000,38.507130,-122.488310,
112.200000,456.328000,38.507150,-122.488490,
113.600000,467.015000,38.507170,-122.488610,
115.400000,478.340000,38.507170,-122.488740,
118.000000,489.664000,38.507170,-122.488870,
118.800000,498.993000,38.507140,-122.488970,
119.500000,509.967000,38.507110,-122.489090,
120.000000,527.010000,38.507050,-122.489270,
120.000000,545.304000,38.506980,-122.489460,
119.000000,562.469000,38.506890,-122.489620,
118.600000,577.143000,38.506830,-122.489770,
119.000000,598.641000,38.506760,-122.490000,
119.600000,614.673000,38.506730,-122.490180,
120.200000,629.523000,38.506720,-122.490350,
120.500000,641.769000,38.506710,-122.490490,
120.800000,652.223000,38.506710,-122.490610,
121.100000,662.735000,38.506720,-122.490730,
121.300000,677.067000,38.506750,-122.490890,
121.200000,688.041000,38.506780,-122.491010,
121.800000,712.013000,38.506870,-122.491260,
123.200000,747.814000,38.507010,-122.491630,
125.100000,770.734000,38.507110,-122.491860,
128.600000,793.654000,38.507210,-122.492090,
130.000000,806.802000,38.507270,-122.492220,
130.900000,823.047000,38.507330,-122.492390,
131.100000,828.728000,38.507350,-122.492450,
131.200000,832.386000,38.507360,-122.492490,
131.300000,838.067000,38.507380,-122.492550,
131.300000,841.725000,38.507390,-122.492590,
131.200000,844.338000,38.507390,-122.492620,
131.300000,847.179000,38.507400,-122.492650,
132.000000,871.407000,38.507510,-122.492890,
132.400000,896.391000,38.507620,-122.493140,
132.900000,917.660000,38.507740,-122.493330,
133.600000,950.607000,38.507930,-122.493620,
134.500000,969.293000,38.508050,-122.493770,
136.200000,984.564000,38.508150,-122.493890,
136.700000,1014.515000,38.508350,-122.494120,
137.800000,1038.018000,38.508520,-122.494280,
138.900000,1049.746000,38.508610,-122.494350,
140.400000,1064.813000,38.508730,-122.494430,
142.400000,1084.273000,38.508890,-122.494520,
144.200000,1104.498000,38.509050,-122.494630,
144.800000,1118.113000,38.509150,-122.494720,
145.700000,1150.094000,38.509380,-122.494940,
145.900000,1169.399000,38.509500,-122.495100,
147.100000,1185.499000,38.509610,-122.495220,
150.300000,1206.204000,38.509740,-122.495390,
152.000000,1244.815000,38.509980,-122.495710,
152.900000,1270.977000,38.510140,-122.495930,
153.300000,1281.276000,38.510200,-122.496020,
153.900000,1289.532000,38.510250,-122.496090,
154.300000,1297.802000,38.510290,-122.496170,
154.800000,1309.644000,38.510340,-122.496290,
155.500000,1323.049000,38.510390,-122.496430,
156.100000,1339.687000,38.510440,-122.496610,
156.600000,1355.718000,38.510470,-122.496790,
156.700000,1370.567000,38.510480,-122.496960,
156.900000,1379.349000,38.510490,-122.497060,
156.600000,1389.861000,38.510480,-122.497180,
156.700000,1402.257000,38.510500,-122.497320,
156.600000,1410.175000,38.510510,-122.497410,
156.600000,1423.979000,38.510550,-122.497560,
156.600000,1436.597000,38.510600,-122.497690,
157.000000,1449.054000,38.510680,-122.497790,
157.700000,1463.594000,38.510790,-122.497880,
158.100000,1481.446000,38.510920,-122.498000,
158.300000,1500.370000,38.511050,-122.498140,
158.400000,1526.445000,38.511190,-122.498380,
158.800000,1534.966000,38.511220,-122.498470,
159.600000,1545.940000,38.511250,-122.498590,
160.000000,1557.480000,38.511270,-122.498720,
160.100000,1566.261000,38.511280,-122.498820,
160.100000,1574.411000,38.511260,-122.498910,
160.900000,1583.402000,38.511240,-122.499010,
162.200000,1598.864000,38.511200,-122.499180,
163.000000,1617.292000,38.511180,-122.499390,
162.800000,1623.490000,38.511170,-122.499460,
163.000000,1638.298000,38.511170,-122.499630,
163.300000,1648.985000,38.511190,-122.499750,
163.900000,1663.959000,38.511210,-122.499920,
