alt,dst,lat,lon,mdata
61.300000,0.000000,38.652490,-123.364410,E:\Dropbox\website\dev2\climbing\climbs\Stewarts-Pt-Rd-West-1-Stewarts-Pt.tcx
68.700000,36.194000,38.652750,-123.364160,
74.200000,91.236000,38.653120,-123.363740,
75.700000,115.342000,38.653270,-123.363540,
82.100000,150.973000,38.653470,-123.363220,
87.000000,177.750000,38.653630,-123.362990,
87.900000,214.087000,38.653840,-123.362670,
94.600000,251.983000,38.654020,-123.362300,
99.900000,267.926000,38.654090,-123.362140,
101.100000,287.460000,38.654170,-123.361940,
100.800000,309.051000,38.654260,-123.361720,
100.000000,332.379000,38.654380,-123.361500,
99.800000,342.824000,38.654450,-123.361420,
100.100000,349.386000,38.654500,-123.361380,
100.900000,357.919000,38.654570,-123.361340,
101.700000,362.700000,38.654610,-123.361320,
107.900000,383.910000,38.654790,-123.361240,
109.600000,391.893000,38.654860,-123.361220,
110.800000,397.527000,38.654910,-123.361210,
111.900000,405.368000,38.654980,-123.361200,
113.200000,413.208000,38.655050,-123.361210,
114.200000,421.001000,38.655120,-123.361210,
114.700000,426.634000,38.655170,-123.361200,
115.600000,433.369000,38.655230,-123.361190,
116.400000,440.899000,38.655290,-123.361150,
117.100000,446.549000,38.655330,-123.361110,
117.600000,454.807000,38.655370,-123.361030,
117.400000,463.781000,38.655390,-123.360930,
116.700000,474.212000,38.655390,-123.360810,
117.500000,492.502000,38.655380,-123.360600,
119.200000,499.456000,38.655380,-123.360520,
121.100000,504.789000,38.655390,-123.360460,
122.200000,508.440000,38.655400,-123.360420,
123.400000,512.092000,38.655410,-123.360380,
124.800000,515.521000,38.655430,-123.360350,
126.300000,518.950000,38.655450,-123.360320,
128.300000,523.771000,38.655480,-123.360280,
131.000000,529.252000,38.655510,-123.360230,
134.200000,535.445000,38.655540,-123.360170,
136.600000,541.639000,38.655570,-123.360110,
138.200000,547.832000,38.655600,-123.360050,
139.000000,551.309000,38.655600,-123.360010,
139.600000,554.787000,38.655600,-123.359970,
139.700000,558.438000,38.655590,-123.359930,
139.900000,562.924000,38.655580,-123.359880,
139.400000,567.053000,38.655560,-123.359840,
138.500000,571.874000,38.655530,-123.359800,
138.100000,576.758000,38.655510,-123.359750,
138.200000,581.245000,38.655500,-123.359700,
138.000000,585.374000,38.655480,-123.359660,
138.200000,587.112000,38.655480,-123.359640,
138.600000,588.851000,38.655480,-123.359620,
139.700000,592.328000,38.655480,-123.359580,
140.400000,594.936000,38.655480,-123.359550,
143.900000,601.122000,38.655490,-123.359480,
148.000000,609.257000,38.655510,-123.359390,
150.900000,621.629000,38.655530,-123.359250,
150.900000,631.447000,38.655510,-123.359140,
149.600000,644.830000,38.655460,-123.359000,
147.900000,656.653000,38.655410,-123.358880,
148.300000,663.696000,38.655400,-123.358800,
149.700000,669.883000,38.655410,-123.358730,
153.600000,685.688000,38.655430,-123.358550,
155.300000,693.511000,38.655430,-123.358460,
155.800000,697.162000,38.655420,-123.358420,
155.900000,702.644000,38.655390,-123.358370,
155.700000,706.881000,38.655360,-123.358340,
155.500000,709.271000,38.655340,-123.358330,
155.200000,712.722000,38.655310,-123.358320,
154.900000,716.173000,38.655280,-123.358310,
154.400000,724.013000,38.655210,-123.358300,
154.300000,729.845000,38.655160,-123.358280,
154.400000,740.450000,38.655070,-123.358240,
155.200000,755.129000,38.654950,-123.358170,
156.600000,764.505000,38.654880,-123.358110,
159.000000,773.541000,38.654820,-123.358040,
161.100000,782.015000,38.654760,-123.357980,
162.600000,789.556000,38.654720,-123.357910,
164.400000,800.509000,38.654690,-123.357790,
166.700000,812.027000,38.654670,-123.357660,
167.600000,818.969000,38.654640,-123.357590,
167.800000,821.033000,38.654630,-123.357570,
167.900000,822.446000,38.654620,-123.357560,
167.900000,823.858000,38.654610,-123.357550,
167.600000,827.309000,38.654580,-123.357540,
165.400000,860.072000,38.654310,-123.357390,
165.200000,863.837000,38.654280,-123.357370,
164.700000,868.997000,38.654240,-123.357340,
157.900000,897.346000,38.654010,-123.357200,
155.700000,905.820000,38.653950,-123.357140,
154.500000,913.448000,38.653900,-123.357080,
154.100000,920.390000,38.653870,-123.357010,
154.700000,928.214000,38.653870,-123.356920,
155.500000,933.885000,38.653890,-123.356860,
155.900000,936.721000,38.653900,-123.356830,
156.700000,940.850000,38.653920,-123.356790,
159.100000,951.812000,38.653980,-123.356690,
181.200000,997.866000,38.654260,-123.356300,
185.300000,1012.542000,38.654360,-123.356190,
186.500000,1018.688000,38.654410,-123.356160,
187.700000,1024.835000,38.654460,-123.356130,
188.400000,1028.264000,38.654480,-123.356100,
188.800000,1030.328000,38.654490,-123.356080,
189.100000,1032.393000,38.654500,-123.356060,
189.500000,1034.457000,38.654510,-123.356040,
189.800000,1037.065000,38.654510,-123.356010,
189.800000,1038.478000,38.654500,-123.356000,
189.900000,1039.347000,38.654500,-123.355990,
190.000000,1041.411000,38.654490,-123.355970,
189.900000,1042.824000,38.654480,-123.355960,
190.000000,1047.061000,38.654450,-123.355930,
189.900000,1068.264000,38.654280,-123.355820,
189.000000,1121.576000,38.653850,-123.355550,
189.100000,1127.058000,38.653820,-123.355500,
188.900000,1131.879000,38.653790,-123.355460,
189.100000,1135.530000,38.653780,-123.355420,
189.600000,1140.746000,38.653780,-123.355360,
190.300000,1147.701000,38.653780,-123.355280,
190.700000,1152.047000,38.653780,-123.355230,
191.800000,1165.087000,38.653780,-123.355080,
196.700000,1198.197000,38.653800,-123.354700,
201.400000,1225.118000,38.653860,-123.354400,
