alt,dst,lat,lon,mdata
15.700000,0.000000,38.495380,-123.008640,E:\Dropbox\website\dev2\climbing\climbs\Summit-Ave-Guerneville.tcx
16.300000,10.339000,38.495430,-123.008740,
17.000000,16.831000,38.495450,-123.008810,
17.700000,24.560000,38.495480,-123.008890,
19.500000,38.676000,38.495500,-123.009050,
21.000000,50.002000,38.495500,-123.009180,
22.400000,60.692000,38.495480,-123.009300,
24.700000,76.662000,38.495410,-123.009460,
26.800000,94.543000,38.495320,-123.009630,
27.500000,132.533000,38.495080,-123.009940,
35.900000,160.262000,38.495260,-123.010160,
40.300000,196.855000,38.495260,-123.010580,
48.700000,250.187000,38.495220,-123.011190,
51.500000,266.778000,38.495230,-123.011380,
56.600000,303.523000,38.495200,-123.011800,
59.700000,321.819000,38.495130,-123.011990,
67.200000,366.231000,38.495020,-123.012480,
90.000000,466.344000,38.494760,-123.013580,
97.700000,497.886000,38.494730,-123.013940,
99.100000,503.231000,38.494720,-123.014000,
113.500000,565.036000,38.494630,-123.014700,
117.000000,589.432000,38.494630,-123.014980,
118.200000,595.631000,38.494620,-123.015050,
121.200000,609.748000,38.494600,-123.015210,
127.200000,629.426000,38.494560,-123.015430,
135.800000,653.186000,38.494530,-123.015700,
142.800000,682.703000,38.494470,-123.016030,
149.200000,710.279000,38.494420,-123.016340,
151.100000,724.219000,38.494420,-123.016500,
153.400000,740.059000,38.494440,-123.016680,
156.100000,757.910000,38.494500,-123.016870,
160.600000,782.679000,38.494590,-123.017130,
162.500000,806.853000,38.494640,-123.017400,
164.400000,825.284000,38.494660,-123.017610,
166.300000,833.996000,38.494660,-123.017710,
168.300000,842.989000,38.494640,-123.017810,
168.900000,849.481000,38.494620,-123.017880,
168.000000,873.713000,38.494510,-123.018120,
