alt,dst,lat,lon,mdata
140.100000,0.000000,38.548720,-122.953610,E:\Dropbox\website\dev2\climbing\climbs\Sweetwater-Springs-Rd-East-Guerneville.tcx
140.700000,15.945000,38.548840,-122.953710,
142.100000,50.252000,38.549110,-122.953900,
142.500000,63.383000,38.549210,-122.953980,
143.400000,75.110000,38.549300,-122.954050,
145.700000,100.924000,38.549490,-122.954220,
145.900000,110.574000,38.549550,-122.954300,
146.100000,117.523000,38.549580,-122.954370,
146.800000,123.718000,38.549590,-122.954440,
147.800000,131.554000,38.549590,-122.954530,
148.800000,138.042000,38.549570,-122.954600,
149.700000,145.095000,38.549560,-122.954680,
151.300000,152.148000,38.549550,-122.954760,
152.600000,158.636000,38.549570,-122.954830,
153.900000,165.702000,38.549620,-122.954880,
154.700000,172.768000,38.549670,-122.954930,
155.500000,182.149000,38.549740,-122.954990,
154.200000,190.628000,38.549800,-122.955050,
155.700000,196.306000,38.549820,-122.955110,
156.500000,201.985000,38.549840,-122.955170,
157.400000,207.325000,38.549850,-122.955230,
158.800000,213.420000,38.549850,-122.955300,
160.900000,220.369000,38.549820,-122.955370,
163.500000,230.820000,38.549750,-122.955450,
165.400000,237.385000,38.549700,-122.955490,
169.300000,249.112000,38.549610,-122.955560,
172.400000,260.418000,38.549530,-122.955640,
174.700000,274.145000,38.549450,-122.955760,
175.500000,284.706000,38.549410,-122.955870,
175.100000,297.096000,38.549390,-122.956010,
173.700000,307.543000,38.549390,-122.956130,
172.400000,320.791000,38.549370,-122.956280,
172.900000,326.469000,38.549350,-122.956340,
175.900000,338.269000,38.549320,-122.956470,
182.400000,350.431000,38.549280,-122.956600,
186.000000,358.698000,38.549240,-122.956680,
186.700000,367.739000,38.549180,-122.956750,
187.800000,379.045000,38.549100,-122.956830,
189.200000,392.658000,38.549000,-122.956920,
191.200000,408.533000,38.548900,-122.957050,
192.700000,418.144000,38.548850,-122.957140,
194.000000,424.344000,38.548820,-122.957200,
194.400000,434.176000,38.548800,-122.957310,
194.800000,445.548000,38.548790,-122.957440,
193.800000,458.186000,38.548820,-122.957580,
193.600000,468.867000,38.548840,-122.957700,
195.100000,475.921000,38.548830,-122.957780,
197.700000,483.233000,38.548810,-122.957860,
202.100000,492.557000,38.548780,-122.957960,
205.100000,499.869000,38.548760,-122.958040,
209.200000,512.845000,38.548720,-122.958180,
209.400000,529.387000,38.548720,-122.958370,
214.000000,552.919000,38.548710,-122.958640,
216.800000,560.231000,38.548730,-122.958720,
219.200000,567.181000,38.548760,-122.958790,
219.900000,573.408000,38.548800,-122.958840,
220.300000,581.887000,38.548860,-122.958900,
220.100000,592.338000,38.548930,-122.958980,
219.800000,599.971000,38.548980,-122.959040,
219.800000,606.171000,38.549010,-122.959100,
220.300000,615.950000,38.549050,-122.959200,
221.100000,625.274000,38.549080,-122.959300,
222.100000,634.260000,38.549100,-122.959400,
223.900000,642.096000,38.549100,-122.959490,
226.400000,650.873000,38.549110,-122.959590,
230.500000,662.407000,38.549090,-122.959720,
232.200000,671.184000,38.549080,-122.959820,
233.700000,679.098000,38.549070,-122.959910,
235.800000,687.804000,38.549070,-122.960010,
237.900000,697.129000,38.549100,-122.960110,
240.200000,706.115000,38.549120,-122.960210,
243.700000,722.805000,38.549140,-122.960400,
245.800000,734.340000,38.549120,-122.960530,
247.000000,743.117000,38.549110,-122.960630,
248.200000,752.758000,38.549100,-122.960740,
249.000000,760.593000,38.549100,-122.960830,
249.800000,772.128000,38.549120,-122.960960,
251.100000,787.300000,38.549150,-122.961130,
251.000000,796.950000,38.549210,-122.961210,
251.300000,811.425000,38.549300,-122.961330,
252.000000,821.758000,38.549350,-122.961430,
252.800000,830.744000,38.549370,-122.961530,
253.500000,840.068000,38.549400,-122.961630,
254.500000,851.036000,38.549430,-122.961750,
255.500000,869.060000,38.549510,-122.961930,
255.800000,875.549000,38.549530,-122.962000,
256.300000,883.273000,38.549560,-122.962080,
256.700000,886.755000,38.549560,-122.962120,
257.400000,890.237000,38.549560,-122.962160,
258.900000,896.331000,38.549560,-122.962230,
259.900000,899.987000,38.549550,-122.962270,
261.700000,906.182000,38.549540,-122.962340,
263.100000,911.072000,38.549520,-122.962390,
267.000000,927.309000,38.549460,-122.962560,
268.400000,940.708000,38.549410,-122.962700,
268.900000,950.319000,38.549360,-122.962790,
269.600000,955.208000,38.549340,-122.962840,
270.500000,959.701000,38.549330,-122.962890,
272.200000,965.796000,38.549330,-122.962960,
273.000000,969.227000,38.549350,-122.962990,
273.900000,972.659000,38.549370,-122.963020,
274.400000,977.196000,38.549410,-122.963030,
274.500000,980.536000,38.549440,-122.963030,
274.100000,982.603000,38.549450,-122.963010,
273.500000,992.927000,38.549530,-122.962950,
273.700000,997.464000,38.549570,-122.962940,
273.900000,1005.449000,38.549640,-122.962920,
274.600000,1008.788000,38.549670,-122.962920,
275.600000,1012.239000,38.549700,-122.962930,
276.600000,1015.066000,38.549720,-122.962950,
278.300000,1020.552000,38.549750,-122.963000,
279.300000,1024.685000,38.549770,-122.963040,
280.100000,1027.512000,38.549790,-122.963060,
281.000000,1032.337000,38.549820,-122.963100,
281.600000,1034.727000,38.549840,-122.963110,
282.400000,1038.493000,38.549870,-122.963130,
282.700000,1039.607000,38.549880,-122.963130,
283.300000,1041.833000,38.549900,-122.963130,
284.000000,1047.981000,38.549950,-122.963100,
284.400000,1064.162000,38.550090,-122.963050,
284.200000,1071.334000,38.550150,-122.963020,
284.200000,1075.871000,38.550190,-122.963010,
284.600000,1084.777000,38.550270,-122.963010,
284.700000,1094.833000,38.550360,-122.963020,
284.100000,1109.409000,38.550490,-122.963040,
283.500000,1118.689000,38.550570,-122.963070,
283.100000,1123.470000,38.550610,-122.963090,
283.000000,1130.036000,38.550660,-122.963130,
282.900000,1138.962000,38.550730,-122.963180,
283.500000,1146.934000,38.550790,-122.963230,
285.300000,1154.000000,38.550840,-122.963280,
289.700000,1166.454000,38.550920,-122.963380,
289.400000,1189.065000,38.551080,-122.963540,
288.300000,1202.337000,38.551170,-122.963640,
288.800000,1209.201000,38.551210,-122.963700,
289.400000,1216.749000,38.551250,-122.963770,
292.400000,1224.662000,38.551260,-122.963860,
294.500000,1232.498000,38.551260,-122.963950,
295.800000,1240.643000,38.551240,-122.964040,
296.700000,1250.785000,38.551210,-122.964150,
297.800000,1264.980000,38.551160,-122.964300,
298.000000,1277.142000,38.551120,-122.964430,
298.400000,1286.154000,38.551080,-122.964520,
298.800000,1293.701000,38.551040,-122.964590,
299.900000,1305.385000,38.550970,-122.964690,
300.600000,1314.996000,38.550920,-122.964780,
300.700000,1320.674000,38.550900,-122.964840,
300.600000,1326.869000,38.550890,-122.964910,
300.800000,1336.445000,38.550890,-122.965020,
301.300000,1343.410000,38.550890,-122.965100,
301.900000,1353.242000,38.550910,-122.965210,
302.500000,1359.436000,38.550920,-122.965280,
303.200000,1364.777000,38.550930,-122.965340,
303.800000,1370.264000,38.550960,-122.965390,
304.800000,1377.329000,38.551010,-122.965440,
305.500000,1385.302000,38.551070,-122.965490,
305.500000,1397.028000,38.551160,-122.965560,
305.900000,1399.867000,38.551170,-122.965590,
306.300000,1402.706000,38.551180,-122.965620,
306.800000,1404.448000,38.551180,-122.965640,
307.200000,1405.861000,38.551170,-122.965650,
307.700000,1407.602000,38.551170,-122.965670,
308.100000,1409.015000,38.551160,-122.965680,
308.900000,1412.466000,38.551130,-122.965690,
