alt,dst,lat,lon,mdata
60.200000,0.000000,38.540600,-122.984620,E:\Dropbox\website\dev2\climbing\climbs\Sweetwater-Springs-West-Guerneville.tcx
60.500000,16.788000,38.540750,-122.984640,
60.800000,27.141000,38.540840,-122.984670,
61.100000,36.089000,38.540920,-122.984680,
61.200000,44.074000,38.540990,-122.984660,
61.400000,54.243000,38.541080,-122.984640,
61.600000,59.876000,38.541130,-122.984630,
62.300000,67.717000,38.541200,-122.984620,
64.500000,77.886000,38.541290,-122.984600,
66.400000,86.834000,38.541370,-122.984590,
67.700000,93.569000,38.541430,-122.984600,
68.300000,103.626000,38.541520,-122.984590,
68.400000,110.362000,38.541580,-122.984580,
68.400000,121.629000,38.541680,-122.984560,
70.900000,151.698000,38.541950,-122.984570,
71.200000,162.863000,38.542050,-122.984560,
71.500000,173.995000,38.542150,-122.984560,
71.900000,186.271000,38.542260,-122.984550,
74.300000,197.706000,38.542360,-122.984580,
79.000000,213.387000,38.542500,-122.984560,
80.800000,232.219000,38.542650,-122.984460,
80.600000,237.044000,38.542680,-122.984420,
80.300000,254.553000,38.542800,-122.984290,
82.100000,272.328000,38.542950,-122.984220,
86.200000,291.153000,38.543110,-122.984150,
92.400000,322.230000,38.543370,-122.984020,
94.000000,347.206000,38.543570,-122.983890,
98.300000,369.153000,38.543690,-122.983690,
99.600000,391.817000,38.543700,-122.983430,
103.700000,418.831000,38.543710,-122.983120,
106.400000,442.989000,38.543760,-122.982850,
108.500000,452.551000,38.543840,-122.982810,
110.400000,463.002000,38.543910,-122.982890,
110.600000,472.644000,38.543920,-122.983000,
110.900000,480.559000,38.543930,-122.983090,
110.000000,486.237000,38.543910,-122.983150,
110.200000,494.152000,38.543920,-122.983240,
110.000000,509.981000,38.543940,-122.983420,
110.600000,520.124000,38.543970,-122.983530,
111.000000,526.612000,38.543990,-122.983600,
114.400000,547.722000,38.544050,-122.983830,
115.400000,551.856000,38.544070,-122.983870,
116.300000,557.534000,38.544090,-122.983930,
117.200000,563.734000,38.544120,-122.983990,
117.800000,568.624000,38.544140,-122.984040,
118.700000,575.112000,38.544160,-122.984110,
120.200000,586.648000,38.544180,-122.984240,
121.000000,595.425000,38.544190,-122.984340,
120.600000,602.479000,38.544180,-122.984420,
120.100000,610.625000,38.544160,-122.984510,
120.300000,618.349000,38.544130,-122.984590,
121.000000,626.616000,38.544090,-122.984670,
121.800000,633.566000,38.544060,-122.984740,
122.000000,639.793000,38.544020,-122.984790,
122.200000,643.927000,38.544000,-122.984830,
122.200000,649.413000,38.543970,-122.984880,
122.200000,655.640000,38.543930,-122.984930,
122.000000,661.868000,38.543890,-122.984980,
123.200000,668.095000,38.543850,-122.985030,
124.300000,673.748000,38.543810,-122.985070,
128.100000,689.623000,38.543710,-122.985200,
129.900000,698.401000,38.543700,-122.985300,
131.000000,703.742000,38.543710,-122.985360,
131.700000,707.398000,38.543720,-122.985400,
132.700000,712.223000,38.543750,-122.985440,
134.500000,721.265000,38.543810,-122.985510,
136.400000,727.831000,38.543860,-122.985550,
139.200000,735.003000,38.543920,-122.985580,
142.000000,741.905000,38.543980,-122.985600,
143.100000,749.697000,38.544050,-122.985600,
144.300000,765.379000,38.544190,-122.985580,
145.400000,775.704000,38.544270,-122.985520,
146.400000,781.356000,38.544310,-122.985480,
147.600000,788.423000,38.544360,-122.985430,
148.400000,793.909000,38.544390,-122.985380,
149.800000,797.676000,38.544420,-122.985360,
150.800000,803.162000,38.544450,-122.985310,
152.900000,809.389000,38.544490,-122.985260,
154.400000,815.617000,38.544530,-122.985210,
154.700000,822.481000,38.544570,-122.985150,
155.300000,830.453000,38.544630,-122.985100,
155.900000,837.625000,38.544690,-122.985070,
155.900000,843.773000,38.544740,-122.985040,
156.200000,848.310000,38.544780,-122.985030,
156.100000,852.077000,38.544810,-122.985010,
156.100000,857.909000,38.544860,-122.984990,
156.200000,863.741000,38.544910,-122.984970,
157.100000,870.476000,38.544970,-122.984960,
160.100000,881.083000,38.545060,-122.984920,
163.200000,889.056000,38.545120,-122.984870,
164.300000,892.488000,38.545140,-122.984840,
167.000000,898.715000,38.545180,-122.984790,
168.900000,905.579000,38.545220,-122.984730,
170.500000,909.819000,38.545250,-122.984700,
171.100000,913.251000,38.545270,-122.984670,
172.100000,918.413000,38.545310,-122.984640,
172.200000,923.899000,38.545340,-122.984590,
172.000000,928.789000,38.545360,-122.984540,
171.900000,933.282000,38.545370,-122.984490,
172.700000,941.428000,38.545390,-122.984400,
173.100000,948.482000,38.545400,-122.984320,
172.300000,954.677000,38.545390,-122.984250,
171.800000,966.917000,38.545380,-122.984110,
172.900000,976.494000,38.545380,-122.984000,
176.500000,982.982000,38.545400,-122.983930,
181.800000,993.544000,38.545440,-122.983820,
182.900000,998.433000,38.545460,-122.983770,
185.400000,1010.888000,38.545540,-122.983670,
186.200000,1015.713000,38.545570,-122.983630,
186.900000,1020.602000,38.545590,-122.983580,
187.200000,1025.095000,38.545600,-122.983530,
187.700000,1030.436000,38.545610,-122.983470,
187.400000,1037.402000,38.545610,-122.983390,
187.400000,1041.755000,38.545610,-122.983340,
186.600000,1055.862000,38.545590,-122.983180,
186.400000,1063.174000,38.545570,-122.983100,
186.500000,1071.692000,38.545540,-122.983010,
186.100000,1084.834000,38.545480,-122.982880,
185.600000,1093.101000,38.545440,-122.982800,
185.200000,1100.050000,38.545410,-122.982730,
184.600000,1104.184000,38.545390,-122.982690,
183.900000,1109.073000,38.545370,-122.982640,
183.800000,1114.752000,38.545350,-122.982580,
183.300000,1124.894000,38.545320,-122.982470,
182.800000,1133.040000,38.545300,-122.982380,
181.800000,1139.990000,38.545270,-122.982310,
181.900000,1142.602000,38.545270,-122.982280,
182.200000,1151.379000,38.545260,-122.982180,
182.100000,1176.134000,38.545170,-122.981920,
