alt,dst,lat,lon,mdata
264.600000,0.000000,35.211940,-118.739020,E:\Dropbox\website\dev2\climbing\climbs\The-Bear-(point-of-interest-only).tcx
265.400000,18.721000,35.211844,-118.738851,
265.400000,19.175000,35.211844,-118.738846,
266.200000,22.837000,35.211817,-118.738869,
266.200000,25.995000,35.211828,-118.738837,
266.200000,27.726000,35.211821,-118.738854,
266.200000,28.908000,35.211821,-118.738867,
266.200000,29.688000,35.211814,-118.738867,
266.200000,30.700000,35.211818,-118.738877,
266.200000,32.351000,35.211811,-118.738861,
266.200000,33.533000,35.211811,-118.738848,
266.200000,35.982000,35.211832,-118.738856,
266.200000,36.884000,35.211839,-118.738851,
266.200000,38.025000,35.211842,-118.738839,
266.200000,38.313000,35.211840,-118.738837,
266.200000,51.049000,35.211751,-118.738749,
266.200000,88.137000,35.211505,-118.738474,
267.600000,119.650000,35.211294,-118.738243,
270.600000,157.020000,35.211057,-118.737952,
273.600000,198.493000,35.210837,-118.737584,
276.000000,232.929000,35.210696,-118.737247,
279.200000,271.469000,35.210555,-118.736860,
282.400000,306.896000,35.210497,-118.736477,
285.400000,339.537000,35.210454,-118.736122,
286.200000,349.308000,35.210432,-118.736018,
289.400000,377.765000,35.210460,-118.735707,
292.000000,404.180000,35.210523,-118.735427,
292.000000,404.467000,35.210521,-118.735429,
292.000000,405.964000,35.210511,-118.735418,
292.000000,408.565000,35.210534,-118.735423,
292.600000,422.430000,35.210567,-118.735276,
295.600000,458.802000,35.210618,-118.734881,
298.800000,495.368000,35.210701,-118.734492,
302.000000,536.820000,35.210760,-118.734042,
304.600000,579.449000,35.210801,-118.733576,
307.200000,635.192000,35.210886,-118.732972,
310.200000,687.006000,35.210991,-118.732417,
313.400000,730.684000,35.211054,-118.731943,
316.400000,772.314000,35.211075,-118.731486,
319.800000,819.991000,35.210949,-118.730985,
323.000000,852.342000,35.210814,-118.730670,
326.200000,880.103000,35.210642,-118.730449,
328.800000,908.518000,35.210453,-118.730239,
331.200000,940.163000,35.210201,-118.730078,
334.200000,963.741000,35.209998,-118.730004,
337.400000,987.146000,35.209789,-118.729976,
340.200000,1005.768000,35.209622,-118.729964,
343.200000,1025.249000,35.209447,-118.729964,
343.400000,1026.708000,35.209434,-118.729966,
346.400000,1047.089000,35.209254,-118.730007,
349.400000,1067.078000,35.209077,-118.730044,
350.200000,1072.087000,35.209032,-118.730044,
352.400000,1086.253000,35.208908,-118.730079,
353.200000,1092.497000,35.208852,-118.730083,
356.200000,1110.994000,35.208687,-118.730107,
358.600000,1129.648000,35.208521,-118.730135,
362.000000,1148.697000,35.208350,-118.730127,
365.200000,1174.736000,35.208119,-118.730082,
368.200000,1199.486000,35.207900,-118.730035,
368.800000,1202.372000,35.207876,-118.730047,
370.600000,1218.523000,35.207733,-118.730017,
373.400000,1243.112000,35.207518,-118.730079,
376.600000,1268.996000,35.207300,-118.730178,
377.200000,1275.294000,35.207257,-118.730223,
379.600000,1299.700000,35.207081,-118.730383,
382.000000,1329.531000,35.206883,-118.730604,
384.800000,1371.772000,35.206599,-118.730912,
386.200000,1406.996000,35.206394,-118.731207,
389.400000,1446.364000,35.206216,-118.731581,
391.800000,1486.818000,35.205996,-118.731935,
394.600000,1517.549000,35.205765,-118.732120,
397.400000,1547.631000,35.205498,-118.732171,
400.600000,1569.779000,35.205300,-118.732147,
402.400000,1582.866000,35.205183,-118.732133,
405.800000,1604.584000,35.205001,-118.732047,
408.800000,1623.951000,35.204880,-118.731894,
411.600000,1643.911000,35.204744,-118.731751,
414.600000,1662.945000,35.204676,-118.731559,
416.200000,1673.067000,35.204651,-118.731452,
417.000000,1677.951000,35.204644,-118.731399,
417.800000,1684.061000,35.204621,-118.731338,
421.400000,1704.263000,35.204603,-118.731117,
424.600000,1726.909000,35.204621,-118.730869,
426.000000,1735.939000,35.204627,-118.730770,
429.200000,1753.901000,35.204668,-118.730579,
430.800000,1766.745000,35.204653,-118.730439,
434.600000,1789.693000,35.204663,-118.730187,
437.600000,1811.343000,35.204681,-118.729950,
441.000000,1832.499000,35.204735,-118.729727,
441.400000,1835.418000,35.204737,-118.729695,
441.800000,1840.539000,35.204724,-118.729641,
442.800000,1846.898000,35.204701,-118.729577,
446.000000,1872.423000,35.204769,-118.729309,
449.000000,1903.451000,35.204738,-118.728970,
451.200000,1946.250000,35.204573,-118.728545,
453.000000,1992.650000,35.204294,-118.728166,
455.400000,2020.614000,35.204079,-118.728007,
458.400000,2045.183000,35.203876,-118.727901,
461.000000,2068.717000,35.203667,-118.727862,
463.600000,2091.134000,35.203466,-118.727847,
465.000000,2100.940000,35.203378,-118.727852,
466.800000,2114.830000,35.203254,-118.727869,
470.000000,2137.005000,35.203055,-118.727858,
473.000000,2158.375000,35.202871,-118.727791,
476.000000,2185.111000,35.202669,-118.727632,
477.600000,2208.439000,35.202531,-118.727439,
479.200000,2251.851000,35.202367,-118.727006,
480.600000,2283.443000,35.202244,-118.726693,
480.600000,2285.302000,35.202229,-118.726684,
480.600000,2286.926000,35.202243,-118.726679,
480.600000,2288.822000,35.202236,-118.726660,
481.400000,2290.246000,35.202225,-118.726668,
481.400000,2292.430000,35.202237,-118.726649,
481.400000,2293.609000,35.202241,-118.726637,
481.400000,2301.417000,35.202210,-118.726560,
483.000000,2333.756000,35.201959,-118.726381,
486.000000,2363.683000,35.201709,-118.726260,
488.600000,2403.553000,35.201359,-118.726167,
491.000000,2439.972000,35.201056,-118.726016,
494.200000,2469.757000,35.200868,-118.725783,
497.400000,2488.920000,35.200836,-118.725576,
500.600000,2513.846000,35.200896,-118.725312,
502.200000,2526.765000,35.200980,-118.725214,
505.400000,2552.976000,35.201183,-118.725068,
508.600000,2576.702000,35.201396,-118.725059,
510.800000,2594.087000,35.201541,-118.724988,
513.600000,2614.221000,35.201709,-118.724906,
515.400000,2627.536000,35.201783,-118.724791,
517.600000,2646.524000,35.201876,-118.724616,
517.600000,2649.081000,35.201878,-118.724588,
518.200000,2653.445000,35.201914,-118.724569,
518.400000,2655.348000,35.201928,-118.724581,
518.400000,2660.040000,35.201906,-118.724625,
518.400000,2662.567000,35.201898,-118.724599,
519.000000,2673.951000,35.201893,-118.724474,
521.400000,2697.237000,35.201894,-118.724218,
523.800000,2718.573000,35.201807,-118.724009,
525.200000,2725.631000,35.201778,-118.723940,
525.400000,2729.346000,35.201751,-118.723916,
527.000000,2736.747000,35.201707,-118.723855,
527.600000,2740.424000,35.201675,-118.723845,
531.000000,2762.993000,35.201498,-118.723724,
534.200000,2784.895000,35.201302,-118.723703,
537.200000,2806.399000,35.201118,-118.723775,
539.800000,2822.459000,35.200992,-118.723861,
540.000000,2825.499000,35.201011,-118.723885,
540.000000,2832.391000,35.200950,-118.723872,
541.400000,2851.019000,35.200815,-118.723993,
544.000000,2872.623000,35.200622,-118.724018,
547.000000,2898.222000,35.200408,-118.723915,
550.000000,2922.170000,35.200251,-118.723735,
553.000000,2942.787000,35.200158,-118.723539,
554.200000,2949.128000,35.200129,-118.723479,
557.600000,2973.597000,35.200129,-118.723210,
560.000000,3005.042000,35.200254,-118.722900,
561.600000,3042.284000,35.200342,-118.722505,
563.200000,3066.447000,35.200202,-118.722302,
564.800000,3092.588000,35.200017,-118.722125,
567.400000,3123.591000,35.199779,-118.721948,
570.000000,3144.008000,35.199639,-118.721803,
570.200000,3149.784000,35.199606,-118.721754,
573.400000,3170.752000,35.199536,-118.721540,
573.800000,3173.590000,35.199529,-118.721510,
575.000000,3184.060000,35.199516,-118.721396,
578.200000,3207.312000,35.199481,-118.721144,
580.600000,3226.524000,35.199428,-118.720943,
583.600000,3246.269000,35.199296,-118.720798,
586.200000,3265.776000,35.199121,-118.720787,
589.200000,3283.953000,35.198969,-118.720860,
591.000000,3307.211000,35.198904,-118.721103,
591.600000,3316.544000,35.198913,-118.721205,
592.000000,3322.868000,35.198920,-118.721274,
594.800000,3348.495000,35.198970,-118.721549,
597.200000,3369.169000,35.198979,-118.721776,
600.200000,3391.287000,35.198925,-118.722010,
601.400000,3398.796000,35.198912,-118.722091,
604.600000,3420.444000,35.198819,-118.722300,
607.000000,3440.066000,35.198690,-118.722447,
608.600000,3449.108000,35.198616,-118.722488,
610.600000,3462.535000,35.198523,-118.722582,
613.600000,3485.342000,35.198327,-118.722655,
616.000000,3507.602000,35.198130,-118.722697,
