alt,dst,lat,lon,mdata
39.200000,0.000000,38.534070,-123.275610,E:\Dropbox\website\dev2\climbing\climbs\Timber-Cove-Rd-Timber-Cove.tcx
40.600000,8.906000,38.534150,-123.275610,
43.500000,26.738000,38.534310,-123.275600,
45.300000,39.035000,38.534410,-123.275540,
47.500000,57.583000,38.534520,-123.275380,
50.800000,79.202000,38.534610,-123.275160,
54.400000,110.891000,38.534730,-123.274830,
55.800000,127.850000,38.534850,-123.274710,
56.900000,135.835000,38.534920,-123.274690,
59.600000,148.355000,38.535030,-123.274720,
63.100000,167.480000,38.535190,-123.274800,
66.000000,198.223000,38.535440,-123.274950,
80.800000,351.566000,38.536690,-123.275690,
84.300000,383.320000,38.536950,-123.275840,
86.700000,406.648000,38.537150,-123.275920,
93.200000,467.662000,38.537690,-123.276040,
97.100000,510.154000,38.538060,-123.276160,
101.800000,560.062000,38.538500,-123.276270,
104.200000,587.285000,38.538740,-123.276330,
106.100000,606.527000,38.538910,-123.276370,
108.300000,623.783000,38.539060,-123.276320,
111.500000,654.757000,38.539300,-123.276140,
113.100000,679.169000,38.539490,-123.276000,
114.500000,697.001000,38.539650,-123.275990,
116.800000,719.282000,38.539850,-123.276000,
121.200000,755.285000,38.540170,-123.276060,
124.300000,783.129000,38.540420,-123.276070,
126.500000,808.968000,38.540650,-123.276030,
139.500000,910.511000,38.541550,-123.275840,
148.300000,976.384000,38.542130,-123.275690,
155.600000,1042.089000,38.542710,-123.275550,
155.800000,1044.316000,38.542730,-123.275550,
160.000000,1081.092000,38.543060,-123.275530,
161.900000,1105.721000,38.543280,-123.275560,
162.400000,1122.419000,38.543430,-123.275560,
162.900000,1145.105000,38.543630,-123.275510,
163.400000,1183.942000,38.543970,-123.275410,
171.300000,1328.666000,38.545270,-123.275390,
173.200000,1397.953000,38.545890,-123.275320,
174.500000,1439.879000,38.546260,-123.275230,
186.700000,1596.303000,38.547570,-123.274580,
190.900000,1637.126000,38.547920,-123.274440,
193.700000,1661.284000,38.548130,-123.274370,
196.100000,1683.565000,38.548330,-123.274360,
206.700000,1775.997000,38.549160,-123.274330,
219.500000,1846.133000,38.549790,-123.274320,
222.100000,1870.685000,38.550010,-123.274300,
224.100000,1893.768000,38.550210,-123.274230,
228.100000,1927.065000,38.550460,-123.274020,
229.900000,1952.589000,38.550620,-123.273810,
230.000000,1972.526000,38.550740,-123.273640,
229.400000,1988.401000,38.550840,-123.273510,
228.600000,2005.844000,38.550980,-123.273420,
228.200000,2039.522000,38.551280,-123.273370,
228.100000,2101.885000,38.551840,-123.273350,
228.500000,2124.968000,38.552040,-123.273280,
228.900000,2146.713000,38.552190,-123.273120,
230.500000,2180.215000,38.552460,-123.272950,
229.900000,2203.087000,38.552650,-123.272850,
229.300000,2224.309000,38.552840,-123.272830,
229.100000,2246.320000,38.553030,-123.272900,
222.000000,2352.540000,38.553920,-123.273340,
222.400000,2396.329000,38.554300,-123.273470,
222.600000,2427.608000,38.554580,-123.273500,
222.800000,2470.426000,38.554920,-123.273270,
226.700000,2490.370000,38.554970,-123.273050,
229.000000,2502.531000,38.555010,-123.272920,
230.300000,2512.107000,38.555010,-123.272810,
234.000000,2536.869000,38.554940,-123.272540,
235.800000,2550.115000,38.554920,-123.272390,
238.100000,2564.956000,38.554930,-123.272220,
239.600000,2574.787000,38.554950,-123.272110,
241.500000,2589.628000,38.554940,-123.271940,
243.200000,2612.744000,38.554870,-123.271690,
245.000000,2631.392000,38.554810,-123.271490,
250.000000,2647.682000,38.554770,-123.271310,
251.400000,2665.960000,38.554720,-123.271110,
253.100000,2680.759000,38.554720,-123.270940,
260.200000,2706.349000,38.554790,-123.270660,
283.200000,2790.044000,38.555110,-123.269790,
289.000000,2807.915000,38.555200,-123.269620,
292.000000,2818.965000,38.555270,-123.269530,
293.400000,2837.244000,38.555320,-123.269330,
296.100000,2852.085000,38.555330,-123.269160,
299.400000,2883.276000,38.555390,-123.268810,
300.700000,2898.482000,38.555460,-123.268660,
301.000000,2913.105000,38.555500,-123.268500,
301.300000,2923.247000,38.555530,-123.268390,
302.000000,2933.807000,38.555570,-123.268280,
303.200000,2975.159000,38.555710,-123.267840,
311.400000,3025.251000,38.556000,-123.267400,
318.700000,3057.482000,38.556180,-123.267110,
