alt,dst,lat,lon,mdata
2085.400000,0.000000,37.949830,-119.113250,E:\Dropbox\website\dev2\climbing\climbs\Tioga-Pass-Lee-Vinning.tcx
2086.100000,37.575000,37.949500,-119.113340,
2090.700000,98.223000,37.948970,-119.113500,
2092.400000,121.101000,37.948770,-119.113560,
2093.600000,139.942000,37.948610,-119.113630,
2095.000000,160.127000,37.948440,-119.113710,
2097.300000,188.159000,37.948210,-119.113840,
2098.100000,196.706000,37.948140,-119.113880,
2100.100000,225.106000,37.947910,-119.114020,
2102.400000,258.980000,37.947660,-119.114240,
2103.500000,277.410000,37.947530,-119.114370,
2105.000000,292.735000,37.947430,-119.114490,
2109.300000,308.061000,37.947330,-119.114610,
2110.600000,314.958000,37.947290,-119.114670,
2111.200000,322.621000,37.947240,-119.114730,
2111.700000,329.518000,37.947200,-119.114790,
2113.100000,344.704000,37.947110,-119.114920,
2115.900000,359.890000,37.947020,-119.115050,
2116.800000,390.261000,37.946840,-119.115310,
2117.000000,397.158000,37.946800,-119.115370,
2117.000000,444.110000,37.946520,-119.115770,
2123.400000,547.566000,37.945920,-119.116670,
2127.000000,576.545000,37.945750,-119.116920,
2129.000000,598.738000,37.945610,-119.117100,
2129.900000,623.964000,37.945440,-119.117290,
2131.300000,645.783000,37.945290,-119.117450,
2131.600000,660.850000,37.945180,-119.117550,
2131.800000,671.197000,37.945100,-119.117610,
2131.800000,682.950000,37.945010,-119.117680,
2132.100000,705.049000,37.944840,-119.117810,
2133.100000,720.141000,37.944720,-119.117890,
2134.300000,733.471000,37.944610,-119.117950,
2135.100000,747.830000,37.944490,-119.118010,
2135.700000,763.230000,37.944360,-119.118070,
2136.100000,781.803000,37.944200,-119.118130,
2136.700000,795.616000,37.944080,-119.118170,
2138.600000,805.787000,37.943990,-119.118190,
2140.700000,817.226000,37.943890,-119.118220,
2141.700000,827.397000,37.943800,-119.118240,
2142.300000,857.772000,37.943530,-119.118290,
2143.300000,870.143000,37.943420,-119.118310,
2148.900000,922.932000,37.942950,-119.118390,
2149.400000,937.509000,37.942820,-119.118410,
2150.000000,980.390000,37.942440,-119.118490,
2150.400000,999.496000,37.942270,-119.118520,
2150.800000,1022.189000,37.942070,-119.118570,
2151.500000,1034.714000,37.941960,-119.118600,
2152.200000,1044.000000,37.941880,-119.118630,
2153.700000,1059.401000,37.941750,-119.118690,
2154.200000,1075.851000,37.941610,-119.118750,
2154.300000,1086.790000,37.941520,-119.118800,
2154.800000,1105.262000,37.941370,-119.118890,
2155.700000,1125.523000,37.941210,-119.119000,
