alt,dst,lat,lon,mdata
2621.100000,0.000000,37.877010,-119.352740,E:\Dropbox\website\dev2\climbing\climbs\Tioga-Pass-West.tcx
2621.800000,87.931000,37.877040,-119.351740,
2628.900000,226.922000,37.877100,-119.350160,
2632.300000,297.251000,37.877120,-119.349360,
2632.700000,334.172000,37.877130,-119.348940,
2633.900000,366.702000,37.877140,-119.348570,
2638.300000,420.405000,37.877170,-119.347960,
2639.800000,454.961000,37.877210,-119.347570,
2640.600000,487.775000,37.877250,-119.347200,
2644.100000,534.821000,37.877310,-119.346670,
2644.000000,564.157000,37.877350,-119.346340,
2646.600000,627.528000,37.877450,-119.345630,
2650.700000,733.992000,37.877630,-119.344440,
2651.800000,771.496000,37.877690,-119.344020,
2653.700000,805.204000,37.877770,-119.343650,
2659.000000,850.283000,37.877890,-119.343160,
2661.500000,890.358000,37.878010,-119.342730,
2662.000000,923.459000,37.878120,-119.342380,
2662.400000,947.162000,37.878200,-119.342130,
2662.700000,969.246000,37.878280,-119.341900,
2663.200000,989.735000,37.878360,-119.341690,
2665.100000,1010.731000,37.878450,-119.341480,
2667.800000,1031.727000,37.878540,-119.341270,
2673.000000,1080.718000,37.878750,-119.340780,
2673.500000,1107.182000,37.878870,-119.340520,
2677.800000,1205.483000,37.879310,-119.339550,
2684.900000,1288.696000,37.879670,-119.338720,
2686.400000,1354.794000,37.879940,-119.338050,
2688.300000,1393.413000,37.880100,-119.337660,
2689.600000,1409.775000,37.880160,-119.337490,
2690.700000,1427.756000,37.880220,-119.337300,
2691.300000,1437.155000,37.880250,-119.337200,
2691.800000,1444.529000,37.880270,-119.337120,
2692.200000,1454.447000,37.880290,-119.337010,
2692.500000,1462.662000,37.880310,-119.336920,
2692.500000,1472.391000,37.880320,-119.336810,
2692.400000,1484.692000,37.880320,-119.336670,
2692.400000,1498.794000,37.880330,-119.336510,
2693.600000,1529.546000,37.880330,-119.336160,
2698.600000,1595.481000,37.880310,-119.335410,
2700.200000,1693.989000,37.880270,-119.334290,
2707.800000,1756.412000,37.880250,-119.333580,
2710.400000,1810.112000,37.880220,-119.332970,
2711.500000,1838.426000,37.880190,-119.332650,
2711.600000,1879.588000,37.880120,-119.332190,
2711.400000,1908.250000,37.880070,-119.331870,
2711.900000,1922.352000,37.880060,-119.331710,
2712.500000,1938.207000,37.880050,-119.331530,
2714.900000,1966.411000,37.880030,-119.331210,
2729.600000,2137.803000,37.879990,-119.329260,
2732.200000,2161.527000,37.879990,-119.328990,
2732.400000,2173.828000,37.879990,-119.328850,
2733.100000,2184.430000,37.880000,-119.328730,
2733.500000,2195.032000,37.880010,-119.328610,
2733.800000,2203.889000,37.880020,-119.328510,
2734.400000,2212.745000,37.880030,-119.328410,
2735.700000,2227.195000,37.880060,-119.328250,
2736.100000,2239.941000,37.880090,-119.328110,
2737.100000,2257.109000,37.880150,-119.327930,
2736.900000,2273.875000,37.880200,-119.327750,
2736.300000,2297.182000,37.880270,-119.327500,
2737.700000,2354.049000,37.880480,-119.326910,
2745.200000,2389.196000,37.880600,-119.326540,
2745.300000,2413.338000,37.880690,-119.326290,
2746.000000,2426.570000,37.880750,-119.326160,
2746.100000,2435.645000,37.880790,-119.326070,
2746.400000,2443.966000,37.880830,-119.325990,
2746.900000,2454.317000,37.880890,-119.325900,
2747.300000,2462.612000,37.880940,-119.325830,
2747.600000,2467.460000,37.880970,-119.325790,
2748.400000,2489.863000,37.881120,-119.325620,
2754.000000,2553.680000,37.881570,-119.325170,
2756.700000,2583.164000,37.881770,-119.324950,
2757.500000,2590.831000,37.881820,-119.324890,
2758.100000,2598.497000,37.881870,-119.324830,
2758.200000,2601.947000,37.881890,-119.324800,
2758.200000,2607.465000,37.881920,-119.324750,
2758.200000,2615.058000,37.881960,-119.324680,
2758.200000,2620.781000,37.881980,-119.324620,
2758.300000,2625.706000,37.882000,-119.324570,
2758.500000,2634.781000,37.882040,-119.324480,
2758.600000,2641.322000,37.882060,-119.324410,
2758.900000,2647.863000,37.882080,-119.324340,
2759.200000,2654.404000,37.882100,-119.324270,
2759.500000,2660.654000,37.882110,-119.324200,
2760.000000,2667.770000,37.882120,-119.324120,
2760.300000,2674.021000,37.882130,-119.324050,
2760.800000,2681.137000,37.882140,-119.323970,
2761.400000,2689.923000,37.882140,-119.323870,
2762.000000,2698.709000,37.882140,-119.323770,
2762.400000,2704.860000,37.882140,-119.323700,
2762.800000,2710.131000,37.882140,-119.323640,
2763.300000,2718.988000,37.882130,-119.323540,
2763.700000,2725.238000,37.882120,-119.323470,
2764.000000,2730.626000,37.882110,-119.323410,
2764.500000,2736.876000,37.882100,-119.323340,
2765.000000,2744.249000,37.882080,-119.323260,
2765.200000,2749.174000,37.882060,-119.323210,
2765.400000,2753.706000,37.882050,-119.323160,
2765.600000,2764.859000,37.882000,-119.323050,
2765.900000,2785.087000,37.881910,-119.322850,
2766.100000,2814.097000,37.881760,-119.322580,
2766.300000,2827.923000,37.881690,-119.322450,
2766.500000,2843.234000,37.881620,-119.322300,
2767.300000,2885.999000,37.881440,-119.321870,
2767.700000,2907.771000,37.881350,-119.321650,
2767.600000,2925.402000,37.881280,-119.321470,
2767.500000,2961.791000,37.881150,-119.321090,
2767.800000,3001.178000,37.881050,-119.320660,
2768.100000,3035.733000,37.880970,-119.320280,
2771.000000,3103.200000,37.880840,-119.319530,
2775.200000,3262.893000,37.880550,-119.317750,
2776.200000,3315.914000,37.880450,-119.317160,
2778.200000,3393.713000,37.880320,-119.316290,
2779.500000,3423.773000,37.880290,-119.315950,
2780.300000,3448.600000,37.880260,-119.315670,
2780.700000,3469.083000,37.880230,-119.315440,
2781.800000,3489.414000,37.880210,-119.315210,
2783.200000,3529.892000,37.880190,-119.314750,
2783.900000,3566.812000,37.880200,-119.314330,
2784.200000,3584.420000,37.880210,-119.314130,
2785.300000,3633.064000,37.880260,-119.313580,
2785.700000,3651.815000,37.880290,-119.313370,
2786.000000,3668.840000,37.880320,-119.313180,
2786.900000,3696.640000,37.880370,-119.312870,
2788.900000,3750.521000,37.880470,-119.312270,
2789.900000,3781.132000,37.880530,-119.311930,
2792.000000,3836.966000,37.880640,-119.311310,
2794.300000,3872.741000,37.880700,-119.310910,
2797.600000,3909.192000,37.880750,-119.310500,
2799.300000,3934.769000,37.880770,-119.310210,
2801.000000,3963.785000,37.880780,-119.309880,
2804.800000,4017.393000,37.880790,-119.309270,
2805.400000,4060.446000,37.880790,-119.308780,
2807.600000,4086.899000,37.880770,-119.308480,
2810.600000,4108.015000,37.880760,-119.308240,
2812.300000,4140.695000,37.880730,-119.307870,
2811.900000,4168.137000,37.880700,-119.307560,
2811.000000,4191.224000,37.880670,-119.307300,
2811.500000,4269.713000,37.880510,-119.306430,
2812.400000,4317.314000,37.880390,-119.305910,
2812.600000,4357.867000,37.880280,-119.305470,
2814.100000,4397.506000,37.880150,-119.305050,
2817.200000,4563.034000,37.879580,-119.303310,
2817.700000,4570.700000,37.879630,-119.303250,
2818.800000,4586.102000,37.879760,-119.303190,
2817.700000,4601.503000,37.879630,-119.303250,
2817.200000,4609.170000,37.879580,-119.303310,
2817.400000,4644.871000,37.879490,-119.302920,
2817.100000,4681.738000,37.879390,-119.302520,
2818.300000,4721.377000,37.879260,-119.302100,
2821.600000,4765.922000,37.879110,-119.301630,
2823.700000,4815.029000,37.878970,-119.301100,
2824.300000,4834.301000,37.878920,-119.300890,
2824.700000,4849.888000,37.878880,-119.300720,
2825.100000,4863.484000,37.878850,-119.300570,
