alt,dst,lat,lon,mdata
567.500000,0.000000,37.010850,-119.403250,E:\Dropbox\website\dev2\climbing\climbs\Tollhouse-Rd-Tollhouse.tcx
568.000000,10.058000,37.010940,-119.403260,
568.700000,21.505000,37.011040,-119.403290,
571.600000,119.216000,37.011900,-119.403510,
572.100000,162.667000,37.012290,-119.403530,
572.400000,198.534000,37.012600,-119.403420,
573.500000,299.859000,37.013410,-119.402900,
577.200000,400.782000,37.014220,-119.402390,
578.100000,419.648000,37.014380,-119.402320,
578.400000,497.195000,37.015070,-119.402200,
578.900000,545.268000,37.015500,-119.402150,
579.100000,571.638000,37.015720,-119.402040,
578.500000,592.463000,37.015870,-119.401900,
580.500000,686.266000,37.016220,-119.400940,
582.800000,803.334000,37.016940,-119.399980,
583.000000,847.303000,37.017260,-119.399690,
583.400000,874.383000,37.017480,-119.399560,
583.900000,935.923000,37.018030,-119.399490,
584.000000,949.399000,37.018150,-119.399470,
584.100000,952.855000,37.018180,-119.399460,
584.100000,956.311000,37.018210,-119.399450,
584.200000,958.708000,37.018230,-119.399440,
584.300000,960.133000,37.018240,-119.399430,
584.400000,962.530000,37.018260,-119.399420,
584.500000,965.379000,37.018280,-119.399400,
584.700000,968.228000,37.018300,-119.399380,
584.800000,970.325000,37.018310,-119.399360,
585.000000,973.174000,37.018330,-119.399340,
585.300000,976.064000,37.018340,-119.399310,
585.500000,978.953000,37.018350,-119.399280,
585.800000,983.148000,37.018370,-119.399240,
586.100000,987.730000,37.018380,-119.399190,
586.400000,992.311000,37.018390,-119.399140,
586.600000,996.892000,37.018400,-119.399090,
586.900000,1003.213000,37.018410,-119.399020,
587.300000,1012.170000,37.018420,-119.398920,
588.700000,1039.204000,37.018460,-119.398620,
589.500000,1054.314000,37.018460,-119.398450,
591.400000,1087.369000,37.018430,-119.398080,
593.400000,1122.898000,37.018360,-119.397690,
595.000000,1150.975000,37.018260,-119.397400,
596.500000,1173.211000,37.018140,-119.397200,
597.300000,1186.604000,37.018050,-119.397100,
598.200000,1203.698000,37.017930,-119.396980,
598.600000,1222.290000,37.017770,-119.396920,
598.500000,1231.240000,37.017690,-119.396910,
598.100000,1242.513000,37.017590,-119.396930,
598.200000,1254.499000,37.017490,-119.396980,
600.600000,1277.148000,37.017320,-119.397120,
601.300000,1288.012000,37.017240,-119.397190,
602.100000,1298.972000,37.017150,-119.397240,
603.200000,1310.139000,37.017050,-119.397250,
604.000000,1319.045000,37.016970,-119.397250,
605.200000,1330.318000,37.016870,-119.397230,
606.500000,1341.278000,37.016780,-119.397180,
607.900000,1354.030000,37.016680,-119.397110,
609.600000,1370.867000,37.016570,-119.396980,
611.400000,1387.646000,37.016490,-119.396820,
615.000000,1420.688000,37.016370,-119.396480,
617.700000,1437.627000,37.016320,-119.396300,
620.000000,1455.092000,37.016280,-119.396110,
626.700000,1551.403000,37.016210,-119.395030,
628.600000,1568.343000,37.016260,-119.394850,
632.200000,1598.060000,37.016360,-119.394540,
633.100000,1609.619000,37.016400,-119.394420,
633.700000,1623.363000,37.016430,-119.394270,
634.300000,1643.044000,37.016450,-119.394050,
635.000000,1663.518000,37.016460,-119.393820,
636.000000,1673.849000,37.016490,-119.393710,
637.500000,1686.434000,37.016550,-119.393590,
639.100000,1701.567000,37.016670,-119.393510,
640.500000,1717.319000,37.016800,-119.393440,
641.200000,1724.886000,37.016860,-119.393400,
641.800000,1730.584000,37.016900,-119.393360,
642.700000,1741.702000,37.016960,-119.393260,
643.600000,1751.197000,37.016990,-119.393160,
644.500000,1761.863000,37.016990,-119.393040,
645.100000,1771.804000,37.016950,-119.392940,
645.600000,1784.307000,37.016880,-119.392830,
645.800000,1786.084000,37.016880,-119.392810,
645.600000,1805.434000,37.016730,-119.392700,
645.600000,1820.565000,37.016620,-119.392600,
646.000000,1833.391000,37.016570,-119.392470,
646.700000,1844.134000,37.016530,-119.392360,
648.100000,1856.775000,37.016510,-119.392220,
652.000000,1876.456000,37.016530,-119.392000,
656.300000,1905.439000,37.016580,-119.391680,
656.500000,1925.770000,37.016630,-119.391460,
657.100000,1941.803000,37.016710,-119.391310,
657.800000,1951.245000,37.016780,-119.391250,
658.900000,1962.931000,37.016880,-119.391210,
659.300000,1975.209000,37.016990,-119.391200,
660.000000,2009.900000,37.017300,-119.391240,
661.200000,2031.051000,37.017490,-119.391240,
661.800000,2042.324000,37.017590,-119.391220,
662.600000,2058.530000,37.017730,-119.391170,
663.100000,2085.241000,37.017950,-119.391050,
664.100000,2104.126000,37.018090,-119.390930,
665.300000,2115.947000,37.018160,-119.390830,
666.400000,2126.434000,37.018210,-119.390730,
667.000000,2133.042000,37.018230,-119.390660,
668.200000,2143.374000,37.018260,-119.390550,
669.900000,2159.411000,37.018250,-119.390370,
673.100000,2191.428000,37.018240,-119.390010,
680.400000,2232.313000,37.018240,-119.389550,
682.400000,2245.692000,37.018230,-119.389400,
682.800000,2257.250000,37.018190,-119.389280,
682.200000,2269.832000,37.018110,-119.389180,
682.100000,2278.379000,37.018050,-119.389120,
682.600000,2289.243000,37.017970,-119.389050,
683.600000,2300.410000,37.017900,-119.388960,
685.400000,2310.351000,37.017860,-119.388860,
688.300000,2321.960000,37.017850,-119.388730,
691.900000,2334.343000,37.017890,-119.388600,
694.000000,2344.674000,37.017920,-119.388490,
695.200000,2352.978000,37.017940,-119.388400,
695.700000,2365.619000,37.017920,-119.388260,
695.100000,2376.106000,37.017870,-119.388160,
694.600000,2388.926000,37.017780,-119.388070,
694.700000,2403.004000,37.017660,-119.388020,
694.800000,2416.363000,37.017540,-119.388020,
694.400000,2431.501000,37.017410,-119.388070,
691.900000,2465.550000,37.017140,-119.388250,
690.700000,2480.973000,37.017010,-119.388310,
693.000000,2497.754000,37.016870,-119.388240,
695.500000,2508.175000,37.016810,-119.388150,
697.100000,2516.252000,37.016820,-119.388060,
698.300000,2524.107000,37.016850,-119.387980,
699.200000,2531.055000,37.016890,-119.387920,
703.100000,2602.332000,37.017490,-119.387640,
705.800000,2640.004000,37.017800,-119.387470,
707.100000,2653.828000,37.017920,-119.387430,
718.700000,2712.887000,37.018450,-119.387400,
719.300000,2736.864000,37.018660,-119.387340,
719.300000,2757.845000,37.018840,-119.387270,
720.900000,2777.961000,37.019020,-119.387250,
722.200000,2781.417000,37.019050,-119.387260,
725.000000,2788.609000,37.019110,-119.387290,
727.700000,2801.818000,37.019180,-119.387410,
728.700000,2815.754000,37.019250,-119.387540,
728.500000,2863.889000,37.019610,-119.387840,
727.900000,2876.233000,37.019710,-119.387900,
728.600000,2891.843000,37.019850,-119.387910,
736.400000,2983.124000,37.020670,-119.387910,
743.000000,3004.736000,37.020860,-119.387860,
744.700000,3024.950000,37.021040,-119.387890,
