alt,dst,lat,lon,mdata
-1.900000,0.000000,36.607140,-117.145910,E:\Dropbox\website\dev2\climbing\climbs\Townes-Pass-East-Stovepipe-Wells.tcx
-1.400000,28.571000,36.606980,-117.146160,
-0.500000,87.272000,36.606620,-117.146640,
-0.100000,116.764000,36.606430,-117.146870,
1.300000,135.688000,36.606310,-117.147020,
1.900000,150.363000,36.606220,-117.147140,
2.700000,172.938000,36.606070,-117.147310,
3.300000,190.949000,36.605940,-117.147430,
4.000000,209.507000,36.605810,-117.147560,
4.400000,220.927000,36.605730,-117.147640,
5.200000,244.088000,36.605550,-117.147770,
6.800000,285.753000,36.605220,-117.147990,
7.900000,315.078000,36.604990,-117.148150,
9.000000,342.997000,36.604770,-117.148300,
9.800000,366.619000,36.604590,-117.148440,
10.500000,384.114000,36.604460,-117.148550,
10.700000,390.729000,36.604410,-117.148590,
11.100000,400.721000,36.604340,-117.148660,
11.600000,417.851000,36.604220,-117.148780,
12.100000,439.834000,36.604070,-117.148940,
12.400000,453.260000,36.603980,-117.149040,
14.400000,527.538000,36.603510,-117.149630,
17.900000,638.107000,36.602820,-117.150520,
20.700000,732.587000,36.602230,-117.151280,
22.600000,793.619000,36.601840,-117.151760,
24.200000,847.556000,36.601500,-117.152190,
25.800000,894.411000,36.601210,-117.152570,
27.200000,960.331000,36.600790,-117.153090,
28.800000,1014.909000,36.600450,-117.153530,
30.100000,1063.956000,36.600140,-117.153920,
31.300000,1105.278000,36.599880,-117.154250,
33.800000,1205.427000,36.599250,-117.155050,
35.100000,1251.004000,36.598960,-117.155410,
36.500000,1308.415000,36.598600,-117.155870,
37.500000,1365.827000,36.598240,-117.156330,
38.800000,1412.039000,36.597950,-117.156700,
40.700000,1498.937000,36.597400,-117.157390,
42.800000,1601.924000,36.596750,-117.158210,
43.800000,1646.720000,36.596470,-117.158570,
45.700000,1730.005000,36.595950,-117.159240,
47.200000,1807.125000,36.595460,-117.159850,
48.100000,1851.284000,36.595180,-117.160200,
48.700000,1882.200000,36.594980,-117.160440,
48.800000,1911.694000,36.594790,-117.160670,
49.300000,1959.325000,36.594490,-117.161050,
50.500000,2026.520000,36.594070,-117.161590,
50.600000,2056.644000,36.593880,-117.161830,
50.700000,2116.893000,36.593500,-117.162310,
51.300000,2151.907000,36.593280,-117.162590,
52.800000,2232.500000,36.592770,-117.163230,
53.200000,2287.858000,36.592420,-117.163670,
53.600000,2355.833000,36.591990,-117.164210,
54.000000,2420.973000,36.591580,-117.164730,
54.500000,2470.023000,36.591270,-117.165120,
54.800000,2527.437000,36.590910,-117.165580,
54.800000,2590.523000,36.590510,-117.166080,
55.100000,2659.137000,36.590080,-117.166630,
55.200000,2687.211000,36.589900,-117.166850,
55.300000,2752.993000,36.589490,-117.167380,
55.400000,2762.144000,36.589430,-117.167450,
56.300000,2823.034000,36.589050,-117.167940,
57.200000,2863.725000,36.588790,-117.168260,
58.100000,2917.034000,36.588450,-117.168680,
58.600000,2975.866000,36.588080,-117.169150,
59.400000,3099.063000,36.587310,-117.170140,
59.700000,3232.182000,36.586470,-117.171200,
59.900000,3251.910000,36.586340,-117.171350,
60.300000,3298.126000,36.586050,-117.171720,
60.400000,3332.509000,36.585830,-117.171990,
