alt,dst,lat,lon,mdata
480.400000,0.000000,36.342060,-117.386760,E:\Dropbox\website\dev2\climbing\climbs\Townes-Pass-West.tcx
481.300000,32.357000,36.342080,-117.386400,
484.000000,117.896000,36.342150,-117.385450,
488.100000,246.601000,36.342250,-117.384020,
492.200000,359.931000,36.342330,-117.382760,
502.000000,648.896000,36.342560,-117.379550,
506.700000,764.013000,36.342640,-117.378270,
514.400000,974.586000,36.342800,-117.375930,
514.600000,979.966000,36.342800,-117.375870,
518.700000,1058.363000,36.342870,-117.375000,
522.600000,1142.913000,36.342930,-117.374060,
527.900000,1248.199000,36.343010,-117.372890,
533.500000,1369.661000,36.343100,-117.371540,
548.900000,1640.663000,36.343320,-117.368530,
560.500000,1910.672000,36.343530,-117.365530,
566.100000,2003.355000,36.343600,-117.364500,
570.100000,2076.196000,36.343650,-117.363690,
573.800000,2135.636000,36.343700,-117.363030,
579.800000,2247.176000,36.343780,-117.361790,
582.200000,2290.345000,36.343810,-117.361310,
585.400000,2356.036000,36.343860,-117.360580,
588.100000,2408.232000,36.343900,-117.360000,
592.400000,2473.135000,36.343960,-117.359280,
594.600000,2504.694000,36.343990,-117.358930,
595.200000,2514.806000,36.344010,-117.358820,
596.100000,2529.536000,36.344040,-117.358660,
597.900000,2561.002000,36.344110,-117.358320,
608.200000,2689.460000,36.344420,-117.356940,
612.300000,2750.656000,36.344560,-117.356280,
616.400000,2823.974000,36.344730,-117.355490,
620.900000,2881.161000,36.344880,-117.354880,
623.800000,2922.153000,36.344980,-117.354440,
625.000000,2939.514000,36.345010,-117.354250,
626.100000,2953.146000,36.345030,-117.354100,
627.100000,2966.779000,36.345050,-117.353950,
628.400000,2981.297000,36.345070,-117.353790,
629.600000,2994.792000,36.345080,-117.353640,
631.000000,3009.181000,36.345090,-117.353480,
632.200000,3022.631000,36.345090,-117.353330,
633.500000,3036.977000,36.345090,-117.353170,
634.800000,3051.366000,36.345080,-117.353010,
635.700000,3064.861000,36.345070,-117.352860,
636.200000,3073.008000,36.345060,-117.352770,
636.700000,3081.154000,36.345050,-117.352680,
637.100000,3088.413000,36.345040,-117.352600,
637.600000,3096.559000,36.345030,-117.352510,
638.000000,3103.818000,36.345020,-117.352430,
638.600000,3112.189000,36.345000,-117.352340,
639.100000,3119.699000,36.344980,-117.352260,
639.600000,3127.846000,36.344970,-117.352170,
646.900000,3217.097000,36.344790,-117.351200,
647.500000,3224.608000,36.344770,-117.351120,
648.100000,3232.979000,36.344750,-117.351030,
648.700000,3240.238000,36.344740,-117.350950,
649.200000,3247.749000,36.344720,-117.350870,
649.700000,3255.895000,36.344710,-117.350780,
650.200000,3263.154000,36.344700,-117.350700,
650.600000,3270.664000,36.344680,-117.350620,
651.000000,3278.811000,36.344670,-117.350530,
651.700000,3288.736000,36.344660,-117.350420,
652.300000,3298.662000,36.344650,-117.350310,
653.000000,3308.587000,36.344640,-117.350200,
653.800000,3318.513000,36.344630,-117.350090,
654.600000,3329.330000,36.344620,-117.349970,
655.400000,3339.193000,36.344620,-117.349860,
656.300000,3349.119000,36.344610,-117.349750,
657.200000,3358.982000,36.344610,-117.349640,
658.100000,3369.741000,36.344610,-117.349520,
658.600000,3380.559000,36.344620,-117.349400,
659.500000,3390.422000,36.344620,-117.349290,
661.800000,3401.239000,36.344630,-117.349170,
664.300000,3411.164000,36.344640,-117.349060,
666.900000,3422.152000,36.344660,-117.348940,
668.300000,3432.077000,36.344670,-117.348830,
