alt,dst,lat,lon,mdata
103.300000,0.000000,38.379525,-122.514072,E:\Dropbox\website\dev2\climbing\climbs\Trinity-Grade.tcx
102.900000,8.350737,38.379450,-122.514070,
103.900000,263.573876,38.379580,-122.511150,
105.200000,284.298224,38.379710,-122.510980,
108.700000,317.228736,38.379970,-122.510800,
117.000000,402.974876,38.380580,-122.510200,
128.000000,501.139767,38.381410,-122.509820,
131.000000,525.692020,38.381630,-122.509800,
130.300000,554.857739,38.381880,-122.509900,
130.100000,568.329524,38.382000,-122.509880,
130.200000,711.483326,38.383070,-122.508970,
130.100000,766.467587,38.383390,-122.508490,
134.500000,804.656629,38.383510,-122.508080,
143.100000,931.507502,38.384020,-122.506780,
148.000000,971.367972,38.384230,-122.506410,
151.700000,1016.032098,38.384630,-122.506370,
154.500000,1043.278552,38.384830,-122.506190,
156.000000,1057.972949,38.384890,-122.506040,
158.200000,1082.903660,38.385070,-122.505870,
158.700000,1110.247015,38.385300,-122.505980,
163.800000,1151.565179,38.385550,-122.506330,
165.900000,1165.036953,38.385670,-122.506350,
167.500000,1174.087832,38.385730,-122.506280,
175.500000,1233.021837,38.385940,-122.505660,
177.300000,1252.823609,38.386080,-122.505520,
182.900000,1291.410714,38.386400,-122.505350,
185.100000,1300.438315,38.386440,-122.505260,
193.900000,1358.413418,38.386500,-122.504600,
202.300000,1415.539419,38.386880,-122.504160,
205.700000,1452.607081,38.386830,-122.503740,
213.700000,1500.162534,38.386660,-122.503240,
217.300000,1530.572133,38.386600,-122.502900,
223.800000,1588.068549,38.386370,-122.502310,
224.400000,1596.000121,38.386380,-122.502220,
226.100000,1607.063159,38.386450,-122.502130,
231.100000,1645.650235,38.386770,-122.502300,
234.300000,1678.678772,38.387060,-122.502380,
243.200000,1758.946990,38.387780,-122.502430,
251.600000,1793.099958,38.388060,-122.502270,
249.400000,1833.023231,38.388300,-122.501930,
251.700000,1856.142115,38.388340,-122.501670,
257.000000,1880.349258,38.388290,-122.501400,
257.200000,1901.066454,38.388220,-122.501180,
266.400000,1951.884742,38.387940,-122.500720,
268.700000,1974.010595,38.387800,-122.500540,
271.900000,2031.731573,38.387360,-122.500190,
273.500000,2079.117477,38.387100,-122.499760,
277.900000,2148.744657,38.386550,-122.499380,
284.100000,2210.522751,38.386330,-122.498730,
284.900000,2243.534883,38.386160,-122.498420,
288.800000,2273.944658,38.386220,-122.498080,
293.000000,2327.911003,38.386140,-122.497470,
305.100000,2434.199090,38.386250,-122.496260,
308.700000,2463.098442,38.386360,-122.495960,
309.200000,2487.889151,38.386510,-122.495750,
323.500000,2562.121363,38.387160,-122.495560,
322.600000,2597.293258,38.387450,-122.495400,
322.800000,2619.135394,38.387440,-122.495150,
329.200000,2685.612355,38.386970,-122.494680,
334.800000,2721.722583,38.386810,-122.494320,
337.900000,2750.193791,38.386760,-122.494000,
344.500000,2792.157737,38.386870,-122.493540,
348.300000,2817.559639,38.386890,-122.493250,
355.800000,2910.361452,38.386500,-122.492310,
364.900000,3000.378151,38.386850,-122.491380,
367.100000,3023.604664,38.387040,-122.491270,
371.600000,3051.489036,38.387290,-122.491250,
372.600000,3062.584198,38.387340,-122.491140,
372.900000,3071.926965,38.387310,-122.491040,
381.200000,3169.532776,38.386740,-122.490190,
384.600000,3233.800982,38.386220,-122.489870,
396.600000,3322.100703,38.385570,-122.489290,
405.500000,3373.389819,38.385710,-122.488730,
406.300000,3405.786425,38.385950,-122.488520,
405.600000,3420.474871,38.386070,-122.488450,
406.900000,3457.150012,38.386390,-122.488550,
408.900000,3477.187404,38.386570,-122.488550,
413.900000,3495.962836,38.386710,-122.488430,
414.500000,3526.021934,38.386810,-122.488110,
415.500000,3569.308166,38.387040,-122.487710,
418.800000,3642.083898,38.387370,-122.486990,
417.200000,3668.428200,38.387560,-122.486810,
417.400000,3702.545575,38.387860,-122.486890,
428.800000,3808.409831,38.388740,-122.487350,
431.400000,3835.183285,38.388980,-122.487330,
432.200000,3851.938552,38.389050,-122.487160,
432.400000,3865.073766,38.389060,-122.487010,
441.100000,3967.474676,38.388700,-122.485930,
440.700000,3984.656511,38.388600,-122.485780,
438.600000,4041.418829,38.388110,-122.485600,
440.600000,4053.886431,38.388030,-122.485500,
442.900000,4069.631605,38.388020,-122.485320,
443.100000,4087.554806,38.388130,-122.485170,
442.900000,4106.975379,38.388300,-122.485120,
450.500000,4169.368865,38.388860,-122.485090,
451.300000,4188.306660,38.388990,-122.484950,
453.600000,4210.262095,38.389070,-122.484720,
455.300000,4233.610749,38.389200,-122.484510,
454.800000,4263.754844,38.389440,-122.484350,
466.200000,4365.070022,38.390350,-122.484330,
467.300000,4384.535273,38.390510,-122.484240,
468.900000,4405.233824,38.390610,-122.484040,
473.800000,4442.148844,38.390650,-122.483620,
475.100000,4459.215314,38.390590,-122.483440,
480.500000,4522.644371,38.390200,-122.482910,
480.800000,4542.349431,38.390160,-122.482690,
492.600000,4628.192331,38.390630,-122.481910,
496.200000,4663.405947,38.390850,-122.481620,
501.000000,4715.962961,38.391250,-122.481300,
502.000000,4729.014476,38.391320,-122.481180,
503.400000,4750.422737,38.391360,-122.480940,
505.300000,4770.408490,38.391310,-122.480720,
510.000000,4821.514276,38.390990,-122.480300,
512.100000,4843.166733,38.390900,-122.480080,
514.900000,4864.834035,38.390850,-122.479840,
516.300000,4875.538233,38.390870,-122.479720,
517.200000,4882.606511,38.390880,-122.479640,
516.300000,4889.674789,38.390870,-122.479720,
516.600000,4920.739740,38.391140,-122.479810,
516.900000,4938.550755,38.391300,-122.479810,
520.800000,4990.816843,38.391760,-122.479690,
522.300000,5015.408931,38.391930,-122.479510,
523.000000,5048.632695,38.392220,-122.479420,
528.500000,5094.162348,38.392570,-122.479150,
528.700000,5117.539306,38.392780,-122.479150,
528.500000,5195.703791,38.393080,-122.479960,
527.400000,5228.116856,38.393280,-122.480230,
527.000000,5259.480900,38.393560,-122.480270,
527.100000,5325.242223,38.394120,-122.480030,
528.900000,5352.015668,38.394360,-122.480050,
530.800000,5485.816087,38.395010,-122.481340,
533.500000,5538.004273,38.395300,-122.481810,
