alt,dst,lat,lon,mdata
196.500000,0.000000,38.410820,-122.451560,E:\Dropbox\website\dev2\climbing\climbs\Trinity-Rd-East-Oakville.tcx
196.400000,3.452000,38.410790,-122.451570,
196.700000,19.635000,38.410650,-122.451620,
197.800000,29.200000,38.410570,-122.451660,
198.500000,37.737000,38.410500,-122.451700,
199.200000,47.302000,38.410420,-122.451740,
199.700000,52.959000,38.410380,-122.451780,
200.100000,56.621000,38.410370,-122.451820,
200.500000,61.855000,38.410370,-122.451880,
201.000000,67.961000,38.410370,-122.451950,
201.300000,71.623000,38.410380,-122.451990,
202.000000,78.122000,38.410400,-122.452060,
202.600000,83.019000,38.410420,-122.452110,
204.400000,100.199000,38.410510,-122.452270,
206.200000,117.379000,38.410600,-122.452430,
207.900000,130.540000,38.410660,-122.452560,
208.300000,136.227000,38.410680,-122.452620,
208.900000,142.434000,38.410690,-122.452690,
209.000000,146.096000,38.410700,-122.452730,
209.300000,150.457000,38.410700,-122.452780,
210.100000,161.797000,38.410700,-122.452910,
210.800000,171.392000,38.410700,-122.453020,
211.800000,181.051000,38.410690,-122.453130,
213.200000,190.901000,38.410670,-122.453240,
214.200000,196.588000,38.410650,-122.453300,
214.900000,202.276000,38.410630,-122.453360,
215.900000,209.147000,38.410590,-122.453420,
216.800000,218.197000,38.410530,-122.453490,
218.000000,227.762000,38.410450,-122.453530,
220.700000,250.987000,38.410260,-122.453640,
223.400000,275.972000,38.410060,-122.453770,
224.400000,290.066000,38.409950,-122.453850,
226.100000,306.175000,38.409840,-122.453970,
229.100000,328.298000,38.409700,-122.454150,
229.600000,333.791000,38.409670,-122.454200,
229.600000,339.142000,38.409660,-122.454260,
229.800000,343.643000,38.409650,-122.454310,
230.100000,349.749000,38.409650,-122.454380,
230.300000,355.436000,38.409670,-122.454440,
230.900000,359.937000,38.409680,-122.454490,
231.500000,365.431000,38.409710,-122.454540,
232.500000,373.708000,38.409750,-122.454620,
233.900000,392.022000,38.409820,-122.454810,
234.000000,395.685000,38.409830,-122.454850,
234.200000,401.891000,38.409840,-122.454920,
234.400000,405.380000,38.409840,-122.454960,
234.800000,410.731000,38.409830,-122.455020,
235.000000,413.575000,38.409820,-122.455050,
235.400000,417.714000,38.409800,-122.455090,
235.800000,421.150000,38.409780,-122.455120,
236.500000,426.314000,38.409740,-122.455150,
237.100000,430.557000,38.409710,-122.455180,
237.800000,435.722000,38.409670,-122.455210,
238.900000,442.895000,38.409610,-122.455240,
240.900000,457.782000,38.409480,-122.455280,
241.600000,463.614000,38.409430,-122.455300,
242.400000,470.518000,38.409370,-122.455320,
243.400000,481.953000,38.409270,-122.455350,
244.400000,492.562000,38.409180,-122.455390,
245.900000,500.539000,38.409120,-122.455440,
248.400000,517.510000,38.409000,-122.455560,
249.200000,529.382000,38.408920,-122.455650,
250.300000,541.078000,38.408850,-122.455750,
251.800000,551.386000,38.408790,-122.455840,
252.800000,560.435000,38.408730,-122.455910,
253.200000,565.265000,38.408700,-122.455950,
254.300000,572.801000,38.408640,-122.455990,
255.100000,577.583000,38.408600,-122.456010,
256.200000,584.319000,38.408540,-122.456020,
257.400000,592.304000,38.408470,-122.456040,
258.700000,604.549000,38.408360,-122.456040,
260.400000,621.247000,38.408210,-122.456040,
260.700000,625.784000,38.408170,-122.456050,
260.900000,628.011000,38.408150,-122.456050,
260.900000,629.425000,38.408140,-122.456060,
260.900000,630.839000,38.408130,-122.456070,
260.900000,633.230000,38.408110,-122.456080,
260.900000,635.300000,38.408100,-122.456100,
260.900000,637.369000,38.408090,-122.456120,
260.900000,639.439000,38.408080,-122.456140,
261.000000,642.283000,38.408070,-122.456170,
261.000000,644.900000,38.408070,-122.456200,
261.500000,651.106000,38.408060,-122.456270,
262.000000,656.340000,38.408060,-122.456330,
262.500000,661.691000,38.408070,-122.456390,
263.100000,666.052000,38.408070,-122.456440,
263.200000,668.122000,38.408080,-122.456460,
263.700000,673.019000,38.408100,-122.456510,
264.000000,678.512000,38.408130,-122.456560,
264.200000,685.384000,38.408170,-122.456620,
264.400000,694.433000,38.408230,-122.456690,
265.600000,709.130000,38.408330,-122.456800,
267.600000,718.179000,38.408390,-122.456870,
269.400000,725.737000,38.408430,-122.456940,
270.400000,739.021000,38.408520,-122.457040,
271.100000,753.510000,38.408610,-122.457160,
276.200000,797.755000,38.408890,-122.457520,
276.500000,806.017000,38.408940,-122.457590,
277.500000,814.944000,38.408990,-122.457670,
278.400000,822.680000,38.409020,-122.457750,
278.300000,828.173000,38.409050,-122.457800,
279.000000,832.674000,38.409060,-122.457850,
279.500000,839.174000,38.409080,-122.457920,
280.300000,844.407000,38.409080,-122.457980,
281.200000,853.130000,38.409080,-122.458080,
282.300000,864.686000,38.409060,-122.458210,
282.800000,870.893000,38.409050,-122.458280,
283.500000,876.581000,38.409030,-122.458340,
285.200000,886.740000,38.409000,-122.458450,
286.100000,891.974000,38.409000,-122.458510,
286.400000,893.719000,38.409000,-122.458530,
286.800000,896.336000,38.409000,-122.458560,
287.100000,899.179000,38.409010,-122.458590,
287.800000,908.520000,38.409040,-122.458690,
288.000000,918.313000,38.409080,-122.458790,
288.200000,939.192000,38.409170,-122.459000,
288.700000,947.352000,38.409190,-122.459090,
289.500000,955.513000,38.409210,-122.459180,
291.900000,966.907000,38.409220,-122.459310,
293.700000,979.170000,38.409230,-122.459450,
294.300000,990.509000,38.409230,-122.459580,
294.900000,997.576000,38.409220,-122.459660,
295.800000,1006.578000,38.409200,-122.459760,
297.400000,1019.210000,38.409150,-122.459890,
299.300000,1030.303000,38.409100,-122.460000,
301.100000,1041.396000,38.409050,-122.460110,
302.100000,1048.355000,38.409020,-122.460180,
302.900000,1058.015000,38.409010,-122.460290,
303.600000,1065.081000,38.409000,-122.460370,
304.500000,1072.060000,38.409000,-122.460450,
305.400000,1077.411000,38.409010,-122.460510,
306.900000,1088.786000,38.409050,-122.460630,
307.200000,1094.279000,38.409080,-122.460680,
307.300000,1097.123000,38.409090,-122.460710,
307.900000,1108.814000,38.409150,-122.460820,
309.200000,1116.139000,38.409170,-122.460900,
310.200000,1122.638000,38.409190,-122.460970,
311.400000,1128.744000,38.409190,-122.461040,
312.500000,1138.339000,38.409190,-122.461150,
312.800000,1143.573000,38.409190,-122.461210,
313.600000,1152.104000,38.409160,-122.461300,
314.100000,1158.603000,38.409140,-122.461370,
314.300000,1161.220000,38.409140,-122.461400,
314.600000,1164.064000,38.409130,-122.461430,
314.900000,1167.553000,38.409130,-122.461470,
315.200000,1170.170000,38.409130,-122.461500,
315.900000,1175.404000,38.409130,-122.461560,
316.600000,1180.755000,38.409140,-122.461620,
317.400000,1188.079000,38.409160,-122.461700,
318.100000,1193.313000,38.409160,-122.461760,
318.300000,1197.814000,38.409170,-122.461810,
319.100000,1204.021000,38.409160,-122.461880,
319.300000,1207.510000,38.409160,-122.461920,
319.700000,1210.354000,38.409150,-122.461950,
320.200000,1213.790000,38.409130,-122.461980,
321.900000,1224.882000,38.409080,-122.462090,
324.900000,1242.735000,38.408980,-122.462250,
327.300000,1267.521000,38.408830,-122.462460,
328.700000,1287.480000,38.408710,-122.462630,
332.300000,1313.219000,38.408540,-122.462830,
333.100000,1330.741000,38.408420,-122.462960,
333.800000,1343.469000,38.408330,-122.463050,
334.200000,1348.299000,38.408300,-122.463090,
334.500000,1352.438000,38.408280,-122.463130,
335.300000,1358.646000,38.408250,-122.463190,
336.600000,1368.806000,38.408220,-122.463300,
338.600000,1384.289000,38.408180,-122.463470,
340.000000,1397.421000,38.408170,-122.463620,
340.800000,1405.350000,38.408180,-122.463710,
341.500000,1413.511000,38.408200,-122.463800,
342.000000,1420.470000,38.408230,-122.463870,
342.400000,1427.342000,38.408270,-122.463930,
342.100000,1442.039000,38.408370,-122.464040,
342.200000,1453.025000,38.408430,-122.464140,
342.400000,1457.922000,38.408450,-122.464190,
342.700000,1463.610000,38.408470,-122.464250,
343.000000,1468.111000,38.408480,-122.464300,
343.800000,1474.217000,38.408480,-122.464370,
345.400000,1483.877000,38.408470,-122.464480,
347.000000,1491.806000,38.408460,-122.464570,
348.500000,1500.529000,38.408460,-122.464670,
349.300000,1504.890000,38.408460,-122.464720,
350.100000,1510.996000,38.408460,-122.464790,
350.500000,1515.498000,38.408470,-122.464840,
351.000000,1520.731000,38.408470,-122.464900,
351.300000,1525.233000,38.408480,-122.464950,
351.600000,1531.732000,38.408500,-122.465020,
352.300000,1550.413000,38.408560,-122.465220,
353.200000,1561.400000,38.408590,-122.465340,
354.700000,1573.221000,38.408620,-122.465470,
356.100000,1585.882000,38.408650,-122.465610,
357.100000,1598.145000,38.408660,-122.465750,
