alt,dst,lat,lon,mdata
103.600000,0.000000,38.379590,-122.511240,E:\Dropbox\website\dev2\climbing\climbs\Trinity-Rd-Glen-Ellen.tcx
103.800000,4.503000,38.379600,-122.511190,
103.900000,9.006000,38.379610,-122.511140,
104.000000,12.670000,38.379620,-122.511100,
104.800000,23.020000,38.379670,-122.511000,
106.600000,35.488000,38.379750,-122.510900,
108.800000,51.601000,38.379860,-122.510780,
109.900000,79.287000,38.380070,-122.510610,
115.100000,121.188000,38.380370,-122.510320,
118.600000,154.087000,38.380610,-122.510100,
120.200000,170.779000,38.380720,-122.509970,
121.800000,194.006000,38.380910,-122.509860,
124.600000,225.071000,38.381180,-122.509770,
127.900000,241.255000,38.381320,-122.509720,
130.200000,253.624000,38.381430,-122.509700,
131.200000,264.790000,38.381530,-122.509710,
131.500000,276.058000,38.381630,-122.509730,
131.600000,288.580000,38.381740,-122.509760,
131.300000,304.383000,38.381880,-122.509790,
131.100000,313.288000,38.381960,-122.509790,
131.400000,323.898000,38.382050,-122.509750,
132.300000,357.253000,38.382310,-122.509560,
132.100000,388.696000,38.382550,-122.509370,
132.000000,407.083000,38.382680,-122.509240,
131.900000,423.195000,38.382790,-122.509120,
132.200000,456.250000,38.382990,-122.508840,
133.700000,529.804000,38.383420,-122.508200,
134.900000,554.547000,38.383550,-122.507970,
136.100000,569.752000,38.383580,-122.507800,
137.200000,584.958000,38.383610,-122.507630,
138.100000,602.969000,38.383650,-122.507430,
137.900000,637.120000,38.383750,-122.507060,
138.200000,645.283000,38.383770,-122.506970,
138.400000,653.021000,38.383800,-122.506890,
140.900000,679.573000,38.383910,-122.506620,
141.900000,691.267000,38.383970,-122.506510,
143.000000,697.837000,38.384020,-122.506470,
144.100000,703.988000,38.384070,-122.506440,
146.500000,714.157000,38.384160,-122.506420,
148.700000,726.679000,38.384270,-122.506390,
150.000000,745.922000,38.384440,-122.506350,
152.000000,767.937000,38.384630,-122.506280,
153.100000,776.868000,38.384700,-122.506230,
154.200000,787.330000,38.384770,-122.506150,
155.500000,799.023000,38.384830,-122.506040,
156.800000,809.373000,38.384880,-122.505940,
157.800000,818.301000,38.384930,-122.505860,
158.400000,823.959000,38.384970,-122.505820,
158.800000,828.202000,38.385000,-122.505790,
159.000000,832.739000,38.385040,-122.505780,
159.200000,838.373000,38.385090,-122.505770,
159.100000,842.911000,38.385130,-122.505780,
159.200000,846.250000,38.385160,-122.505780,
159.000000,852.083000,38.385210,-122.505800,
158.700000,857.741000,38.385250,-122.505840,
158.900000,863.892000,38.385300,-122.505870,
159.300000,872.156000,38.385350,-122.505940,
161.000000,882.617000,38.385420,-122.506020,
162.600000,892.279000,38.385480,-122.506100,
163.500000,899.151000,38.385520,-122.506160,
164.000000,903.395000,38.385550,-122.506190,
165.100000,909.546000,38.385600,-122.506220,
165.500000,911.937000,38.385620,-122.506230,
