alt,dst,lat,lon,mdata
30.800000,0.000000,37.358870,-122.397070,E:\Dropbox\website\dev2\climbing\climbs\Tunitas-Creek-Road.tcx
29.500000,209.368661,37.359240,-122.394750,
29.600000,276.853445,37.359440,-122.394030,
28.600000,417.843302,37.360100,-122.392670,
27.600000,442.335149,37.360260,-122.392480,
27.300000,490.861876,37.360630,-122.392190,
26.800000,574.163427,37.361200,-122.391580,
27.800000,856.636845,37.363440,-122.390080,
28.400000,908.421602,37.363880,-122.389890,
38.100000,970.471872,37.364380,-122.389580,
38.200000,994.645222,37.364550,-122.389410,
38.700000,1032.933947,37.364790,-122.389100,
37.700000,1104.605682,37.365100,-122.388390,
37.900000,1133.004003,37.365260,-122.388140,
40.500000,1183.628274,37.365600,-122.387760,
45.200000,1596.397041,37.368560,-122.384950,
50.700000,1901.152026,37.370280,-122.382270,
51.700000,2163.283874,37.372320,-122.380790,
50.600000,2476.648836,37.374330,-122.378310,
58.500000,2580.999240,37.375060,-122.377570,
60.900000,2625.498780,37.375280,-122.377150,
61.500000,2724.127034,37.375500,-122.376070,
61.700000,2751.282923,37.375600,-122.375790,
57.500000,2887.404545,37.376430,-122.374660,
51.100000,2909.098074,37.376590,-122.374520,
48.800000,2932.742534,37.376790,-122.374430,
48.300000,2971.954382,37.377140,-122.374380,
60.300000,3068.902723,37.378010,-122.374430,
59.000000,3145.138189,37.378670,-122.374660,
59.500000,3200.960142,37.379140,-122.374880,
59.400000,3240.151118,37.379450,-122.374670,
58.800000,3265.902768,37.379670,-122.374580,
58.500000,3290.536270,37.379890,-122.374550,
56.200000,3364.267171,37.380550,-122.374620,
57.000000,3388.900670,37.380770,-122.374590,
59.100000,3564.142263,37.382160,-122.373660,
57.800000,3613.585286,37.382590,-122.373520,
68.100000,3688.357498,37.383260,-122.373460,
68.700000,3712.540537,37.383470,-122.373390,
69.800000,3761.869595,37.383870,-122.373150,
68.300000,3786.755871,37.384090,-122.373100,
61.200000,3878.191471,37.384910,-122.373040,
70.500000,3996.712933,37.385910,-122.372580,
74.800000,4053.733047,37.386420,-122.372520,
74.800000,4107.908937,37.386830,-122.372190,
75.500000,4194.174855,37.387600,-122.372080,
76.900000,4210.638264,37.387740,-122.372020,
77.900000,4265.787058,37.388150,-122.371670,
78.900000,4300.295900,37.388460,-122.371670,
79.200000,4319.729957,37.388630,-122.371620,
81.300000,4396.496143,37.389250,-122.371240,
81.100000,4437.965073,37.389560,-122.370980,
88.200000,4521.855647,37.389910,-122.370140,
87.900000,4564.813045,37.390140,-122.369750,
87.800000,4594.642200,37.390380,-122.369600,
90.100000,4636.769072,37.390750,-122.369500,
91.100000,4672.870098,37.391000,-122.369240,
91.400000,4711.192304,37.391150,-122.368850,
91.800000,4775.842548,37.391180,-122.368120,
91.200000,4794.365634,37.391250,-122.367930,
91.800000,4808.739336,37.391370,-122.367870,
92.300000,4850.012682,37.391740,-122.367840,
92.100000,4907.925396,37.392230,-122.367620,
92.100000,4922.530207,37.392340,-122.367530,
92.000000,4954.404310,37.392510,-122.367240,
92.100000,4977.329559,37.392700,-122.367140,
92.000000,5021.857097,37.393100,-122.367140,
92.100000,5064.390422,37.393470,-122.367260,
97.800000,5084.909963,37.393650,-122.367210,
101.100000,5118.130517,37.393920,-122.367050,
102.400000,5139.299580,37.394110,-122.367040,
102.700000,5159.829582,37.394280,-122.366950,
102.500000,5202.303981,37.394590,-122.366670,
103.200000,5245.260514,37.394840,-122.366300,
