alt,dst,lat,lon,mdata
197.100000,0.000000,37.850010,-122.226678,E:\Dropbox\website\dev2\climbing\climbs\Tunnel-Road.tcx
196.600000,0.703196,37.850010,-122.226670,
209.000000,37.012663,37.850330,-122.226590,
205.400000,98.676256,37.850230,-122.225900,
210.800000,149.706444,37.850210,-122.225320,
211.700000,171.485477,37.850300,-122.225100,
211.900000,223.688851,37.850700,-122.224790,
210.800000,260.090681,37.850810,-122.224400,
210.300000,272.508682,37.850880,-122.224290,
209.900000,283.333013,37.850960,-122.224220,
209.400000,318.020503,37.851270,-122.224180,
217.800000,377.279409,37.851680,-122.224610,
218.600000,391.857243,37.851810,-122.224590,
219.800000,400.367484,37.851870,-122.224530,
222.800000,464.430450,37.852000,-122.223820,
222.200000,478.431829,37.852060,-122.223680,
221.500000,489.535882,37.852130,-122.223590,
221.300000,504.428304,37.852260,-122.223550,
221.800000,555.755531,37.852720,-122.223590,
228.400000,634.290149,37.853320,-122.224060,
229.600000,651.556633,37.853470,-122.224110,
231.100000,665.740244,37.853570,-122.224010,
233.900000,720.142906,37.853690,-122.223410,
234.100000,736.701867,37.853780,-122.223260,
233.800000,761.337672,37.853980,-122.223140,
234.500000,782.778470,37.854170,-122.223180,
240.900000,875.497548,37.854950,-122.223550,
242.100000,884.403055,37.855030,-122.223550,
243.500000,900.480593,37.855100,-122.223390,
243.200000,907.599645,37.855090,-122.223310,
241.200000,956.602952,37.854880,-122.222820,
241.500000,968.083239,37.854870,-122.222690,
247.600000,1041.197435,37.855050,-122.221890,
247.600000,1057.756202,37.855140,-122.221740,
247.200000,1076.574397,37.855280,-122.221620,
246.700000,1151.204618,37.855950,-122.221650,
248.400000,1206.224485,37.856370,-122.221980,
251.800000,1251.702604,37.856750,-122.222170,
253.900000,1268.450522,37.856860,-122.222300,
254.800000,1284.256639,37.857000,-122.222330,
256.200000,1324.800936,37.857360,-122.222260,
258.500000,1355.470501,37.857560,-122.222500,
259.500000,1371.460827,37.857680,-122.222600,
260.100000,1383.831425,37.857790,-122.222620,
260.400000,1397.163742,37.857900,-122.222560,
260.100000,1438.645820,37.858150,-122.222210,
263.100000,1460.293790,37.858310,-122.222070,
263.800000,1474.356314,37.858430,-122.222020,
266.000000,1511.603147,37.858760,-122.222090,
268.100000,1525.416268,37.858880,-122.222050,
268.700000,1543.018342,37.858930,-122.221860,
266.400000,1569.408506,37.858940,-122.221560,
265.000000,1581.892212,37.859000,-122.221440,
274.000000,1719.408464,37.860190,-122.221020,
276.500000,1733.528542,37.860300,-122.220940,
280.100000,1744.683907,37.860350,-122.220830,
280.700000,1783.020183,37.860100,-122.220530,
280.300000,1837.249973,37.859670,-122.220240,
279.900000,1861.406205,37.859530,-122.220030,
280.200000,1888.605501,37.859470,-122.219730,
