alt,dst,lat,lon,mdata
809.400000,0.000000,39.027061,-120.603739,E:\Dropbox\website\dev2\climbing\climbs\Unnamed-Rd-off-Mosquito-Ridge-Rd.tcx
809.400000,4.937000,39.027018,-120.603725,
809.400000,7.913000,39.026992,-120.603717,
809.400000,8.054000,39.026993,-120.603716,
809.400000,8.430000,39.026996,-120.603714,
809.400000,8.571000,39.026997,-120.603715,
809.400000,10.168000,39.027011,-120.603711,
809.400000,23.673000,39.027131,-120.603688,
809.400000,37.878000,39.027258,-120.603672,
809.400000,51.847000,39.027381,-120.603640,
809.800000,69.355000,39.027533,-120.603588,
810.200000,72.191000,39.027557,-120.603577,
810.600000,74.999000,39.027581,-120.603567,
811.000000,77.739000,39.027605,-120.603560,
811.400000,80.569000,39.027630,-120.603554,
811.400000,88.849000,39.027702,-120.603530,
811.800000,104.497000,39.027841,-120.603503,
812.200000,106.912000,39.027862,-120.603496,
812.800000,109.435000,39.027884,-120.603489,
813.200000,111.742000,39.027904,-120.603482,
813.600000,113.885000,39.027923,-120.603478,
813.600000,118.566000,39.027964,-120.603466,
814.000000,126.029000,39.028031,-120.603463,
814.400000,128.595000,39.028054,-120.603461,
814.800000,131.272000,39.028078,-120.603459,
815.200000,133.944000,39.028102,-120.603459,
815.600000,136.517000,39.028125,-120.603462,
816.000000,149.663000,39.028243,-120.603468,
817.000000,152.118000,39.028265,-120.603470,
817.400000,154.360000,39.028285,-120.603473,
817.800000,156.518000,39.028304,-120.603478,
818.200000,163.022000,39.028362,-120.603487,
818.600000,165.399000,39.028383,-120.603492,
819.000000,167.922000,39.028405,-120.603499,
819.600000,170.491000,39.028427,-120.603508,
820.000000,172.880000,39.028447,-120.603518,
820.000000,183.671000,39.028538,-120.603561,
820.000000,187.001000,39.028562,-120.603584,
820.400000,191.761000,39.028595,-120.603619,
820.800000,192.137000,39.028598,-120.603621,
822.200000,195.033000,39.028624,-120.603620,
822.200000,197.990000,39.028650,-120.603613,
822.200000,206.316000,39.028723,-120.603634,
822.200000,211.397000,39.028765,-120.603657,
822.600000,228.991000,39.028918,-120.603708,
823.000000,231.905000,39.028943,-120.603718,
823.600000,234.581000,39.028966,-120.603727,
824.000000,237.855000,39.028993,-120.603742,
824.400000,240.651000,39.029016,-120.603755,
825.000000,249.552000,39.029090,-120.603794,
825.400000,252.705000,39.029117,-120.603805,
825.800000,256.415000,39.029149,-120.603817,
826.400000,259.623000,39.029175,-120.603833,
826.800000,262.583000,39.029196,-120.603854,
827.200000,268.370000,39.029233,-120.603901,
827.600000,270.971000,39.029246,-120.603926,
828.200000,273.250000,39.029256,-120.603949,
828.600000,275.440000,39.029269,-120.603968,
829.000000,277.557000,39.029281,-120.603987,
829.000000,281.384000,39.029303,-120.604021,
829.400000,283.271000,39.029316,-120.604035,
829.800000,284.916000,39.029324,-120.604051,
830.200000,286.841000,39.029333,-120.604070,
830.600000,288.960000,39.029344,-120.604090,
831.000000,290.807000,39.029355,-120.604106,
831.000000,299.140000,39.029400,-120.604183,
831.400000,300.744000,39.029413,-120.604191,
832.000000,302.570000,39.029427,-120.604202,
832.400000,304.456000,39.029440,-120.604216,
832.800000,306.625000,39.029455,-120.604232,
833.200000,308.826000,39.029472,-120.604245,
833.200000,311.073000,39.029489,-120.604259,
833.600000,319.135000,39.029552,-120.604305,
834.000000,320.961000,39.029566,-120.604316,
834.600000,322.833000,39.029580,-120.604328,
835.000000,324.948000,39.029595,-120.604343,
835.400000,327.276000,39.029609,-120.604363,
835.400000,329.680000,39.029624,-120.604383,
835.400000,336.714000,39.029663,-120.604447,
835.800000,338.423000,39.029673,-120.604462,
836.400000,340.199000,39.029683,-120.604478,
836.800000,341.940000,39.029690,-120.604496,
837.200000,343.837000,39.029697,-120.604516,
837.800000,345.853000,39.029703,-120.604538,
838.200000,356.293000,39.029729,-120.604654,
838.600000,358.381000,39.029731,-120.604678,
839.000000,360.382000,39.029733,-120.604701,
839.400000,362.589000,39.029737,-120.604726,
839.800000,364.605000,39.029743,-120.604748,
840.200000,372.872000,39.029772,-120.604836,
840.600000,375.057000,39.029784,-120.604856,
841.000000,377.056000,39.029793,-120.604876,
841.400000,379.206000,39.029802,-120.604898,
841.800000,381.356000,39.029811,-120.604920,
841.800000,385.873000,39.029827,-120.604968,
842.200000,396.625000,39.029855,-120.605087,
842.600000,398.970000,39.029857,-120.605114,
843.200000,401.432000,39.029861,-120.605142,
843.600000,403.809000,39.029865,-120.605169,
844.000000,405.884000,39.029865,-120.605193,
844.000000,413.317000,39.029845,-120.605275,
844.000000,418.605000,39.029820,-120.605327,
844.400000,421.405000,39.029805,-120.605353,
844.800000,424.021000,39.029793,-120.605379,
845.600000,426.300000,39.029783,-120.605402,
846.000000,428.841000,39.029771,-120.605427,
846.000000,431.576000,39.029755,-120.605451,
846.400000,445.444000,39.029676,-120.605575,
846.800000,448.329000,39.029658,-120.605599,
847.200000,451.232000,39.029639,-120.605622,
847.600000,453.838000,39.029623,-120.605644,
848.000000,456.435000,39.029608,-120.605667,
848.000000,461.967000,39.029577,-120.605717,
848.400000,473.179000,39.029532,-120.605833,
848.800000,475.556000,39.029528,-120.605860,
849.200000,478.066000,39.029529,-120.605889,
849.600000,480.929000,39.029531,-120.605922,
850.000000,483.888000,39.029534,-120.605956,
850.000000,501.875000,39.029535,-120.606164,
850.400000,509.929000,39.029531,-120.606257,
850.800000,512.958000,39.029532,-120.606292,
851.200000,515.846000,39.029536,-120.606325,
851.600000,518.906000,39.029540,-120.606360,
852.000000,522.089000,39.029546,-120.606396,
852.000000,545.889000,39.029609,-120.606659,
852.000000,572.662000,39.029624,-120.606968,
852.000000,578.460000,39.029626,-120.607035,
851.600000,584.220000,39.029633,-120.607101,
851.200000,590.356000,39.029642,-120.607171,
850.600000,597.022000,39.029652,-120.607247,
850.200000,604.317000,39.029675,-120.607326,
849.600000,612.330000,39.029707,-120.607409,
849.000000,621.647000,39.029745,-120.607505,
848.000000,631.007000,39.029779,-120.607604,
847.200000,640.841000,39.029811,-120.607710,
846.200000,650.679000,39.029845,-120.607815,
845.200000,660.649000,39.029882,-120.607920,
844.400000,670.856000,39.029919,-120.608028,
843.600000,682.021000,39.029954,-120.608149,
842.600000,693.500000,39.029984,-120.608276,
841.800000,704.834000,39.030002,-120.608405,
841.000000,715.840000,39.030016,-120.608531,
840.000000,726.590000,39.030030,-120.608654,
839.200000,736.725000,39.030043,-120.608770,
838.200000,746.432000,39.030056,-120.608881,
837.200000,755.285000,39.030069,-120.608982,
837.200000,771.777000,39.030105,-120.609167,
837.200000,785.387000,39.030142,-120.609317,
837.800000,790.773000,39.030155,-120.609377,
838.400000,795.697000,39.030163,-120.609433,
839.600000,800.228000,39.030168,-120.609485,
840.200000,804.330000,39.030173,-120.609532,
841.000000,807.805000,39.030176,-120.609572,
841.600000,811.223000,39.030181,-120.609611,
842.400000,814.625000,39.030185,-120.609650,
842.800000,818.005000,39.030187,-120.609689,
843.200000,821.652000,39.030190,-120.609731,
843.800000,825.032000,39.030192,-120.609770,
844.200000,828.194000,39.030197,-120.609806,
844.600000,831.253000,39.030201,-120.609841,
844.600000,834.360000,39.030210,-120.609875,
845.000000,837.262000,39.030220,-120.609906,
845.400000,840.615000,39.030229,-120.609943,
845.800000,843.815000,39.030242,-120.609976,
846.200000,846.965000,39.030261,-120.610003,
846.600000,850.042000,39.030279,-120.610030,
847.200000,858.427000,39.030344,-120.610079,
847.600000,860.891000,39.030365,-120.610088,
848.000000,864.038000,39.030390,-120.610105,
848.400000,867.023000,39.030410,-120.610128,
848.800000,870.254000,39.030434,-120.610149,
849.200000,877.229000,39.030486,-120.610194,
849.600000,880.696000,39.030513,-120.610214,
850.000000,883.788000,39.030537,-120.610232,
850.400000,886.621000,39.030560,-120.610246,
850.800000,889.197000,39.030580,-120.610261,
850.800000,892.010000,39.030602,-120.610277,
851.400000,903.651000,39.030694,-120.610341,
851.800000,906.367000,39.030715,-120.610357,
852.200000,909.505000,39.030741,-120.610371,
852.600000,912.597000,39.030765,-120.610389,
853.000000,915.736000,39.030788,-120.610410,
853.000000,925.564000,39.030862,-120.610472,
853.400000,938.658000,39.030946,-120.610578,
853.800000,941.466000,39.030960,-120.610605,
854.200000,944.209000,39.030970,-120.610634,
854.600000,946.910000,39.030979,-120.610663,
855.000000,949.701000,39.030986,-120.610694,
855.000000,952.212000,39.030987,-120.610723,
855.000000,954.633000,39.030987,-120.610751,
855.400000,961.897000,39.030986,-120.610835,
855.800000,964.020000,39.030982,-120.610859,
856.200000,966.118000,39.030976,-120.610882,
856.600000,968.495000,39.030972,-120.610909,
857.000000,970.477000,39.030967,-120.610931,
857.000000,981.819000,39.030918,-120.611046,
857.600000,983.920000,39.030910,-120.611068,
858.000000,986.275000,39.030900,-120.611092,
858.400000,988.630000,39.030890,-120.611116,
858.800000,990.780000,39.030881,-120.611138,
859.200000,992.930000,39.030872,-120.611160,
859.200000,999.705000,39.030848,-120.611232,
859.600000,1004.082000,39.030830,-120.611277,
860.400000,1006.027000,39.030822,-120.611297,
860.800000,1007.680000,39.030817,-120.611315,
861.200000,1009.531000,39.030808,-120.611333,
861.200000,1011.588000,39.030798,-120.611353,
861.200000,1013.487000,39.030793,-120.611374,
861.600000,1017.380000,39.030792,-120.611419,
862.000000,1019.250000,39.030788,-120.611440,
862.400000,1021.399000,39.030783,-120.611464,
862.800000,1023.486000,39.030781,-120.611488,
863.400000,1025.609000,39.030777,-120.611512,
863.400000,1031.413000,39.030764,-120.611577,
863.800000,1035.158000,39.030760,-120.611620,
864.200000,1037.089000,39.030757,-120.611642,
864.600000,1038.822000,39.030758,-120.611662,
865.000000,1040.987000,39.030757,-120.611687,
865.400000,1042.941000,39.030753,-120.611709,
865.400000,1046.273000,39.030748,-120.611747,
865.400000,1051.578000,39.030743,-120.611808,
866.200000,1053.483000,39.030744,-120.611830,
866.600000,1055.227000,39.030742,-120.611850,
867.000000,1057.097000,39.030738,-120.611871,
867.400000,1059.135000,39.030734,-120.611894,
867.800000,1068.067000,39.030728,-120.611997,
868.200000,1069.713000,39.030729,-120.612016,
868.800000,1071.475000,39.030726,-120.612036,
869.200000,1073.381000,39.030725,-120.612058,
869.600000,1075.483000,39.030722,-120.612082,
869.600000,1082.989000,39.030705,-120.612166,
870.000000,1085.168000,39.030697,-120.612189,
870.400000,1087.513000,39.030691,-120.612215,
870.800000,1089.811000,39.030684,-120.612240,
871.200000,1092.070000,39.030676,-120.612264,
871.600000,1093.969000,39.030671,-120.612285,
871.600000,1095.786000,39.030666,-120.612305,
872.200000,1102.134000,39.030660,-120.612378,
872.600000,1104.031000,39.030653,-120.612398,
873.000000,1106.096000,39.030648,-120.612421,
873.400000,1108.027000,39.030645,-120.612443,
873.800000,1109.813000,39.030641,-120.612463,
874.400000,1120.070000,39.030613,-120.612576,
874.800000,1122.062000,39.030612,-120.612599,
875.200000,1124.016000,39.030608,-120.612621,
875.600000,1126.054000,39.030604,-120.612644,
876.000000,1128.233000,39.030596,-120.612667,
876.000000,1138.714000,39.030560,-120.612779,
876.400000,1140.561000,39.030557,-120.612800,
876.800000,1142.133000,39.030555,-120.612818,
877.400000,1143.877000,39.030553,-120.612838,
877.800000,1145.792000,39.030551,-120.612860,
878.200000,1147.708000,39.030549,-120.612882,
878.200000,1152.038000,39.030541,-120.612931,
878.600000,1160.664000,39.030506,-120.613020,
879.000000,1162.702000,39.030502,-120.613043,
879.400000,1164.950000,39.030502,-120.613069,
879.800000,1167.037000,39.030500,-120.613093,
880.200000,1169.125000,39.030498,-120.613117,
880.200000,1181.264000,39.030506,-120.613257,
880.600000,1185.266000,39.030510,-120.613303,
881.000000,1187.440000,39.030512,-120.613328,
881.400000,1189.656000,39.030519,-120.613352,
882.000000,1192.198000,39.030531,-120.613377,
882.400000,1194.456000,39.030539,-120.613401,
882.400000,1196.833000,39.030543,-120.613428,
882.800000,1204.060000,39.030570,-120.613504,
883.200000,1205.906000,39.030573,-120.613525,
883.600000,1207.882000,39.030580,-120.613546,
884.000000,1210.161000,39.030590,-120.613569,
884.400000,1212.424000,39.030601,-120.613591,
884.400000,1221.840000,39.030645,-120.613684,
884.800000,1228.248000,39.030666,-120.613753,
885.200000,1230.099000,39.030675,-120.613771,
885.800000,1232.531000,39.030685,-120.613796,
886.200000,1234.785000,39.030697,-120.613817,
886.600000,1237.113000,39.030711,-120.613837,
886.600000,1251.959000,39.030799,-120.613966,
887.400000,1256.469000,39.030825,-120.614006,
888.000000,1258.999000,39.030838,-120.614030,
888.400000,1261.482000,39.030854,-120.614050,
888.800000,1263.826000,39.030871,-120.614066,
888.800000,1268.760000,39.030906,-120.614101,
889.200000,1280.639000,39.031002,-120.614161,
889.600000,1282.998000,39.031022,-120.614170,
890.000000,1285.198000,39.031041,-120.614177,
890.400000,1287.647000,39.031063,-120.614177,
890.800000,1290.110000,39.031085,-120.614174,
890.800000,1294.903000,39.031128,-120.614171,
891.400000,1302.669000,39.031195,-120.614146,
891.800000,1305.203000,39.031215,-120.614132,
892.200000,1307.486000,39.031230,-120.614114,
892.600000,1309.936000,39.031247,-120.614096,
893.000000,1312.386000,39.031264,-120.614078,
893.400000,1324.038000,39.031339,-120.613984,
894.000000,1326.448000,39.031350,-120.613960,
894.400000,1328.655000,39.031354,-120.613935,
894.800000,1330.882000,39.031363,-120.613912,
895.200000,1333.265000,39.031372,-120.613887,
895.200000,1339.673000,39.031369,-120.613813,
895.600000,1348.155000,39.031350,-120.613718,
896.200000,1350.535000,39.031343,-120.613692,
896.600000,1352.953000,39.031335,-120.613666,
897.000000,1355.438000,39.031324,-120.613641,
897.400000,1357.979000,39.031312,-120.613616,
897.400000,1371.203000,39.031266,-120.613475,
897.800000,1373.430000,39.031257,-120.613452,
898.200000,1375.848000,39.031249,-120.613426,
898.600000,1377.865000,39.031243,-120.613404,
899.000000,1380.123000,39.031235,-120.613380,
899.400000,1383.041000,39.031223,-120.613350,
899.400000,1386.914000,39.031209,-120.613309,
900.000000,1393.950000,39.031191,-120.613231,
900.400000,1396.248000,39.031184,-120.613206,
900.800000,1398.627000,39.031177,-120.613180,
901.200000,1400.750000,39.031173,-120.613156,
901.600000,1402.815000,39.031168,-120.613133,
901.600000,1405.410000,39.031162,-120.613104,
902.000000,1411.375000,39.031153,-120.613036,
902.600000,1413.638000,39.031147,-120.613011,
903.000000,1415.997000,39.031144,-120.612984,
903.400000,1417.950000,39.031140,-120.612962,
903.800000,1420.201000,39.031139,-120.612936,
904.200000,1428.808000,39.031147,-120.612837,
904.600000,1430.762000,39.031151,-120.612815,
905.200000,1432.662000,39.031156,-120.612794,
905.600000,1434.924000,39.031162,-120.612769,
906.000000,1436.923000,39.031171,-120.612749,
906.000000,1445.576000,39.031208,-120.612661,
906.400000,1447.695000,39.031219,-120.612641,
907.000000,1449.697000,39.031232,-120.612625,
907.400000,1451.545000,39.031243,-120.612609,
907.800000,1453.325000,39.031256,-120.612597,
908.200000,1455.431000,39.031272,-120.612584,
908.200000,1459.707000,39.031306,-120.612561,
908.600000,1465.484000,39.031355,-120.612539,
909.000000,1466.864000,39.031367,-120.612535,
909.600000,1468.444000,39.031381,-120.612532,
910.000000,1470.133000,39.031396,-120.612529,
910.400000,1471.692000,39.031410,-120.612529,
910.800000,1478.496000,39.031471,-120.612534,
911.200000,1479.857000,39.031483,-120.612537,
911.800000,1480.302000,39.031487,-120.612537,
912.200000,1480.508000,39.031486,-120.612539,
912.600000,1481.533000,39.031492,-120.612548,
912.600000,1482.679000,39.031494,-120.612535,
912.600000,1483.384000,39.031499,-120.612530,
912.600000,1483.666000,39.031498,-120.612533,
912.600000,1484.538000,39.031497,-120.612543,
912.600000,1484.777000,39.031499,-120.612542,
912.600000,1487.652000,39.031506,-120.612574,
912.600000,1488.609000,39.031511,-120.612583,
912.600000,1495.723000,39.031565,-120.612627,
912.600000,1500.371000,39.031592,-120.612668,
