alt,dst,lat,lon,mdata
248.200000,0.000000,37.876780,-120.295240,E:\Dropbox\website\dev2\climbing\climbs\Wards-Ferry-Road.tcx
260.800000,28.271106,37.876670,-120.294950,
266.900000,46.914956,37.876560,-120.294790,
270.100000,56.323199,37.876490,-120.294730,
272.700000,66.494855,37.876400,-120.294710,
275.400000,76.666511,37.876310,-120.294690,
274.400000,92.390854,37.876180,-120.294760,
276.400000,136.705730,37.875860,-120.295060,
280.100000,158.952536,37.875680,-120.295170,
291.000000,178.597408,37.875510,-120.295230,
299.800000,220.784034,37.875150,-120.295380,
301.700000,234.257399,37.875030,-120.295400,
297.600000,266.733580,37.874760,-120.295540,
297.700000,289.273085,37.874560,-120.295580,
300.000000,321.567506,37.874270,-120.295590,
299.800000,330.644762,37.874190,-120.295570,
300.300000,340.315439,37.874140,-120.295480,
300.300000,345.834124,37.874110,-120.295430,
300.800000,356.060572,37.874080,-120.295320,
304.100000,396.162601,37.874020,-120.294870,
305.900000,428.180851,37.873940,-120.294520,
306.800000,437.256627,37.873900,-120.294430,
310.900000,453.812722,37.873810,-120.294280,
312.400000,471.203960,37.873730,-120.294110,
312.800000,481.980990,37.873710,-120.293990,
313.700000,496.919110,37.873710,-120.293820,
315.700000,518.730346,37.873760,-120.293580,
319.400000,535.321223,37.873860,-120.293440,
323.900000,544.729571,37.873930,-120.293380,
329.100000,559.916596,37.874010,-120.293240,
335.000000,579.387419,37.874100,-120.293050,
336.100000,596.413602,37.874130,-120.292860,
337.700000,606.264477,37.874170,-120.292760,
339.800000,623.863264,37.874220,-120.292570,
340.200000,637.966574,37.874230,-120.292410,
338.600000,659.777680,37.874180,-120.292170,
338.900000,678.364361,37.874160,-120.291960,
336.800000,709.494772,37.874040,-120.291640,
337.500000,735.701681,37.873940,-120.291370,
346.300000,758.774978,37.873840,-120.291140,
352.000000,776.373847,37.873790,-120.290950,
351.300000,790.681543,37.873740,-120.290800,
351.800000,815.285496,37.873740,-120.290520,
350.100000,825.511989,37.873710,-120.290410,
347.900000,839.819698,37.873660,-120.290260,
347.100000,855.985259,37.873630,-120.290080,
347.500000,872.717895,37.873620,-120.289890,
349.000000,889.450531,37.873630,-120.289700,
350.500000,911.446567,37.873620,-120.289450,
348.600000,927.011860,37.873560,-120.289290,
344.900000,944.264411,37.873460,-120.289140,
345.500000,958.499055,37.873440,-120.288980,
348.300000,974.355070,37.873450,-120.288800,
352.600000,987.535811,37.873450,-120.288650,
356.600000,997.762336,37.873480,-120.288540,
359.300000,1004.879655,37.873490,-120.288460,
359.900000,1030.800881,37.873380,-120.288200,
361.200000,1048.930540,37.873340,-120.288000,
362.600000,1061.282847,37.873330,-120.287860,
363.900000,1071.827457,37.873330,-120.287740,
364.500000,1077.978479,37.873330,-120.287670,
364.300000,1084.977607,37.873300,-120.287600,
362.600000,1100.577976,37.873190,-120.287490,
362.800000,1115.062489,37.873110,-120.287360,
364.300000,1124.127348,37.873090,-120.287260,
365.300000,1129.646084,37.873060,-120.287210,
368.300000,1140.967378,37.872970,-120.287150,
375.000000,1181.475356,37.872820,-120.286730,
376.100000,1213.358446,37.872720,-120.286390,
375.800000,1232.632814,37.872670,-120.286180,
376.700000,1259.860511,37.872550,-120.285910,
376.100000,1290.234968,37.872390,-120.285630,
375.800000,1308.958102,37.872300,-120.285450,
375.400000,1321.373915,37.872230,-120.285340,
377.300000,1330.161221,37.872230,-120.285240,
380.200000,1340.705989,37.872230,-120.285120,
382.200000,1348.079960,37.872250,-120.285040,
384.300000,1357.931036,37.872290,-120.284940,
386.900000,1373.496548,37.872350,-120.284780,
388.700000,1393.499620,37.872460,-120.284600,
388.700000,1411.924351,37.872530,-120.284410,
389.200000,1424.340133,37.872600,-120.284300,
392.100000,1447.915500,37.872770,-120.284140,
