alt,dst,lat,lon,mdata
102.800000,0.000000,37.535640,-121.851810,E:\Dropbox\website\dev2\climbing\climbs\Welch-Creek-Road.tcx
103.100000,9.962000,37.535660,-121.851700,
104.400000,27.633000,37.535710,-121.851510,
105.800000,42.814000,37.535760,-121.851350,
106.300000,49.963000,37.535770,-121.851270,
107.000000,56.531000,37.535790,-121.851200,
107.700000,62.276000,37.535810,-121.851140,
108.300000,68.844000,37.535830,-121.851070,
109.900000,103.718000,37.535880,-121.850680,
112.900000,123.265000,37.535900,-121.850460,
114.200000,135.623000,37.535900,-121.850320,
114.600000,140.037000,37.535900,-121.850270,
122.200000,205.396000,37.535920,-121.849530,
129.800000,268.317000,37.535970,-121.848820,
134.900000,303.190000,37.536020,-121.848430,
138.700000,337.903000,37.536060,-121.848040,
141.400000,360.662000,37.536110,-121.847790,
143.300000,377.498000,37.536160,-121.847610,
144.700000,398.345000,37.536290,-121.847440,
147.800000,425.642000,37.536470,-121.847230,
151.000000,455.832000,37.536690,-121.847030,
155.200000,483.506000,37.536840,-121.846780,
158.100000,508.222000,37.536940,-121.846530,
163.400000,539.230000,37.537010,-121.846190,
165.000000,546.634000,37.537030,-121.846110,
168.700000,561.815000,37.537080,-121.845950,
170.400000,575.102000,37.537090,-121.845800,
173.100000,587.659000,37.537110,-121.845660,
176.400000,605.348000,37.537120,-121.845460,
177.500000,621.276000,37.537130,-121.845280,
177.500000,637.204000,37.537120,-121.845100,
177.500000,646.977000,37.537110,-121.844990,
176.400000,656.415000,37.537080,-121.844890,
176.000000,661.827000,37.537070,-121.844830,
174.800000,673.317000,37.537030,-121.844710,
175.000000,682.215000,37.537020,-121.844610,
174.600000,689.619000,37.537000,-121.844530,
175.200000,696.768000,37.537010,-121.844450,
175.900000,703.046000,37.537020,-121.844380,
178.000000,712.038000,37.537070,-121.844300,
178.900000,717.783000,37.537090,-121.844240,
179.400000,721.485000,37.537100,-121.844200,
179.200000,723.572000,37.537090,-121.844180,
179.600000,731.517000,37.537090,-121.844090,
179.300000,748.869000,37.537050,-121.843900,
178.900000,757.487000,37.537020,-121.843810,
178.100000,774.723000,37.536960,-121.843630,
178.300000,782.973000,37.536940,-121.843540,
180.900000,804.158000,37.536940,-121.843300,
181.600000,821.259000,37.536910,-121.843110,
180.900000,835.785000,37.536830,-121.842980,
180.900000,844.776000,37.536780,-121.842900,
180.600000,854.496000,37.536720,-121.842820,
181.100000,862.812000,37.536670,-121.842750,
183.200000,874.303000,37.536630,-121.842630,
184.500000,883.407000,37.536610,-121.842530,
188.700000,909.030000,37.536600,-121.842240,
189.800000,919.681000,37.536590,-121.842120,
190.500000,928.578000,37.536580,-121.842020,
191.000000,937.475000,37.536570,-121.841920,
191.300000,948.299000,37.536550,-121.841800,
194.000000,966.869000,37.536540,-121.841590,
194.400000,977.520000,37.536530,-121.841470,
193.800000,986.417000,37.536520,-121.841370,
192.900000,995.315000,37.536510,-121.841270,
191.400000,1005.965000,37.536500,-121.841150,
187.300000,1023.655000,37.536490,-121.840950,
187.500000,1053.853000,37.536460,-121.840610,
189.700000,1062.956000,37.536440,-121.840510,
192.400000,1075.758000,37.536410,-121.840370,
192.900000,1086.950000,37.536360,-121.840260,
194.800000,1098.142000,37.536310,-121.840150,
195.800000,1103.677000,37.536280,-121.840100,
198.000000,1109.938000,37.536250,-121.840040,
199.700000,1117.554000,37.536210,-121.839970,
200.900000,1122.497000,37.536190,-121.839920,
201.700000,1127.441000,37.536170,-121.839870,
202.300000,1133.702000,37.536140,-121.839810,
203.500000,1144.384000,37.536100,-121.839700,
204.200000,1155.576000,37.536050,-121.839590,
205.500000,1165.845000,37.536020,-121.839480,
206.000000,1169.547000,37.536010,-121.839440,
206.600000,1171.312000,37.536010,-121.839420,
207.100000,1174.185000,37.536000,-121.839390,
207.200000,1177.645000,37.535980,-121.839360,
207.800000,1180.517000,37.535970,-121.839330,
208.200000,1183.390000,37.535960,-121.839300,
207.900000,1184.811000,37.535950,-121.839290,
206.700000,1191.914000,37.535900,-121.839240,
206.100000,1196.176000,37.535870,-121.839210,
205.200000,1201.357000,37.535830,-121.839180,
204.800000,1205.135000,37.535800,-121.839160,
204.600000,1211.404000,37.535760,-121.839110,
204.900000,1216.347000,37.535740,-121.839060,
204.900000,1217.768000,37.535730,-121.839050,
205.100000,1224.872000,37.535680,-121.839000,
205.600000,1230.555000,37.535640,-121.838960,
206.200000,1238.110000,37.535580,-121.838920,
206.100000,1243.949000,37.535530,-121.838900,
206.600000,1247.408000,37.535510,-121.838870,
206.600000,1253.091000,37.535470,-121.838830,
207.700000,1261.440000,37.535430,-121.838750,
209.100000,1268.008000,37.535410,-121.838680,
210.100000,1278.690000,37.535370,-121.838570,
211.000000,1284.435000,37.535350,-121.838510,
211.000000,1289.379000,37.535330,-121.838460,
208.900000,1299.814000,37.535280,-121.838360,
208.200000,1308.806000,37.535230,-121.838280,
206.000000,1317.122000,37.535180,-121.838210,
205.700000,1322.657000,37.535150,-121.838160,
205.600000,1326.831000,37.535130,-121.838120,
205.700000,1336.269000,37.535100,-121.838020,
206.000000,1350.783000,37.535070,-121.837860,
206.500000,1362.472000,37.535050,-121.837730,
207.200000,1368.751000,37.535040,-121.837660,
207.100000,1375.012000,37.535010,-121.837600,
207.300000,1379.956000,37.534990,-121.837550,
207.700000,1381.721000,37.534990,-121.837530,
207.700000,1385.181000,37.534970,-121.837500,
207.800000,1392.100000,37.534930,-121.837440,
207.200000,1396.960000,37.534900,-121.837400,
207.200000,1404.515000,37.534840,-121.837360,
206.200000,1417.857000,37.534730,-121.837300,
206.400000,1422.119000,37.534700,-121.837270,
206.300000,1427.300000,37.534660,-121.837240,
207.300000,1432.712000,37.534650,-121.837180,
208.200000,1438.124000,37.534640,-121.837120,
210.900000,1448.775000,37.534630,-121.837000,
212.600000,1456.798000,37.534620,-121.836910,
213.500000,1465.416000,37.534590,-121.836820,
214.000000,1475.116000,37.534540,-121.836730,
214.600000,1483.464000,37.534500,-121.836650,
215.500000,1492.572000,37.534460,-121.836560,
216.500000,1500.384000,37.534430,-121.836480,
217.400000,1508.195000,37.534400,-121.836400,
217.700000,1511.655000,37.534380,-121.836370,
217.900000,1515.115000,37.534360,-121.836340,
217.100000,1522.670000,37.534300,-121.836300,
216.800000,1529.261000,37.534250,-121.836260,
216.500000,1535.853000,37.534200,-121.836220,
216.400000,1549.206000,37.534110,-121.836120,
216.600000,1556.125000,37.534070,-121.836060,
217.300000,1573.035000,37.534000,-121.835890,
217.400000,1586.171000,37.533960,-121.835750,
217.300000,1591.916000,37.533940,-121.835690,
217.700000,1598.095000,37.533940,-121.835620,
218.100000,1601.798000,37.533950,-121.835580,
219.000000,1608.076000,37.533960,-121.835510,
221.000000,1617.787000,37.533960,-121.835400,
222.300000,1624.936000,37.533950,-121.835320,
221.200000,1631.960000,37.533920,-121.835250,
219.600000,1636.134000,37.533900,-121.835210,
218.600000,1638.221000,37.533890,-121.835190,
218.600000,1647.320000,37.533830,-121.835120,
218.200000,1666.129000,37.533710,-121.834970,
219.300000,1696.261000,37.533510,-121.834740,
223.900000,1719.156000,37.533370,-121.834550,
224.000000,1728.255000,37.533310,-121.834480,
223.600000,1734.525000,37.533270,-121.834430,
224.100000,1741.549000,37.533240,-121.834360,
224.300000,1746.492000,37.533220,-121.834310,
225.700000,1752.672000,37.533220,-121.834240,
226.900000,1760.616000,37.533220,-121.834150,
228.000000,1766.029000,37.533230,-121.834090,
228.800000,1770.581000,37.533240,-121.834040,
229.700000,1774.283000,37.533250,-121.834000,
229.900000,1777.814000,37.533250,-121.833960,
230.000000,1780.462000,37.533250,-121.833930,
230.200000,1783.993000,37.533250,-121.833890,
229.800000,1787.696000,37.533240,-121.833850,
229.800000,1792.248000,37.533230,-121.833800,
229.500000,1796.422000,37.533210,-121.833760,
228.900000,1802.684000,37.533180,-121.833700,
227.700000,1813.366000,37.533140,-121.833590,
228.600000,1822.194000,37.533140,-121.833490,
230.300000,1830.139000,37.533140,-121.833400,
233.200000,1838.083000,37.533140,-121.833310,
240.300000,1853.973000,37.533140,-121.833130,
244.400000,1869.144000,37.533120,-121.832960,
245.000000,1870.910000,37.533120,-121.832940,
246.200000,1883.219000,37.533080,-121.832810,
245.700000,1889.481000,37.533050,-121.832750,
245.900000,1893.183000,37.533040,-121.832710,
245.700000,1898.127000,37.533020,-121.832660,
245.000000,1901.586000,37.533000,-121.832630,
244.100000,1907.848000,37.532970,-121.832570,
242.800000,1921.201000,37.532880,-121.832470,
242.500000,1926.884000,37.532840,-121.832430,
241.800000,1937.245000,37.532760,-121.832370,
242.000000,1943.515000,37.532720,-121.832320,
242.200000,1949.785000,37.532680,-121.832270,
242.400000,1955.320000,37.532650,-121.832220,
242.800000,1961.065000,37.532630,-121.832160,
243.600000,1965.479000,37.532630,-121.832110,
244.400000,1969.181000,37.532640,-121.832070,
246.000000,1976.331000,37.532650,-121.831990,
247.300000,1982.510000,37.532650,-121.831920,
248.600000,1986.924000,37.532650,-121.831870,
250.200000,1991.338000,37.532650,-121.831820,
251.400000,1997.906000,37.532630,-121.831750,
253.200000,2003.651000,37.532610,-121.831690,
256.600000,2012.759000,37.532570,-121.831600,
259.000000,2044.578000,37.532390,-121.831320,
259.000000,2052.194000,37.532350,-121.831250,
259.100000,2062.463000,37.532320,-121.831140,
258.500000,2073.146000,37.532280,-121.831030,
258.100000,2083.415000,37.532250,-121.830920,
258.300000,2088.827000,37.532240,-121.830860,
258.400000,2093.379000,37.532230,-121.830810,
258.500000,2097.081000,37.532220,-121.830770,
259.100000,2116.856000,37.532140,-121.830570,
259.000000,2118.943000,37.532130,-121.830550,
258.200000,2130.718000,37.532060,-121.830450,
254.600000,2154.008000,37.531900,-121.830280,
254.200000,2176.161000,37.531770,-121.830090,
