alt,dst,lat,lon,mdata
101.000000,0.000000,37.535720,-121.852910,E:\Dropbox\website\dev2\climbing\climbs\Welch-Creek.tcx
100.900000,14.363225,37.535670,-121.852760,
100.900000,24.249996,37.535630,-121.852660,
100.800000,32.867939,37.535600,-121.852570,
101.000000,45.425112,37.535580,-121.852430,
101.100000,52.486958,37.535580,-121.852350,
101.100000,58.765545,37.535570,-121.852280,
101.300000,64.177651,37.535580,-121.852220,
101.400000,65.060381,37.535580,-121.852210,
101.700000,76.589747,37.535590,-121.852080,
102.300000,91.102888,37.535620,-121.851920,
103.100000,111.026889,37.535660,-121.851700,
104.400000,128.698194,37.535710,-121.851510,
105.800000,143.879024,37.535760,-121.851350,
106.300000,151.028052,37.535770,-121.851270,
107.000000,157.596006,37.535790,-121.851200,
107.700000,163.341289,37.535810,-121.851140,
108.300000,169.909240,37.535830,-121.851070,
109.900000,204.782653,37.535880,-121.850680,
112.900000,224.329853,37.535900,-121.850460,
114.200000,236.688030,37.535900,-121.850320,
114.600000,241.101665,37.535900,-121.850270,
122.200000,306.461384,37.535920,-121.849530,
129.800000,369.381629,37.535970,-121.848820,
134.900000,404.254978,37.536020,-121.848430,
138.700000,438.968035,37.536060,-121.848040,
141.400000,461.727245,37.536110,-121.847790,
143.300000,478.562956,37.536160,-121.847610,
144.700000,499.410299,37.536290,-121.847440,
147.800000,526.707239,37.536470,-121.847230,
151.000000,556.897375,37.536690,-121.847030,
155.200000,584.570656,37.536840,-121.846780,
158.100000,609.287255,37.536940,-121.846530,
163.400000,640.294633,37.537010,-121.846190,
165.000000,647.698990,37.537030,-121.846110,
168.700000,662.879586,37.537080,-121.845950,
170.400000,676.166993,37.537090,-121.845800,
173.100000,688.723920,37.537110,-121.845660,
176.400000,706.413233,37.537120,-121.845460,
177.500000,722.341006,37.537130,-121.845280,
177.500000,738.268779,37.537120,-121.845100,
177.500000,748.042220,37.537110,-121.844990,
176.400000,757.479958,37.537080,-121.844890,
176.000000,762.891959,37.537070,-121.844830,
174.800000,774.382362,37.537030,-121.844710,
175.000000,783.279413,37.537020,-121.844610,
174.600000,790.683771,37.537000,-121.844530,
175.200000,797.832684,37.537010,-121.844450,
175.900000,804.111154,37.537020,-121.844380,
178.000000,813.102674,37.537070,-121.844300,
178.900000,818.847873,37.537090,-121.844240,
179.400000,822.550048,37.537100,-121.844200,
179.200000,824.637132,37.537090,-121.844180,
179.600000,832.581548,37.537090,-121.844090,
179.300000,849.934124,37.537050,-121.843900,
178.900000,858.551927,37.537020,-121.843810,
178.100000,875.787543,37.536960,-121.843630,
178.300000,884.038043,37.536940,-121.843540,
180.900000,905.223195,37.536940,-121.843300,
181.600000,922.324034,37.536910,-121.843110,
180.900000,936.849549,37.536830,-121.842980,
180.900000,945.841087,37.536780,-121.842900,
180.600000,955.561112,37.536720,-121.842820,
181.100000,963.877364,37.536670,-121.842750,
183.200000,975.367819,37.536630,-121.842630,
184.500000,984.471442,37.536610,-121.842530,
188.700000,1010.094475,37.536600,-121.842240,
189.800000,1020.745433,37.536590,-121.842120,
190.500000,1029.642536,37.536580,-121.842020,
191.000000,1038.539641,37.536570,-121.841920,
191.300000,1049.363715,37.536550,-121.841800,
194.000000,1067.934216,37.536540,-121.841590,
194.400000,1078.585182,37.536530,-121.841470,
193.800000,1087.482292,37.536520,-121.841370,
192.900000,1096.379404,37.536510,-121.841270,
191.400000,1107.030374,37.536500,-121.841150,
187.300000,1124.719834,37.536490,-121.840950,
187.500000,1154.917550,37.536460,-121.840610,
189.700000,1164.021192,37.536440,-121.840510,
192.400000,1176.822563,37.536410,-121.840370,
192.900000,1188.014638,37.536360,-121.840260,
194.800000,1199.206718,37.536310,-121.840150,
195.800000,1204.741396,37.536280,-121.840100,
198.000000,1211.002696,37.536250,-121.840040,
199.700000,1218.618982,37.536210,-121.839970,
200.900000,1223.562338,37.536190,-121.839920,
201.700000,1228.505696,37.536170,-121.839870,
202.300000,1234.767002,37.536140,-121.839810,
203.500000,1245.449253,37.536100,-121.839700,
204.200000,1256.641363,37.536050,-121.839590,
205.500000,1266.909585,37.536020,-121.839480,
206.000000,1270.611809,37.536010,-121.839440,
206.600000,1272.377261,37.536010,-121.839420,
207.100000,1275.249895,37.536000,-121.839390,
207.200000,1278.709606,37.535980,-121.839360,
207.800000,1281.582242,37.535970,-121.839330,
208.200000,1284.454878,37.535960,-121.839300,
207.900000,1285.875581,37.535950,-121.839290,
206.700000,1292.979092,37.535900,-121.839240,
206.100000,1297.241200,37.535870,-121.839210,
205.200000,1302.421922,37.535830,-121.839180,
204.800000,1306.199426,37.535800,-121.839160,
204.600000,1312.468975,37.535760,-121.839110,
204.900000,1317.412355,37.535740,-121.839060,
204.900000,1318.833059,37.535730,-121.839050,
205.100000,1325.936579,37.535680,-121.839000,
205.600000,1331.619395,37.535640,-121.838960,
206.200000,1339.174407,37.535580,-121.838920,
206.100000,1345.013634,37.535530,-121.838900,
206.600000,1348.473357,37.535510,-121.838870,
206.600000,1354.156179,37.535470,-121.838830,
207.700000,1362.504644,37.535430,-121.838750,
209.100000,1369.072626,37.535410,-121.838680,
210.100000,1379.754964,37.535370,-121.838570,
211.000000,1385.500276,37.535350,-121.838510,
211.000000,1390.443677,37.535330,-121.838460,
208.900000,1400.879273,37.535280,-121.838360,
208.200000,1409.870926,37.535230,-121.838280,
206.000000,1418.187269,37.535180,-121.838210,
205.700000,1423.722001,37.535150,-121.838160,
205.600000,1427.896245,37.535130,-121.838120,
205.700000,1437.334202,37.535100,-121.838020,
206.000000,1451.847439,37.535070,-121.837860,
206.500000,1463.536994,37.535050,-121.837730,
207.200000,1469.815625,37.535040,-121.837660,
207.100000,1476.076999,37.535010,-121.837600,
207.300000,1481.020418,37.534990,-121.837550,
207.700000,1482.785894,37.534990,-121.837530,
207.700000,1486.245632,37.534970,-121.837500,
207.800000,1493.165111,37.534930,-121.837440,
207.200000,1498.025186,37.534900,-121.837400,
207.200000,1505.580214,37.534840,-121.837360,
206.200000,1518.921657,37.534730,-121.837300,
206.400000,1523.183791,37.534700,-121.837270,
206.300000,1528.364535,37.534660,-121.837240,
207.300000,1533.776704,37.534650,-121.837180,
208.200000,1539.188874,37.534640,-121.837120,
210.900000,1549.840108,37.534630,-121.837000,
212.600000,1557.862396,37.534620,-121.836910,
213.500000,1566.480439,37.534590,-121.836820,
214.000000,1576.180837,37.534540,-121.836730,
214.600000,1584.529377,37.534500,-121.836650,
215.500000,1593.636801,37.534460,-121.836560,
216.500000,1601.448580,37.534430,-121.836480,
217.400000,1609.260361,37.534400,-121.836400,
217.700000,1612.720116,37.534380,-121.836370,
217.900000,1616.179871,37.534360,-121.836340,
217.100000,1623.734910,37.534300,-121.836300,
216.800000,1630.326387,37.534250,-121.836260,
216.500000,1636.917865,37.534200,-121.836220,
216.400000,1650.270716,37.534110,-121.836120,
216.600000,1657.190241,37.534070,-121.836060,
217.300000,1674.099478,37.534000,-121.835890,
217.400000,1687.235666,37.533960,-121.835750,
217.300000,1692.981071,37.533940,-121.835690,
217.700000,1699.160322,37.533940,-121.835620,
218.100000,1702.862639,37.533950,-121.835580,
219.000000,1709.141359,37.533960,-121.835510,
221.000000,1718.851609,37.533960,-121.835400,
222.300000,1726.000807,37.533950,-121.835320,
221.200000,1733.024755,37.533920,-121.835250,
219.600000,1737.199049,37.533900,-121.835210,
218.600000,1739.286196,37.533890,-121.835190,
218.600000,1748.385318,37.533830,-121.835120,
218.200000,1767.194218,37.533710,-121.834970,
219.300000,1797.325617,37.533510,-121.834740,
223.900000,1820.220883,37.533370,-121.834550,
224.000000,1829.320034,37.533310,-121.834480,
223.600000,1835.589688,37.533270,-121.834430,
224.100000,1842.613686,37.533240,-121.834360,
224.300000,1847.557199,37.533220,-121.834310,
225.700000,1853.736510,37.533220,-121.834240,
226.900000,1861.681338,37.533220,-121.834150,
228.000000,1867.093607,37.533230,-121.834090,
228.800000,1871.645612,37.533240,-121.834040,
229.700000,1875.347961,37.533250,-121.834000,
229.900000,1878.878995,37.533250,-121.833960,
230.000000,1881.527270,37.533250,-121.833930,
230.200000,1885.058303,37.533250,-121.833890,
229.800000,1888.760652,37.533240,-121.833850,
229.800000,1893.312658,37.533230,-121.833800,
229.500000,1897.486979,37.533210,-121.833760,
228.900000,1903.748463,37.533180,-121.833700,
227.700000,1914.431065,37.533140,-121.833590,
228.600000,1923.258662,37.533140,-121.833490,
230.300000,1931.203499,37.533140,-121.833400,
233.200000,1939.148336,37.533140,-121.833310,
240.300000,1955.038010,37.533140,-121.833130,
244.400000,1970.209176,37.533120,-121.832960,
245.000000,1971.974696,37.533120,-121.832940,
246.200000,1984.284159,37.533080,-121.832810,
245.700000,1990.545651,37.533050,-121.832750,
245.900000,1994.248009,37.533040,-121.832710,
245.700000,1999.191533,37.533020,-121.832660,
245.000000,2002.651325,37.533000,-121.832630,
244.100000,2008.912821,37.532970,-121.832570,
242.800000,2022.265768,37.532880,-121.832470,
242.500000,2027.948667,37.532840,-121.832430,
241.800000,2038.310223,37.532760,-121.832370,
242.000000,2044.579900,37.532720,-121.832320,
242.200000,2050.849578,37.532680,-121.832270,
242.400000,2056.384427,37.532650,-121.832220,
242.800000,2062.129917,37.532630,-121.832160,
243.600000,2066.543746,37.532630,-121.832110,
244.400000,2070.246122,37.532640,-121.832070,
246.000000,2077.395443,37.532650,-121.831990,
247.300000,2083.574801,37.532650,-121.831920,
248.600000,2087.988629,37.532650,-121.831870,
250.200000,2092.402456,37.532650,-121.831820,
251.400000,2098.970655,37.532630,-121.831750,
253.200000,2104.716146,37.532610,-121.831690,
256.600000,2113.823746,37.532570,-121.831600,
259.000000,2145.642787,37.532390,-121.831320,
259.000000,2153.259333,37.532350,-121.831250,
259.100000,2163.528011,37.532320,-121.831140,
258.500000,2174.210715,37.532280,-121.831030,
258.100000,2184.479402,37.532250,-121.830920,
258.300000,2189.891738,37.532240,-121.830860,
258.400000,2194.443801,37.532230,-121.830810,
258.500000,2198.146196,37.532220,-121.830770,
259.000000,2219.999070,37.532130,-121.830550,
258.200000,2231.773997,37.532060,-121.830450,
254.600000,2255.064483,37.531900,-121.830280,
254.200000,2277.217298,37.531770,-121.830090,
254.100000,2284.833886,37.531730,-121.830020,
254.100000,2289.008268,37.531710,-121.829980,
254.000000,2293.182650,37.531690,-121.829940,
254.300000,2300.332061,37.531680,-121.829860,
254.500000,2309.229741,37.531670,-121.829760,
255.400000,2318.127421,37.531680,-121.829660,
256.800000,2329.817485,37.531700,-121.829530,
258.100000,2337.629497,37.531730,-121.829450,
258.500000,2359.535040,37.531780,-121.829210,
259.100000,2368.153358,37.531810,-121.829120,
260.600000,2384.989934,37.531860,-121.828940,
261.600000,2393.608245,37.531890,-121.828850,
262.500000,2401.420241,37.531920,-121.828770,
262.900000,2409.671255,37.531940,-121.828680,
264.200000,2425.908326,37.531970,-121.828500,
264.400000,2434.736061,37.531970,-121.828400,
264.600000,2450.625984,37.531970,-121.828220,
263.600000,2467.545800,37.531950,-121.828030,
263.900000,2477.508270,37.531930,-121.827920,
264.300000,2485.453236,37.531930,-121.827830,
264.700000,2493.704251,37.531910,-121.827740,
265.400000,2503.142565,37.531880,-121.827640,
266.200000,2511.393585,37.531860,-121.827550,
267.600000,2524.821071,37.531840,-121.827400,
268.200000,2536.297146,37.531840,-121.827270,
297.300000,2824.632141,37.532000,-121.824010,
299.800000,2837.040996,37.532010,-121.823870,
300.800000,2845.659292,37.532040,-121.823780,
304.300000,2875.406943,37.532210,-121.823520,
313.400000,2916.217232,37.532440,-121.823160,
315.000000,2923.136846,37.532480,-121.823100,
317.300000,2930.541612,37.532500,-121.823020,
328.000000,2961.458511,37.532510,-121.822670,
332.900000,2979.996620,37.532510,-121.822460,
334.800000,2995.886428,37.532510,-121.822280,
335.300000,3013.681595,37.532490,-121.822080,
335.300000,3028.688640,37.532490,-121.821910,
335.700000,3040.218480,37.532480,-121.821780,
345.300000,3111.731306,37.532490,-121.820970,
351.300000,3161.166278,37.532490,-121.820410,
354.100000,3177.975759,37.532480,-121.820220,
360.800000,3204.482171,37.532470,-121.819920,
360.900000,3209.894491,37.532480,-121.819860,
361.300000,3217.043827,37.532490,-121.819780,
362.300000,3225.066340,37.532500,-121.819690,
376.400000,3277.668370,37.532780,-121.819210,
377.900000,3282.528519,37.532810,-121.819170,
379.000000,3285.369969,37.532830,-121.819150,
383.700000,3300.480112,37.532950,-121.819070,
386.300000,3319.982750,37.533110,-121.818980,
386.700000,3326.146604,37.533160,-121.818950,
387.300000,3331.327375,37.533200,-121.818920,
387.700000,3335.104907,37.533230,-121.818900,
389.400000,3343.110676,37.533290,-121.818850,
393.400000,3362.885176,37.533440,-121.818730,
393.700000,3365.726617,37.533460,-121.818710,
393.900000,3367.147338,37.533470,-121.818700,
394.200000,3369.234493,37.533480,-121.818680,
394.500000,3371.321649,37.533490,-121.818660,
394.700000,3373.408804,37.533500,-121.818640,
395.100000,3376.057070,37.533500,-121.818610,
395.200000,3378.144226,37.533510,-121.818590,
411.700000,3545.356042,37.533410,-121.816700,
416.200000,3671.766843,37.533350,-121.815270,
432.400000,3790.244769,37.533290,-121.813930,
431.800000,3837.913694,37.533290,-121.813390,
435.000000,3857.618145,37.533230,-121.813180,
436.500000,3871.981778,37.533180,-121.813030,
438.100000,3892.547861,37.533100,-121.812820,
442.000000,3927.152527,37.532960,-121.812470,
447.600000,3960.971411,37.532820,-121.812130,
457.500000,4011.196559,37.532620,-121.811620,
461.300000,4035.129427,37.532520,-121.811380,
463.400000,4057.703406,37.532450,-121.811140,
465.800000,4067.141660,37.532420,-121.811040,
465.900000,4067.367400,37.532419,-121.811038,
465.800000,4067.593140,37.532420,-121.811040,
467.700000,4074.161356,37.532400,-121.810970,
472.600000,4088.675090,37.532370,-121.810810,
474.800000,4101.033853,37.532370,-121.810670,
475.600000,4111.858511,37.532350,-121.810550,
476.100000,4119.007859,37.532340,-121.810470,
485.400000,4175.738163,37.532090,-121.809910,
505.900000,4251.043166,37.531740,-121.809180,
514.600000,4304.056518,37.531720,-121.808580,
518.000000,4371.598849,37.531840,-121.807830,
521.200000,4384.156632,37.531860,-121.807690,
523.300000,4394.981360,37.531840,-121.807570,
524.600000,4404.419681,37.531810,-121.807470,
524.000000,4412.944078,37.531750,-121.807410,
523.000000,4424.013866,37.531690,-121.807310,
523.600000,4438.312688,37.531670,-121.807150,
521.000000,4460.826837,37.531630,-121.806900,
523.200000,4498.172925,37.531760,-121.806510,
525.500000,4517.238476,37.531800,-121.806300,
538.300000,4577.770831,37.531870,-121.805620,
542.700000,4604.228233,37.531930,-121.805330,
546.000000,4626.381021,37.532060,-121.805140,
547.100000,4636.101367,37.532120,-121.805060,
548.500000,4646.694628,37.532120,-121.804940,
549.900000,4655.011163,37.532070,-121.804870,
549.700000,4671.802070,37.531920,-121.804850,
551.200000,4686.698094,37.531790,-121.804810,
554.300000,4697.059688,37.531710,-121.804750,
557.200000,4709.846291,37.531620,-121.804660,
559.900000,4731.716766,37.531470,-121.804500,
560.900000,4757.598149,37.531300,-121.804300,
560.700000,4772.370240,37.531200,-121.804190,
561.600000,4793.856615,37.531090,-121.803990,
563.400000,4806.379840,37.531030,-121.803870,
563.700000,4816.437353,37.530940,-121.803860,
561.400000,4834.929019,37.530790,-121.803950,
560.700000,4850.058650,37.530660,-121.804000,
560.300000,4868.216331,37.530500,-121.804040,
560.000000,4877.165486,37.530420,-121.804030,
560.000000,4880.619762,37.530390,-121.804020,
560.700000,4900.021296,37.530290,-121.803840,
561.000000,4924.241462,37.530160,-121.803620,
562.000000,4956.918609,37.529930,-121.803390,
560.500000,4977.800631,37.529760,-121.803290,
565.300000,4996.610039,37.529640,-121.803140,
565.600000,4999.451537,37.529620,-121.803120,
566.500000,5019.226361,37.529540,-121.802920,
566.400000,5037.798601,37.529530,-121.802710,
566.300000,5066.244982,37.529560,-121.802390,
564.900000,5108.929089,37.529650,-121.801920,
564.200000,5177.967618,37.529910,-121.801210,
556.900000,5230.581321,37.530110,-121.800670,
560.400000,5258.465939,37.530240,-121.800400,
567.800000,5295.428185,37.530550,-121.800250,
575.300000,5324.864873,37.530790,-121.800110,
581.100000,5364.622302,37.531110,-121.799910,
587.500000,5399.290408,37.531320,-121.799620,
595.300000,5438.350607,37.531470,-121.799220,
597.700000,5460.649084,37.531660,-121.799140,
598.800000,5485.202789,37.531880,-121.799120,
601.500000,5500.332399,37.532010,-121.799070,
607.300000,5521.956102,37.532110,-121.798860,
608.500000,5535.131897,37.532190,-121.798750,
613.400000,5564.909564,37.532440,-121.798630,
620.000000,5603.278546,37.532750,-121.798440,
619.300000,5615.049637,37.532840,-121.798370,
620.400000,5628.186000,37.532880,-121.798230,
