alt,dst,lat,lon,mdata
370.200000,0.000000,38.722930,-122.618750,E:\Dropbox\website\dev2\climbing\climbs\Western-Mines-Rd-Middletown.tcx
370.900000,12.949000,38.722890,-122.618890,
371.200000,15.782000,38.722880,-122.618920,
374.000000,47.539000,38.722830,-122.619280,
376.200000,76.723000,38.722750,-122.619600,
381.700000,154.501000,38.722530,-122.620450,
385.900000,192.937000,38.722400,-122.620860,
387.800000,204.752000,38.722350,-122.620980,
389.500000,216.567000,38.722300,-122.621100,
391.400000,261.560000,38.722130,-122.621570,
392.500000,292.506000,38.721980,-122.621870,
394.400000,316.419000,38.721890,-122.622120,
395.200000,326.228000,38.721870,-122.622230,
395.700000,332.703000,38.721850,-122.622300,
397.600000,353.813000,38.721820,-122.622540,
399.600000,375.780000,38.721790,-122.622790,
400.400000,387.288000,38.721770,-122.622920,
402.300000,409.256000,38.721740,-122.623170,
405.100000,436.546000,38.721700,-122.623480,
407.800000,459.802000,38.721650,-122.623740,
409.800000,477.794000,38.721570,-122.623920,
411.800000,496.362000,38.721480,-122.624100,
413.600000,511.457000,38.721390,-122.624230,
416.200000,531.368000,38.721270,-122.624400,
418.800000,553.280000,38.721150,-122.624600,
420.000000,564.937000,38.721090,-122.624710,
422.000000,585.568000,38.720990,-122.624910,
424.600000,619.913000,38.720820,-122.625240,
425.800000,630.869000,38.720760,-122.625340,
432.700000,676.868000,38.720530,-122.625780,
434.400000,694.860000,38.720450,-122.625960,
435.200000,703.763000,38.720400,-122.626040,
436.100000,718.858000,38.720310,-122.626170,
439.300000,744.194000,38.720170,-122.626400,
440.800000,754.475000,38.720110,-122.626490,
442.000000,766.804000,38.720040,-122.626600,
443.000000,777.086000,38.719980,-122.626690,
444.500000,789.770000,38.719880,-122.626760,
446.000000,799.677000,38.719800,-122.626810,
446.100000,808.625000,38.719720,-122.626820,
447.900000,827.549000,38.719550,-122.626820,
450.500000,851.071000,38.719340,-122.626850,
452.800000,866.872000,38.719200,-122.626880,
453.900000,875.404000,38.719130,-122.626920,
454.500000,880.563000,38.719090,-122.626950,
455.700000,890.159000,38.719040,-122.627040,
456.700000,897.868000,38.719010,-122.627120,
458.100000,908.472000,38.718920,-122.627160,
459.400000,919.638000,38.718820,-122.627150,
461.400000,937.533000,38.718660,-122.627130,
462.400000,951.143000,38.718540,-122.627100,
463.300000,966.944000,38.718400,-122.627070,
464.000000,987.150000,38.718220,-122.627040,
464.200000,1002.831000,38.718080,-122.627020,
463.700000,1015.351000,38.717970,-122.626990,
462.900000,1028.961000,38.717850,-122.626960,
461.700000,1053.589000,38.717630,-122.626930,
461.400000,1065.865000,38.717520,-122.626920,
461.200000,1093.816000,38.717270,-122.626950,
461.000000,1108.392000,38.717140,-122.626970,
461.200000,1127.632000,38.716970,-122.627010,
462.000000,1141.242000,38.716850,-122.627040,
464.900000,1163.505000,38.716660,-122.627120,
465.100000,1177.844000,38.716540,-122.627180,
465.300000,1189.137000,38.716450,-122.627240,
465.700000,1201.329000,38.716360,-122.627320,
467.100000,1215.710000,38.716280,-122.627450,
470.600000,1234.485000,38.716240,-122.627660,
471.700000,1246.865000,38.716180,-122.627780,
470.700000,1258.814000,38.716080,-122.627830,
469.500000,1277.932000,38.715920,-122.627910,
474.700000,1300.426000,38.715750,-122.628050,
478.500000,1322.340000,38.715630,-122.628250,
478.700000,1324.077000,38.715630,-122.628270,
480.700000,1352.226000,38.715590,-122.628590,
481.500000,1367.900000,38.715600,-122.628770,
482.000000,1380.929000,38.715600,-122.628920,
484.000000,1399.304000,38.715620,-122.629130,
484.000000,1404.123000,38.715590,-122.629170,
481.800000,1431.160000,38.715360,-122.629270,
481.200000,1441.328000,38.715270,-122.629290,
484.700000,1466.582000,38.715060,-122.629400,
486.800000,1477.502000,38.714970,-122.629450,
489.100000,1487.942000,38.714900,-122.629530,
491.000000,1500.271000,38.714830,-122.629640,
493.500000,1512.087000,38.714780,-122.629760,
495.900000,1523.044000,38.714720,-122.629860,
496.700000,1529.606000,38.714670,-122.629900,
496.100000,1537.398000,38.714600,-122.629900,
493.800000,1547.306000,38.714520,-122.629850,
490.600000,1558.344000,38.714450,-122.629760,
488.000000,1569.639000,38.714370,-122.629680,
486.800000,1577.168000,38.714310,-122.629640,
486.700000,1581.705000,38.714270,-122.629630,
487.200000,1590.610000,38.714190,-122.629630,
489.900000,1610.239000,38.714020,-122.629690,
496.800000,1621.958000,38.713930,-122.629760,
505.400000,1642.523000,38.713810,-122.629940,
507.400000,1652.283000,38.713770,-122.630040,
511.900000,1678.554000,38.713740,-122.630340,
512.500000,1692.005000,38.713710,-122.630490,
513.400000,1706.298000,38.713680,-122.630650,
518.400000,1728.465000,38.713640,-122.630900,
519.700000,1735.413000,38.713640,-122.630980,
520.700000,1741.595000,38.713650,-122.631050,
522.400000,1753.370000,38.713680,-122.631180,
523.600000,1763.491000,38.713710,-122.631290,
524.300000,1769.673000,38.713720,-122.631360,
529.100000,1789.916000,38.713780,-122.631580,
530.700000,1795.583000,38.713800,-122.631640,
533.000000,1812.990000,38.713810,-122.631840,
534.900000,1826.441000,38.713840,-122.631990,
535.100000,1837.099000,38.713860,-122.632110,
534.900000,1846.066000,38.713880,-122.632210,
533.800000,1860.999000,38.713900,-122.632380,
534.900000,1874.075000,38.713910,-122.632530,
539.300000,1888.368000,38.713940,-122.632690,
544.200000,1899.151000,38.714020,-122.632760,
547.400000,1906.688000,38.714060,-122.632830,
549.300000,1915.188000,38.714090,-122.632920,
549.200000,1925.612000,38.714090,-122.633040,
547.900000,1934.578000,38.714070,-122.633140,
546.600000,1944.895000,38.714020,-122.633240,
546.000000,1953.927000,38.713960,-122.633310,
544.400000,1963.945000,38.713870,-122.633310,
542.500000,1975.212000,38.713770,-122.633290,
540.200000,1985.096000,38.713700,-122.633220,
541.500000,1995.448000,38.713610,-122.633190,
544.700000,2004.396000,38.713530,-122.633180,
549.400000,2015.179000,38.713450,-122.633250,
552.000000,2025.720000,38.713410,-122.633360,
553.500000,2037.055000,38.713370,-122.633480,
556.400000,2063.955000,38.713310,-122.633780,
556.700000,2072.922000,38.713290,-122.633880,
556.000000,2081.175000,38.713250,-122.633960,
554.400000,2090.813000,38.713190,-122.634040,
552.900000,2099.056000,38.713140,-122.634110,
552.600000,2123.048000,38.713000,-122.634320,
