alt,dst,lat,lon,mdata
1132.600000,0.000000,37.232353,-119.469576,E:\Dropbox\website\dev2\climbing\climbs\Whiskey-Falls-Road.tcx
1132.800000,2.845166,37.232330,-119.469590,
1133.400000,24.767232,37.232240,-119.469370,
1135.600000,48.402919,37.232360,-119.469150,
1144.100000,213.778392,37.232650,-119.467320,
1148.300000,315.272851,37.232460,-119.466200,
1147.700000,351.679560,37.232440,-119.465790,
1148.400000,363.497385,37.232500,-119.465680,
1147.100000,377.192179,37.232600,-119.465590,
1145.900000,406.792560,37.232860,-119.465520,
1154.300000,454.864358,37.233290,-119.465570,
1155.500000,468.938489,37.233410,-119.465520,
1157.800000,480.164686,37.233460,-119.465410,
1159.700000,543.196055,37.233560,-119.464710,
1172.200000,608.594917,37.233720,-119.464000,
1176.900000,648.364564,37.233910,-119.463620,
1178.200000,749.359897,37.234540,-119.462800,
1176.100000,790.785308,37.234880,-119.462610,
1184.700000,850.584338,37.235410,-119.462500,
1192.900000,908.497270,37.235930,-119.462520,
1194.100000,919.124674,37.236020,-119.462480,
1191.300000,935.125846,37.236100,-119.462330,
1195.700000,944.596801,37.236130,-119.462230,
1189.300000,960.895350,37.236100,-119.462050,
1188.500000,985.170253,37.235960,-119.461840,
1195.100000,1046.854089,37.235460,-119.461540,
1196.800000,1067.390623,37.235290,-119.461450,
1195.200000,1097.831642,37.235080,-119.461230,
1197.300000,1111.430715,37.235030,-119.461090,
1193.100000,1136.246450,37.235030,-119.460810,
1189.900000,1149.450681,37.235110,-119.460700,
1188.600000,1163.524779,37.235230,-119.460650,
1195.200000,1217.221776,37.235710,-119.460710,
1203.100000,1238.112532,37.235840,-119.460540,
1199.800000,1251.591674,37.235820,-119.460390,
1203.700000,1277.686113,37.235710,-119.460130,
1202.200000,1365.635846,37.235120,-119.459470,
1202.200000,1389.147831,37.235030,-119.459230,
1202.600000,1409.562559,37.235020,-119.459000,
1201.900000,1441.604132,37.235220,-119.458740,
1211.700000,1581.565988,37.236470,-119.458570,
1214.400000,1603.873298,37.236660,-119.458490,
1217.800000,1627.014553,37.236720,-119.458240,
1221.700000,1685.300052,37.236410,-119.457710,
1222.100000,1708.450121,37.236390,-119.457450,
1223.800000,1726.524120,37.236500,-119.457300,
1227.800000,1796.961150,37.237060,-119.456930,
1232.600000,1825.979333,37.237260,-119.456720,
1229.200000,1852.937126,37.237220,-119.456420,
1229.200000,1881.520265,37.237040,-119.456190,
1227.200000,1897.472812,37.237040,-119.456010,
1225.200000,1919.179468,37.237200,-119.455870,
1225.700000,1930.451584,37.237300,-119.455850,
1231.000000,1943.801399,37.237410,-119.455910,
1243.300000,1991.985536,37.237580,-119.456410,
1248.200000,2018.069542,37.237620,-119.456700,
1241.600000,2055.481038,37.237540,-119.457110,
1244.900000,2106.821807,37.237240,-119.457550,
1243.300000,2136.821037,37.237300,-119.457880,
1245.600000,2156.741543,37.237440,-119.458020,
1245.100000,2190.218412,37.237730,-119.458120,
1249.300000,2209.142616,37.237900,-119.458120,
1254.400000,2257.790464,37.238310,-119.457930,
1257.200000,2272.289025,37.238440,-119.457940,
1264.300000,2295.890851,37.238580,-119.458140,
1269.800000,2310.114233,37.238570,-119.458300,
1273.700000,2319.840389,37.238520,-119.458390,
1266.800000,2391.770528,37.238060,-119.458960,
1268.500000,2428.865478,37.237890,-119.459320,
1264.100000,2445.850636,37.237870,-119.459510,
1269.500000,2457.425447,37.237880,-119.459640,
1263.200000,2481.706478,37.238010,-119.459860,
1260.200000,2515.207798,37.238310,-119.459890,
1266.100000,2589.193221,37.238810,-119.459340,
1266.700000,2607.781035,37.238970,-119.459280,
1276.800000,2639.378534,37.239240,-119.459390,
1279.800000,2667.386347,37.239340,-119.459680,
1279.400000,2697.384782,37.239400,-119.460010,
1286.200000,2821.726765,37.239000,-119.461320,
1286.800000,2856.735025,37.238950,-119.461710,
1286.300000,2884.208160,37.238950,-119.462020,
1286.100000,2901.103438,37.239000,-119.462200,
1285.600000,2923.707963,37.239190,-119.462290,
1289.400000,2981.925229,37.239710,-119.462220,
1292.500000,3014.256314,37.240000,-119.462240,
1290.900000,3033.123634,37.240140,-119.462360,
1296.300000,3059.216877,37.240250,-119.462620,
1302.900000,3090.267984,37.240120,-119.462930,
1305.000000,3159.753720,37.239660,-119.463460,
1309.700000,3197.428165,37.239480,-119.463820,
1310.500000,3259.748002,37.239310,-119.464490,
1310.000000,3281.991705,37.239390,-119.464720,
1309.500000,3305.385455,37.239600,-119.464730,
1312.600000,3384.588244,37.240300,-119.464570,
1380.500000,3688.564718,37.242740,-119.463030,
1392.400000,3727.941344,37.243070,-119.462870,
1393.100000,3746.801693,37.243230,-119.462800,
1413.300000,3785.853885,37.243580,-119.462830,
1414.400000,3828.594035,37.243860,-119.463160,
1369.100000,3915.579917,37.244110,-119.464090,
1352.300000,3952.336713,37.244160,-119.464500,
1352.600000,3996.387809,37.244310,-119.464960,
1356.600000,4019.988599,37.244450,-119.465160,
1355.500000,4062.976016,37.244790,-119.465390,
1355.200000,4113.727927,37.245230,-119.465540,
1358.100000,4181.804459,37.245640,-119.466110,
1359.800000,4233.772226,37.246100,-119.466210,
1360.400000,4278.386265,37.246480,-119.466050,
1352.400000,4399.150108,37.247540,-119.465760,
1370.200000,4488.526150,37.248290,-119.465400,
1385.900000,4554.533451,37.248800,-119.465020,
1401.000000,4725.037891,37.250330,-119.464930,
1402.300000,4738.059832,37.250440,-119.464880,
1415.200000,4848.731032,37.250880,-119.463760,
1418.300000,4879.401567,37.251120,-119.463590,
1418.800000,4908.681597,37.251380,-119.463640,
1421.400000,4925.423907,37.251460,-119.463800,
1424.100000,4976.533147,37.251350,-119.464360,
1427.900000,5002.612527,37.251390,-119.464650,
1426.200000,5016.701495,37.251450,-119.464790,
1430.900000,5077.730379,37.251780,-119.465340,
1431.700000,5110.962331,37.252050,-119.465500,
1429.700000,5134.755405,37.252260,-119.465550,
1429.300000,5148.230703,37.252380,-119.465530,
1428.400000,5164.766815,37.252500,-119.465420,
1436.800000,5216.926307,37.252820,-119.464990,
1439.500000,5321.307565,37.253580,-119.464300,
1442.300000,5357.357733,37.253780,-119.463980,
1447.800000,5383.077451,37.253790,-119.463690,
1456.700000,5443.598187,37.253650,-119.463030,
1460.600000,5500.503213,37.253350,-119.462510,
1462.300000,5573.709367,37.252710,-119.462320,
1466.800000,5612.124480,37.252440,-119.462050,
1472.000000,5637.992330,37.252320,-119.461800,
1481.100000,5693.109026,37.252280,-119.461180,
1478.900000,5704.892298,37.252190,-119.461110,
1472.600000,5724.002286,37.252020,-119.461140,
1466.900000,5771.830249,37.251680,-119.461470,
1470.400000,5789.663292,37.251520,-119.461480,
1473.600000,5803.891192,37.251420,-119.461380,
1490.200000,5863.168313,37.251220,-119.460760,
1488.000000,5882.964247,37.251070,-119.460640,
1487.100000,5894.236312,37.250970,-119.460660,
1483.900000,5922.534141,37.250750,-119.460820,
1489.100000,6043.982607,37.250110,-119.461930,
1490.600000,6057.179951,37.250010,-119.462010,
