alt,dst,lat,lon,mdata
1202.700000,0.000000,37.185260,-118.252870,E:\Dropbox\website\dev2\climbing\climbs\White-Mountain-Big-Pine.tcx
1204.200000,65.959000,37.185500,-118.252190,
1204.700000,85.018000,37.185580,-118.252000,
1205.200000,106.166000,37.185670,-118.251790,
1205.600000,123.536000,37.185760,-118.251630,
1206.000000,138.816000,37.185840,-118.251490,
1206.200000,150.621000,37.185910,-118.251390,
1206.500000,162.007000,37.185990,-118.251310,
1207.200000,195.090000,37.186230,-118.251090,
1207.600000,210.651000,37.186350,-118.251000,
1207.800000,222.989000,37.186450,-118.250940,
1208.100000,233.617000,37.186540,-118.250900,
1208.600000,255.660000,37.186730,-118.250830,
1209.800000,322.169000,37.187310,-118.250650,
1211.000000,391.053000,37.187910,-118.250460,
1212.000000,460.159000,37.188510,-118.250260,
1212.400000,486.310000,37.188740,-118.250200,
1212.700000,517.000000,37.189010,-118.250130,
1213.000000,544.082000,37.189250,-118.250080,
1213.900000,636.089000,37.190070,-118.249950,
1215.200000,750.410000,37.191090,-118.249800,
1215.200000,782.742000,37.191380,-118.249780,
1215.600000,843.967000,37.191930,-118.249780,
1217.600000,953.074000,37.192910,-118.249800,
1217.700000,959.812000,37.192970,-118.249790,
1217.800000,965.448000,37.193020,-118.249780,
1218.200000,979.827000,37.193140,-118.249720,
1218.800000,989.262000,37.193210,-118.249660,
1219.300000,996.378000,37.193260,-118.249610,
1219.800000,1004.078000,37.193310,-118.249550,
1220.300000,1011.016000,37.193350,-118.249490,
1221.000000,1019.353000,37.193400,-118.249420,
1221.600000,1025.635000,37.193430,-118.249360,
1225.800000,1067.514000,37.193630,-118.248960,
1227.600000,1093.397000,37.193750,-118.248710,
1228.400000,1110.148000,37.193830,-118.248550,
1229.200000,1128.994000,37.193920,-118.248370,
1230.100000,1154.002000,37.194050,-118.248140,
1231.000000,1184.558000,37.194210,-118.247860,
1231.400000,1213.692000,37.194370,-118.247600,
1233.200000,1248.382000,37.194570,-118.247300,
1234.700000,1271.333000,37.194710,-118.247110,
1236.400000,1290.184000,37.194830,-118.246960,
1242.400000,1382.401000,37.195420,-118.246230,
1247.800000,1449.325000,37.195840,-118.245690,
1255.800000,1562.021000,37.196530,-118.244760,
1263.900000,1651.406000,37.197100,-118.244050,
1265.600000,1682.824000,37.197300,-118.243800,
1266.500000,1707.836000,37.197450,-118.243590,
1268.100000,1774.464000,37.197840,-118.243020,
1268.500000,1783.582000,37.197900,-118.242950,
1268.800000,1790.698000,37.197950,-118.242900,
1269.400000,1797.814000,37.198000,-118.242850,
1270.300000,1806.353000,37.198060,-118.242790,
1271.200000,1812.522000,37.198110,-118.242760,
1272.400000,1821.084000,37.198180,-118.242720,
1273.400000,1829.075000,37.198250,-118.242700,
1274.300000,1836.918000,37.198320,-118.242690,
1275.000000,1843.597000,37.198380,-118.242690,
1275.700000,1850.335000,37.198440,-118.242700,
1276.200000,1855.971000,37.198490,-118.242710,
1276.500000,1860.511000,37.198530,-118.242720,
1276.900000,1865.051000,37.198570,-118.242730,
1277.200000,1869.591000,37.198610,-118.242740,
1277.400000,1875.760000,37.198660,-118.242770,
1278.100000,1929.281000,37.199090,-118.243040,
1278.100000,1987.475000,37.199570,-118.243300,
1278.300000,1995.467000,37.199640,-118.243320,
1278.900000,2005.641000,37.199730,-118.243340,
1280.000000,2015.699000,37.199820,-118.243350,
1281.500000,2039.227000,37.200030,-118.243320,
1282.000000,2049.245000,37.200120,-118.243320,
1283.100000,2059.303000,37.200210,-118.243330,
1284.100000,2066.041000,37.200270,-118.243340,
1285.400000,2074.033000,37.200340,-118.243360,
1286.700000,2084.398000,37.200430,-118.243390,
1288.700000,2105.654000,37.200610,-118.243470,
1289.500000,2113.646000,37.200680,-118.243490,
1290.100000,2120.325000,37.200740,-118.243490,
1291.000000,2135.935000,37.200880,-118.243500,
1291.800000,2165.991000,37.201150,-118.243500,
1291.900000,2197.160000,37.201430,-118.243500,
1292.000000,2259.505000,37.201990,-118.243490,
1293.000000,2327.410000,37.202600,-118.243490,
1293.200000,2347.467000,37.202780,-118.243480,
1294.000000,2362.046000,37.202910,-118.243460,
1299.800000,2416.902000,37.203390,-118.243320,
1303.200000,2477.796000,37.203920,-118.243150,
1304.100000,2523.470000,37.204310,-118.242990,
1304.600000,2557.748000,37.204600,-118.242860,
1304.800000,2573.731000,37.204740,-118.242820,
1304.900000,2582.681000,37.204820,-118.242810,
1305.300000,2591.586000,37.204900,-118.242810,
1318.200000,2708.119000,37.205940,-118.242960,
1319.000000,2748.981000,37.206300,-118.243050,
