alt,dst,lat,lon,mdata
1158.900000,0.000000,36.601860,-118.073680,E:\Dropbox\website\dev2\climbing\climbs\Whitney-Portal-Lone-Pine.tcx
1159.100000,4.468000,36.601860,-118.073730,
1160.400000,44.699000,36.601870,-118.074180,
1164.800000,164.496000,36.601900,-118.075520,
1165.600000,180.621000,36.601910,-118.075700,
1167.500000,218.221000,36.601890,-118.076120,
1171.800000,306.371000,36.601800,-118.077100,
1173.500000,342.273000,36.601770,-118.077500,
1175.500000,378.037000,36.601760,-118.077900,
1176.900000,396.837000,36.601750,-118.078110,
1181.800000,451.533000,36.601710,-118.078720,
1185.400000,521.673000,36.601640,-118.079500,
1190.600000,593.973000,36.601500,-118.080290,
1196.800000,731.812000,36.601180,-118.081780,
1198.700000,780.165000,36.601060,-118.082300,
1200.900000,824.775000,36.600950,-118.082780,
1205.100000,865.107000,36.600840,-118.083210,
1206.200000,882.661000,36.600800,-118.083400,
1206.900000,899.786000,36.600780,-118.083590,
1207.300000,916.766000,36.600780,-118.083780,
1207.900000,933.746000,36.600780,-118.083970,
1209.100000,973.832000,36.600850,-118.084410,
1211.900000,1035.181000,36.600970,-118.085080,
1212.600000,1051.420000,36.600990,-118.085260,
1213.400000,1067.545000,36.601000,-118.085440,
1214.100000,1083.631000,36.601000,-118.085620,
1215.200000,1103.573000,36.600970,-118.085840,
1216.300000,1124.868000,36.600920,-118.086070,
1217.800000,1150.588000,36.600840,-118.086340,
1219.100000,1174.753000,36.600740,-118.086580,
1219.600000,1184.535000,36.600690,-118.086670,
1220.300000,1198.474000,36.600610,-118.086790,
1221.900000,1213.150000,36.600520,-118.086910,
1223.800000,1231.708000,36.600390,-118.087040,
1225.500000,1257.239000,36.600200,-118.087200,
1228.200000,1295.037000,36.599910,-118.087420,
1233.000000,1359.856000,36.599400,-118.087770,
1235.000000,1380.784000,36.599230,-118.087870,
1236.400000,1397.341000,36.599100,-118.087960,
1236.600000,1407.334000,36.599030,-118.088030,
1236.200000,1424.759000,36.598930,-118.088180,
1236.900000,1439.498000,36.598860,-118.088320,
1237.600000,1453.624000,36.598820,-118.088470,
1237.800000,1467.967000,36.598810,-118.088630,
1242.800000,1536.469000,36.598890,-118.089390,
1243.800000,1551.703000,36.598900,-118.089560,
1244.200000,1569.611000,36.598890,-118.089760,
1255.900000,1649.384000,36.598770,-118.090640,
1257.700000,1695.449000,36.598710,-118.091150,
1258.200000,1733.574000,36.598650,-118.091570,
1258.500000,1756.165000,36.598620,-118.091820,
1258.700000,1776.324000,36.598580,-118.092040,
1259.100000,1800.502000,36.598520,-118.092300,
1259.300000,1818.371000,36.598470,-118.092490,
1259.500000,1830.454000,36.598420,-118.092610,
1259.800000,1843.088000,36.598360,-118.092730,
1259.900000,1871.661000,36.598200,-118.092980,
