alt,dst,lat,lon,mdata
130.800000,0.000000,37.899530,-122.210490,E:\Dropbox\website\dev2\climbing\climbs\Wildcat-Canyon.tcx
132.200000,14.575000,37.899420,-122.210580,
132.500000,17.411000,37.899400,-122.210600,
132.800000,22.259000,37.899370,-122.210640,
133.000000,26.419000,37.899350,-122.210680,
133.100000,30.578000,37.899330,-122.210720,
133.200000,34.264000,37.899320,-122.210760,
133.200000,37.125000,37.899310,-122.210790,
133.200000,40.810000,37.899300,-122.210830,
133.200000,43.446000,37.899300,-122.210860,
133.200000,47.838000,37.899300,-122.210910,
133.300000,51.523000,37.899290,-122.210950,
133.400000,54.384000,37.899300,-122.210980,
133.600000,57.019000,37.899300,-122.211010,
133.700000,58.776000,37.899300,-122.211030,
134.800000,75.202000,37.899340,-122.211210,
135.500000,87.100000,37.899370,-122.211340,
137.400000,111.740000,37.899430,-122.211610,
141.700000,179.985000,37.899590,-122.212360,
143.500000,208.023000,37.899650,-122.212670,
144.400000,229.570000,37.899690,-122.212910,
145.300000,242.932000,37.899710,-122.213060,
147.200000,253.532000,37.899720,-122.213180,
149.000000,262.386000,37.899730,-122.213280,
149.900000,268.635000,37.899740,-122.213350,
150.200000,274.356000,37.899760,-122.213410,
150.200000,279.874000,37.899790,-122.213460,
150.200000,287.466000,37.899830,-122.213530,
150.100000,295.131000,37.899880,-122.213590,
150.000000,302.796000,37.899930,-122.213650,
150.000000,316.120000,37.900020,-122.213750,
150.600000,323.020000,37.900060,-122.213810,
151.500000,327.179000,37.900080,-122.213850,
152.500000,330.865000,37.900090,-122.213890,
153.000000,335.025000,37.900110,-122.213930,
153.900000,338.538000,37.900110,-122.213970,
154.300000,341.399000,37.900120,-122.214000,
154.500000,345.085000,37.900130,-122.214040,
155.200000,350.471000,37.900120,-122.214100,
155.300000,353.107000,37.900120,-122.214130,
155.600000,357.637000,37.900110,-122.214180,
155.800000,363.024000,37.900100,-122.214240,
156.300000,370.804000,37.900070,-122.214320,
156.400000,378.176000,37.900050,-122.214400,
157.200000,398.400000,37.899960,-122.214600,
158.400000,405.299000,37.899920,-122.214660,
159.800000,410.971000,37.899880,-122.214700,
161.000000,418.062000,37.899830,-122.214750,
161.600000,424.301000,37.899800,-122.214810,
161.600000,428.832000,37.899790,-122.214860,
161.700000,435.371000,37.899770,-122.214930,
161.900000,441.093000,37.899750,-122.214990,
162.100000,445.624000,37.899740,-122.215040,
162.700000,462.461000,37.899720,-122.215230,
163.000000,465.322000,37.899710,-122.215260,
163.100000,467.079000,37.899710,-122.215280,
163.100000,468.835000,37.899710,-122.215300,
163.200000,471.471000,37.899710,-122.215330,
163.000000,474.331000,37.899720,-122.215360,
162.900000,477.192000,37.899730,-122.215390,
162.900000,480.878000,37.899740,-122.215430,
162.900000,487.132000,37.899780,-122.215480,
162.800000,489.525000,37.899800,-122.215490,
162.800000,494.312000,37.899840,-122.215510,
162.400000,499.947000,37.899890,-122.215520,
162.900000,508.853000,37.899970,-122.215520,
165.800000,520.122000,37.900070,-122.215540,
167.200000,525.959000,37.900120,-122.215560,
167.300000,530.497000,37.900160,-122.215570,
167.400000,533.947000,37.900180,-122.215600,
167.300000,537.397000,37.900200,-122.215630,
167.100000,540.233000,37.900220,-122.215650,
167.100000,543.683000,37.900240,-122.215680,
167.200000,546.543000,37.900250,-122.215710,
167.200000,549.404000,37.900260,-122.215740,
167.300000,552.265000,37.900270,-122.215770,
167.700000,556.657000,37.900270,-122.215820,
168.000000,563.772000,37.900280,-122.215900,
168.400000,573.434000,37.900280,-122.216010,
168.500000,583.096000,37.900280,-122.216120,
169.100000,592.759000,37.900280,-122.216230,
170.100000,597.289000,37.900270,-122.216280,
173.700000,618.836000,37.900230,-122.216520,
173.800000,633.934000,37.900210,-122.216690,
