alt,dst,lat,lon,mdata
412.800000,0.000000,36.173640,-117.305170,E:\Dropbox\website\dev2\climbing\climbs\Wildrose-Stovepipe-Wells.tcx
413.200000,17.558000,36.173780,-117.305080,
415.500000,128.878000,36.174680,-117.304540,
427.100000,544.084000,36.177960,-117.302340,
430.500000,681.591000,36.179050,-117.301620,
433.100000,815.623000,36.180100,-117.300890,
438.600000,954.961000,36.181200,-117.300150,
455.800000,1381.311000,36.184550,-117.297850,
460.700000,1518.395000,36.185640,-117.297140,
471.100000,1777.719000,36.187640,-117.295660,
480.200000,2000.148000,36.189360,-117.294400,
485.400000,2114.250000,36.190250,-117.293770,
491.000000,2219.766000,36.191060,-117.293160,
495.500000,2290.372000,36.191580,-117.292710,
496.800000,2357.605000,36.192050,-117.292240,
502.100000,2466.080000,36.192750,-117.291400,
507.900000,2574.006000,36.193410,-117.290520,
511.900000,2653.259000,36.193900,-117.289880,
513.200000,2681.869000,36.194100,-117.289680,
515.400000,2712.640000,36.194330,-117.289490,
520.800000,2821.095000,36.195180,-117.288900,
525.200000,2886.414000,36.195670,-117.288500,
530.900000,3065.215000,36.196900,-117.287220,
539.900000,3310.107000,36.198580,-117.285460,
547.000000,3454.831000,36.199630,-117.284510,
548.000000,3474.604000,36.199760,-117.284360,
548.500000,3487.253000,36.199840,-117.284260,
548.400000,3555.367000,36.200300,-117.283760,
551.600000,3649.775000,36.200960,-117.283100,
556.000000,3735.042000,36.201540,-117.282480,
566.400000,4080.071000,36.203900,-117.279990,
578.800000,4288.898000,36.205340,-117.278500,
584.300000,4401.662000,36.206100,-117.277670,
585.500000,4432.272000,36.206310,-117.277450,
586.900000,4468.797000,36.206540,-117.277160,
588.600000,4527.577000,36.206890,-117.276670,
590.200000,4570.219000,36.207130,-117.276300,
591.200000,4615.716000,36.207370,-117.275890,
595.100000,4728.768000,36.207930,-117.274840,
596.900000,4848.403000,36.208570,-117.273770,
601.500000,4974.623000,36.209210,-117.272610,
604.600000,5036.138000,36.209560,-117.272080,
606.700000,5109.971000,36.210030,-117.271500,
608.000000,5156.066000,36.210360,-117.271190,
613.900000,5273.526000,36.211230,-117.270450,
621.100000,5433.997000,36.212430,-117.269460,
633.000000,5685.931000,36.214300,-117.267880,
634.500000,5744.350000,36.214720,-117.267490,
641.300000,5856.776000,36.215490,-117.266680,
643.300000,5895.266000,36.215720,-117.266360,
646.500000,5933.713000,36.215940,-117.266030,
647.300000,5956.168000,36.216080,-117.265850,
647.900000,5986.224000,36.216250,-117.265590,
650.500000,6026.126000,36.216490,-117.265260,
651.500000,6072.609000,36.216790,-117.264900,
655.000000,6164.237000,36.217330,-117.264130,
680.700000,6521.353000,36.219490,-117.261190,
