alt,dst,lat,lon,mdata
44.800000,0.000000,38.419910,-123.035380,E:\Dropbox\website\dev2\climbing\climbs\Willow-Creek-Jenner.tcx
45.900000,29.653000,38.419910,-123.035040,
46.500000,41.914000,38.419920,-123.034900,
46.700000,53.307000,38.419910,-123.034770,
46.900000,65.568000,38.419900,-123.034630,
46.700000,86.968000,38.419860,-123.034390,
46.400000,97.954000,38.419830,-123.034270,
46.100000,110.612000,38.419800,-123.034130,
46.100000,121.137000,38.419790,-123.034010,
46.600000,132.692000,38.419810,-123.033880,
47.400000,157.483000,38.419900,-123.033620,
47.900000,190.005000,38.420050,-123.033300,
57.100000,272.570000,38.420280,-123.032400,
57.600000,282.739000,38.420370,-123.032420,
59.700000,303.087000,38.420510,-123.032570,
56.900000,335.662000,38.420550,-123.032940,
59.400000,382.679000,38.420920,-123.033200,
60.600000,404.533000,38.421100,-123.033300,
61.400000,412.089000,38.421140,-123.033370,
61.700000,417.439000,38.421150,-123.033430,
62.000000,422.789000,38.421140,-123.033490,
62.100000,432.448000,38.421080,-123.033570,
57.800000,475.320000,38.420700,-123.033650,
57.600000,482.391000,38.420650,-123.033700,
57.800000,484.460000,38.420640,-123.033720,
58.000000,486.530000,38.420630,-123.033740,
58.200000,488.599000,38.420620,-123.033760,
58.500000,490.343000,38.420620,-123.033780,
58.900000,493.186000,38.420610,-123.033810,
59.200000,494.931000,38.420610,-123.033830,
59.600000,497.774000,38.420600,-123.033860,
59.800000,498.646000,38.420600,-123.033870,
60.000000,500.716000,38.420590,-123.033890,
60.400000,502.460000,38.420590,-123.033910,
60.900000,504.204000,38.420590,-123.033930,
61.300000,505.948000,38.420590,-123.033950,
61.800000,507.693000,38.420590,-123.033970,
62.700000,510.536000,38.420600,-123.034000,
63.300000,512.280000,38.420600,-123.034020,
64.100000,514.350000,38.420610,-123.034040,
65.000000,516.966000,38.420610,-123.034070,
65.700000,519.035000,38.420620,-123.034090,
66.500000,522.697000,38.420610,-123.034130,
67.200000,525.314000,38.420610,-123.034160,
67.500000,528.157000,38.420600,-123.034190,
67.900000,529.901000,38.420600,-123.034210,
68.100000,532.745000,38.420590,-123.034240,
68.100000,534.814000,38.420580,-123.034260,
68.700000,540.047000,38.420580,-123.034320,
69.100000,542.663000,38.420580,-123.034350,
69.800000,546.325000,38.420590,-123.034390,
70.700000,552.531000,38.420600,-123.034460,
72.800000,573.673000,38.420660,-123.034690,
73.200000,591.540000,38.420720,-123.034880,
74.100000,604.536000,38.420760,-123.035020,
74.800000,617.955000,38.420810,-123.035160,
74.300000,631.374000,38.420860,-123.035300,
