alt,dst,lat,lon,mdata
591.500000,0.000000,40.446200,-121.899420,E:\Dropbox\website\dev2\climbing\climbs\Wilson-Hill-Climb-Manton.tcx
591.600000,6.516000,40.446250,-121.899460,
594.400000,85.571000,40.446960,-121.899440,
597.000000,180.226000,40.447810,-121.899410,
602.200000,472.996000,40.450440,-121.899420,
602.800000,506.402000,40.450740,-121.899410,
604.500000,638.939000,40.451930,-121.899460,
605.800000,721.320000,40.452670,-121.899470,
607.200000,782.551000,40.453220,-121.899460,
612.300000,917.569000,40.454430,-121.899350,
613.500000,954.343000,40.454760,-121.899330,
613.400000,1029.863000,40.455430,-121.899470,
614.400000,1066.948000,40.455760,-121.899530,
615.600000,1073.681000,40.455820,-121.899540,
620.000000,1101.626000,40.456070,-121.899570,
623.900000,1127.286000,40.456300,-121.899590,
627.400000,1152.889000,40.456530,-121.899590,
629.500000,1168.566000,40.456670,-121.899570,
632.800000,1194.846000,40.456900,-121.899500,
634.500000,1208.444000,40.457020,-121.899470,
637.000000,1225.228000,40.457170,-121.899450,
643.200000,1270.939000,40.457580,-121.899420,
645.300000,1289.863000,40.457750,-121.899420,
646.200000,1297.702000,40.457820,-121.899430,
646.700000,1302.466000,40.457860,-121.899450,
647.900000,1311.335000,40.457930,-121.899500,
650.600000,1336.008000,40.458120,-121.899650,
651.700000,1344.505000,40.458190,-121.899690,
652.600000,1353.002000,40.458260,-121.899730,
653.800000,1362.263000,40.458340,-121.899760,
658.500000,1418.269000,40.458830,-121.899910,
660.700000,1432.962000,40.458960,-121.899940,
661.900000,1438.528000,40.459010,-121.899940,
662.900000,1443.292000,40.459050,-121.899920,
663.900000,1448.056000,40.459090,-121.899900,
664.900000,1453.651000,40.459130,-121.899860,
666.300000,1461.783000,40.459180,-121.899790,
666.700000,1466.986000,40.459190,-121.899730,
667.200000,1473.018000,40.459200,-121.899660,
667.800000,1484.928000,40.459210,-121.899520,
668.100000,1495.995000,40.459200,-121.899390,
668.400000,1505.378000,40.459190,-121.899280,
668.900000,1527.941000,40.459120,-121.899030,
674.200000,1561.057000,40.459050,-121.898650,
680.400000,1619.595000,40.459080,-121.897960,
684.100000,1664.189000,40.458860,-121.897520,
687.900000,1686.382000,40.458780,-121.897280,
689.300000,1705.016000,40.458780,-121.897060,
693.800000,1741.275000,40.458930,-121.896680,
696.800000,1759.540000,40.459040,-121.896520,
698.600000,1772.572000,40.459140,-121.896440,
704.100000,1817.726000,40.459470,-121.896130,
704.800000,1825.263000,40.459520,-121.896070,
705.100000,1830.047000,40.459540,-121.896020,
705.400000,1835.440000,40.459570,-121.895970,
705.600000,1840.989000,40.459590,-121.895910,
705.600000,1846.191000,40.459600,-121.895850,
705.700000,1853.323000,40.459620,-121.895770,
704.800000,1875.345000,40.459620,-121.895510,
704.800000,1885.750000,40.459640,-121.895390,
704.800000,1890.128000,40.459650,-121.895340,
705.400000,1898.957000,40.459690,-121.895250,
707.000000,1915.172000,40.459770,-121.895090,
711.200000,1943.495000,40.459930,-121.894830,
711.600000,1950.300000,40.459960,-121.894760,
711.800000,1956.633000,40.459980,-121.894690,
711.700000,1976.080000,40.460030,-121.894470,
711.600000,2018.830000,40.460170,-121.894000,
711.600000,2030.707000,40.460210,-121.893870,
712.000000,2043.585000,40.460270,-121.893740,
713.400000,2063.153000,40.460370,-121.893550,
714.800000,2082.833000,40.460460,-121.893350,
716.200000,2099.763000,40.460540,-121.893180,
717.100000,2117.304000,40.460630,-121.893010,
717.500000,2125.436000,40.460680,-121.892940,
717.900000,2134.367000,40.460740,-121.892870,
718.900000,2169.337000,40.460990,-121.892620,
719.000000,2174.730000,40.461020,-121.892570,
719.200000,2180.123000,40.461050,-121.892520,
719.400000,2186.155000,40.461060,-121.892450,
721.200000,2198.860000,40.461060,-121.892300,
721.600000,2201.634000,40.461050,-121.892270,
722.600000,2208.410000,40.461050,-121.892190,
723.200000,2219.476000,40.461060,-121.892060,
723.500000,2229.373000,40.461090,-121.891950,
723.700000,2233.427000,40.461110,-121.891910,
724.200000,2242.196000,40.461160,-121.891830,
724.400000,2246.392000,40.461190,-121.891800,
724.800000,2255.695000,40.461260,-121.891740,
725.300000,2263.891000,40.461330,-121.891710,
725.400000,2266.273000,40.461350,-121.891700,
729.600000,2313.096000,40.461770,-121.891670,
730.200000,2318.726000,40.461820,-121.891660,
730.700000,2323.853000,40.461860,-121.891630,
731.300000,2329.448000,40.461900,-121.891590,
732.300000,2336.863000,40.461940,-121.891520,
733.300000,2344.970000,40.461980,-121.891440,
734.000000,2351.303000,40.462000,-121.891370,
736.600000,2373.506000,40.462060,-121.891120,
739.400000,2392.172000,40.462050,-121.890900,
740.300000,2406.525000,40.461990,-121.890750,
740.200000,2425.481000,40.461900,-121.890560,
739.000000,2443.360000,40.461830,-121.890370,
739.100000,2456.957000,40.461820,-121.890210,
740.300000,2470.914000,40.461850,-121.890050,
741.200000,2476.995000,40.461880,-121.889990,
743.200000,2487.781000,40.461940,-121.889890,
745.600000,2504.068000,40.462060,-121.889780,
746.800000,2517.099000,40.462160,-121.889700,
748.400000,2537.100000,40.462310,-121.889570,
749.100000,2548.001000,40.462380,-121.889480,
749.100000,2551.567000,40.462390,-121.889440,
748.700000,2595.105000,40.462530,-121.888960,
749.300000,2621.045000,40.462640,-121.888690,
749.500000,2623.586000,40.462640,-121.888660,
750.100000,2637.075000,40.462570,-121.888530,
749.500000,2652.892000,40.462450,-121.888430,
748.900000,2667.506000,40.462330,-121.888360,
749.400000,2681.695000,40.462260,-121.888220,
750.000000,2687.727000,40.462250,-121.888150,
751.100000,2693.760000,40.462260,-121.888080,
752.500000,2700.516000,40.462300,-121.888020,
754.900000,2714.940000,40.462410,-121.887930,
759.300000,2763.174000,40.462830,-121.887790,
761.200000,2775.680000,40.462940,-121.887760,
765.100000,2794.905000,40.463110,-121.887720,
769.900000,2826.633000,40.463390,-121.887650,
771.400000,2845.155000,40.463550,-121.887590,
772.100000,2860.492000,40.463680,-121.887530,
773.300000,2871.726000,40.463770,-121.887470,
773.700000,2878.720000,40.463820,-121.887420,
775.400000,2888.581000,40.463900,-121.887370,
778.200000,2901.839000,40.464010,-121.887310,
781.000000,2915.620000,40.464130,-121.887270,
782.800000,2932.658000,40.464280,-121.887230,
783.200000,2963.063000,40.464540,-121.887120,
784.500000,2977.678000,40.464660,-121.887050,
786.400000,2991.169000,40.464760,-121.886960,
787.900000,3000.100000,40.464820,-121.886890,
791.200000,3022.148000,40.464970,-121.886720,
793.200000,3034.437000,40.465050,-121.886620,
796.900000,3055.351000,40.465170,-121.886430,
798.900000,3067.512000,40.465230,-121.886310,
800.000000,3074.316000,40.465260,-121.886240,
802.200000,3086.653000,40.465310,-121.886110,
807.700000,3119.509000,40.465420,-121.885750,
810.100000,3151.581000,40.465530,-121.885400,
810.600000,3169.677000,40.465560,-121.885190,
810.700000,3175.709000,40.465570,-121.885120,
810.800000,3188.461000,40.465580,-121.884970,
810.900000,3216.409000,40.465580,-121.884640,
811.000000,3220.643000,40.465580,-121.884590,
811.000000,3235.423000,40.465550,-121.884420,
811.000000,3244.180000,40.465530,-121.884320,
811.500000,3253.496000,40.465530,-121.884210,
814.000000,3306.052000,40.465510,-121.883590,
814.700000,3312.827000,40.465510,-121.883510,
815.000000,3319.160000,40.465490,-121.883440,
815.700000,3327.481000,40.465460,-121.883350,
815.900000,3331.535000,40.465440,-121.883310,
816.100000,3340.466000,40.465380,-121.883240,
816.300000,3352.188000,40.465300,-121.883150,
816.400000,3368.655000,40.465190,-121.883020,
818.700000,3412.690000,40.464920,-121.882640,
821.400000,3430.954000,40.464810,-121.882480,
822.700000,3440.392000,40.464760,-121.882390,
823.600000,3444.770000,40.464750,-121.882340,
824.200000,3449.005000,40.464750,-121.882290,
825.100000,3455.337000,40.464770,-121.882220,
825.800000,3461.418000,40.464800,-121.882160,
826.100000,3463.800000,40.464820,-121.882150,
826.800000,3471.774000,40.464890,-121.882130,
827.100000,3475.220000,40.464920,-121.882120,
828.500000,3497.548000,40.465120,-121.882140,
837.400000,3580.773000,40.465860,-121.882280,
838.300000,3594.786000,40.465980,-121.882330,
839.200000,3606.696000,40.466080,-121.882380,
840.400000,3621.674000,40.466200,-121.882460,
848.200000,3694.587000,40.466780,-121.882860,
848.800000,3704.378000,40.466850,-121.882930,
849.100000,3709.973000,40.466890,-121.882970,
849.400000,3719.411000,40.466940,-121.883060,
849.700000,3734.313000,40.467010,-121.883210,
851.300000,3766.312000,40.467150,-121.883540,
854.100000,3805.337000,40.467310,-121.883950,
857.700000,3831.818000,40.467430,-121.884220,
859.700000,3848.747000,40.467510,-121.884390,
861.900000,3869.016000,40.467610,-121.884590,
863.400000,3885.944000,40.467690,-121.884760,
863.400000,3886.791000,40.467690,-121.884770,
864.000000,3894.345000,40.467720,-121.884850,
864.400000,3900.376000,40.467730,-121.884920,
864.800000,3907.242000,40.467740,-121.885000,
865.200000,3913.274000,40.467750,-121.885070,
869.300000,3937.834000,40.467750,-121.885360,
872.400000,3953.118000,40.467760,-121.885540,
873.400000,3959.984000,40.467770,-121.885620,
874.000000,3966.016000,40.467780,-121.885690,
874.500000,3972.348000,40.467800,-121.885760,
875.000000,3978.429000,40.467830,-121.885820,
875.700000,3989.214000,40.467890,-121.885920,
876.000000,3994.809000,40.467930,-121.885960,
876.300000,3998.554000,40.467960,-121.885980,
876.800000,4005.444000,40.468020,-121.886000,
