alt,dst,lat,lon,mdata
1533.100000,0.000000,39.624420,-120.435710,E:\Dropbox\website\dev2\climbing\climbs\Yuba-Pass-East-Sierraville.tcx
1533.500000,12.972000,39.624500,-120.435820,
1533.800000,21.150000,39.624540,-120.435900,
1534.200000,32.018000,39.624600,-120.436000,
1535.100000,49.100000,39.624680,-120.436170,
1536.500000,68.960000,39.624770,-120.436370,
1538.900000,89.048000,39.624850,-120.436580,
1541.300000,106.337000,39.624920,-120.436760,
1542.900000,134.742000,39.625010,-120.437070,
1546.500000,212.799000,39.625240,-120.437930,
1548.000000,260.490000,39.625370,-120.438460,
1552.600000,282.942000,39.625430,-120.438710,
1553.400000,290.154000,39.625450,-120.438790,
1554.600000,315.073000,39.625510,-120.439070,
1555.300000,329.192000,39.625540,-120.439230,
1556.000000,346.662000,39.625570,-120.439430,
1556.800000,364.975000,39.625600,-120.439640,
1557.500000,387.516000,39.625630,-120.439900,
1558.100000,425.504000,39.625670,-120.440340,
1558.200000,447.908000,39.625690,-120.440600,
1558.600000,467.753000,39.625710,-120.440830,
1561.700000,486.066000,39.625740,-120.441040,
1564.200000,506.887000,39.625800,-120.441270,
1565.200000,526.897000,39.625860,-120.441490,
1566.300000,542.155000,39.625920,-120.441650,
1568.100000,564.275000,39.626010,-120.441880,
1569.500000,584.684000,39.626080,-120.442100,
1570.000000,607.135000,39.626140,-120.442350,
1570.200000,636.798000,39.626220,-120.442680,
1570.300000,658.002000,39.626290,-120.442910,
1570.600000,676.837000,39.626360,-120.443110,
1571.800000,695.962000,39.626450,-120.443300,
1574.400000,715.693000,39.626550,-120.443490,
1577.500000,742.193000,39.626700,-120.443730,
1578.600000,761.230000,39.626810,-120.443900,
1579.100000,775.541000,39.626880,-120.444040,
1579.600000,788.535000,39.626940,-120.444170,
1580.300000,800.801000,39.627000,-120.444290,
1581.200000,818.619000,39.627080,-120.444470,
1582.100000,837.455000,39.627150,-120.444670,
1582.500000,851.065000,39.627190,-120.444820,
1583.800000,878.669000,39.627280,-120.445120,
1584.300000,900.672000,39.627350,-120.445360,
1585.900000,917.200000,39.627420,-120.445530,
1587.600000,925.377000,39.627460,-120.445610,
1589.100000,933.555000,39.627500,-120.445690,
1590.500000,941.740000,39.627550,-120.445760,
1591.000000,947.874000,39.627580,-120.445820,
1592.000000,960.236000,39.627660,-120.445920,
1592.500000,967.815000,39.627710,-120.445980,
1593.000000,976.245000,39.627770,-120.446040,
1593.800000,985.583000,39.627840,-120.446100,
1595.500000,1019.202000,39.628090,-120.446320,
1597.700000,1090.649000,39.628620,-120.446790,
1598.500000,1122.395000,39.628860,-120.446990,
1600.300000,1147.149000,39.629050,-120.447140,
1602.600000,1186.476000,39.629360,-120.447360,
1601.900000,1225.400000,39.629670,-120.447570,
1601.700000,1236.662000,39.629760,-120.447630,
1601.400000,1254.713000,39.629910,-120.447710,
1601.100000,1278.233000,39.630100,-120.447830,
