alt,dst,lat,lon,mdata
1274.200000,0.000000,39.565550,-120.636030,E:\Dropbox\website\dev2\climbing\climbs\Yuba-Pass-West-Sierra-City.tcx
1274.900000,27.428000,39.565610,-120.635720,
1275.400000,52.093000,39.565660,-120.635440,
1276.100000,83.700000,39.565720,-120.635080,
1277.100000,115.091000,39.565770,-120.634720,
1277.900000,133.419000,39.565800,-120.634510,
1278.100000,148.176000,39.565820,-120.634340,
1278.200000,155.393000,39.565840,-120.634260,
1278.100000,161.503000,39.565850,-120.634190,
1278.000000,169.541000,39.565870,-120.634100,
1278.000000,176.758000,39.565890,-120.634020,
1278.100000,183.164000,39.565910,-120.633950,
1278.100000,190.381000,39.565930,-120.633870,
1278.300000,198.796000,39.565960,-120.633780,
1278.600000,206.430000,39.565990,-120.633700,
1278.900000,217.649000,39.566030,-120.633580,
1279.400000,237.283000,39.566100,-120.633370,
1279.600000,251.307000,39.566150,-120.633220,
1279.900000,261.744000,39.566190,-120.633110,
1282.500000,311.799000,39.566360,-120.632570,
1282.200000,323.811000,39.566400,-120.632440,
1283.000000,343.030000,39.566460,-120.632230,
1286.000000,358.644000,39.566510,-120.632060,
1292.300000,416.319000,39.566710,-120.631440,
1292.800000,444.827000,39.566820,-120.631140,
1292.400000,473.664000,39.566920,-120.630830,
1300.200000,624.252000,39.567440,-120.629210,
1301.600000,677.110000,39.567620,-120.628640,
1302.000000,687.547000,39.567660,-120.628530,
1302.300000,695.181000,39.567690,-120.628450,
1302.700000,705.618000,39.567730,-120.628340,
1303.100000,714.032000,39.567760,-120.628250,
1303.800000,729.820000,39.567830,-120.628090,
1304.300000,740.778000,39.567880,-120.627980,
1304.800000,751.736000,39.567930,-120.627870,
1305.900000,764.649000,39.568000,-120.627750,
1307.100000,775.524000,39.568060,-120.627650,
1308.300000,791.167000,39.568150,-120.627510,
1309.300000,806.926000,39.568250,-120.627380,
1309.900000,817.311000,39.568320,-120.627300,
1310.500000,828.282000,39.568390,-120.627210,
1310.600000,836.716000,39.568450,-120.627150,
1310.700000,844.654000,39.568510,-120.627100,
1310.900000,867.541000,39.568680,-120.626950,
1310.800000,886.220000,39.568820,-120.626830,
1310.900000,899.859000,39.568930,-120.626760,
1311.400000,909.744000,39.569010,-120.626710,
1311.800000,918.259000,39.569080,-120.626670,
1312.600000,924.798000,39.569130,-120.626630,
1313.400000,932.308000,39.569190,-120.626590,
1314.000000,940.246000,39.569250,-120.626540,
1313.500000,950.988000,39.569330,-120.626470,
1313.300000,955.205000,39.569360,-120.626440,
1313.500000,958.016000,39.569380,-120.626420,
1313.600000,961.420000,39.569400,-120.626390,
1313.800000,968.897000,39.569440,-120.626320,
1314.400000,976.479000,39.569490,-120.626260,
1314.600000,985.998000,39.569540,-120.626170,
1315.000000,994.913000,39.569580,-120.626080,
1315.800000,1005.141000,39.569630,-120.625980,
1317.600000,1018.886000,39.569690,-120.625840,
1320.500000,1041.546000,39.569790,-120.625610,
1323.300000,1056.814000,39.569850,-120.625450,
1326.000000,1092.687000,39.570000,-120.625080,
1328.100000,1166.469000,39.570310,-120.624320,
1329.200000,1222.202000,39.570550,-120.623750,
1329.300000,1240.272000,39.570620,-120.623560,
1329.400000,1263.682000,39.570720,-120.623320,
1329.500000,1290.275000,39.570850,-120.623060,
1330.100000,1314.822000,39.570970,-120.622820,
1331.900000,1326.385000,39.571030,-120.622710,
1333.700000,1335.963000,39.571090,-120.622630,
1334.400000,1342.770000,39.571130,-120.622570,
1334.800000,1348.206000,39.571160,-120.622520,
1335.600000,1359.797000,39.571230,-120.622420,
1336.900000,1378.953000,39.571350,-120.622260,
1337.800000,1392.144000,39.571440,-120.622160,
1338.200000,1404.511000,39.571520,-120.622060,
1338.700000,1415.755000,39.571600,-120.621980,
1339.200000,1426.497000,39.571680,-120.621910,
1339.900000,1447.067000,39.571830,-120.621770,
1340.500000,1457.354000,39.571910,-120.621710,
1341.000000,1466.249000,39.571980,-120.621660,
1342.000000,1484.040000,39.572120,-120.621560,
1343.700000,1501.433000,39.572260,-120.621470,
1345.000000,1512.697000,39.572350,-120.621410,
1345.800000,1523.596000,39.572440,-120.621360,
1346.500000,1541.386000,39.572580,-120.621260,
1347.700000,1568.664000,39.572800,-120.621120,
1349.900000,1603.450000,39.573080,-120.620940,
1352.200000,1643.765000,39.573400,-120.620720,
1352.800000,1655.029000,39.573490,-120.620660,
1353.200000,1665.316000,39.573570,-120.620600,
1353.600000,1678.864000,39.573670,-120.620510,
1353.900000,1688.703000,39.573740,-120.620440,
1354.000000,1695.730000,39.573790,-120.620390,
1354.500000,1708.380000,39.573880,-120.620300,
1356.100000,1721.029000,39.573970,-120.620210,
1356.700000,1726.466000,39.574000,-120.620160,
1357.500000,1730.682000,39.574030,-120.620130,
1358.300000,1737.489000,39.574070,-120.620070,
1359.100000,1743.111000,39.574110,-120.620030,
1359.700000,1751.300000,39.574160,-120.619960,
1360.300000,1757.483000,39.574200,-120.619910,
1360.500000,1762.317000,39.574220,-120.619860,
1361.200000,1770.505000,39.574270,-120.619790,
1361.800000,1779.343000,39.574320,-120.619710,
1362.400000,1788.862000,39.574370,-120.619620,
1362.800000,1796.339000,39.574410,-120.619550,
1363.000000,1803.972000,39.574440,-120.619470,
1363.300000,1810.109000,39.574470,-120.619410,
1363.600000,1816.246000,39.574500,-120.619350,
1363.800000,1821.855000,39.574520,-120.619290,
1364.100000,1830.769000,39.574560,-120.619200,
1364.600000,1839.683000,39.574600,-120.619110,
1365.100000,1851.693000,39.574640,-120.618980,
